Art (Niveau 1);Slægt (Niveau 2);Tribus (Niveau 3);Underfamilie (Niveau 4);Familie (Niveau 5);Overfamilie (Niveau 6);Orden (Niveau 7);Referencetekst;Den_danske_roedliste;Dansk;Autor;Dansk_navn;Familie_dk;Synonymer;Billeder;;;;;;;;;
Achenium humile;Achenium;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Nicolai, 1822);;Rovbiller;;189;190;191;;;;;;;
Acylophorus glaberrimus;Acylophorus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Herbst, 1784);;Rovbiller;;575;576;;;;;;;;
Acylophorus wagenschieberi;Acylophorus;Staphylinini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Kiesenwetter, 1850;;Rovbiller;;577;578;;;;;;;;
Astenus gracilis;Astenus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Paykull, 1789);;Rovbiller;angustatus;37;38;39;40;;;;;;
Astenus immacullatus;Astenus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;Stephens, 1833;;Rovbiller;;41;42;43;44;;;;;;
Astenus lyonessius;Astenus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Joy, 1908);;Rovbiller;longelytratus;33;34;35;36;;;;;;
Astenus procerus;Astenus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Gravenhorst, 1802);;Rovbiller;filiformis;25;26;27;28;;;;;;
Astenus pulchellus;Astenus;Paederini;Paederinae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Heer, 1839);;Rovbiller;;29;30;31;32;;;;;;
Atrecus affinis;Atrecus;Othiini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Paykull, 1789);;Rovbiller;;579;580;;;;;;;;
Atrecus longiceps;Atrecus;Othiini;Staphylininae;Staphylinidae;Staphylinoidea;Coleoptera;Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231;;Ja;(Fauvel, 1873);;Rovbiller;;581;582;;;;;;;;
