Dinothenarus,41
Achenium,43
Gauropterus,72
Neobisnius,196
Tetartopeus,408
Platydracus,125
Ochthephilum,200
Gabronthus,26
Ontholestes,95
Leptacinus,218
Nudobius,72
Creophilus,48
Quedius,2284
Tasgius,183
Atrecus,75
Medon,271
Sunius,212
Astenus,585
Paederidus,246
Scopaeus,206
Staphylinus,86
Remus,124
Megalinus,38
Euryporus,40
Rugilus,712
Ocypus,327
Lobrathium,113
Gyrohypnus,260
Lathrobium,1657
Gabrius,592
Erichsonius,183
Phacophallus,34
Paederus,616
Philonthus,4594
Pseudomedon,210
Emus,22
Bisnius,1042
Lithocharis,279
Velleius,26
Heterothops,328
Xantholinus,272
Acylophorus,102
Othius,208
Cafius,294
