Ocypus aeneocephalus,32
Quedius semiobscurus,32
Bisnius cephalotes,123
Philonthus addendus,63
Gabrius exiguus,11
Philonthus micantoides,14
Paederus riparius,197
Quedius truncicola,16
Lathrobium fovulum,102
Rugilus rufipes,175
Tasgius morsitans,33
Lathrobium dilutum,11
Gyrohypnus fracticornis,55
Nudobius lentus,51
Philonthus cruentatus,29
Tasgius globulifer,22
Philonthus politus,179
Philonthus furcifer,28
Atrecus affinis,33
Philonthus laminatus,123
Bisnius pseudoparcus,18
Philonthus sanguinolentus,60
Medon brunneus,58
Quedius maurorufus,62
Staphylinus erythropterus,28
Othius angustus,65
Philonthus corruscus,17
Quedius brevis,28
Megalinus glabratus,28
Xantholinus longiventris,39
Neobisnius villosulus,28
Lathrobium elongatum,170
Rugilus erichsoni,110
Neobisnius lathrobioides,107
Sunius bicolor,67
Heterothops minutus,23
Acylophorus wagenschieberi,30
Scopaeus sulcicollis,62
Philonthus nigrita,43
Creophilus maxillosus,35
Xantholinus linearis,44
Ocypus brunnipes,42
Bisnius sordidus,178
Gabrius austriacus,21
Philonthus marginatus,117
Bisnius fimetarius,210
Philonthus salinus,48
Cafius xantholoma,207
Philonthus splendens,123
Philonthus debilis,70
Quedius fulgidus,20
Heterothops praevius,40
Xantholinus laevigatus,23
Scopaeus laevigatus,10
Philonthus nitidus,116
Quedius fumatus,56
Lathrobium geminum,63
Heterothops quadripunctulus,45
Rugilus orbiculatus,91
Philonthus carbonarius,252
Gyrohypnus punctulatus,60
Velleius dilatatus,19
Quedius picipes,46
Quedius microps,76
Xantholinus tricolor,50
Quedius lucidulus,63
Bisnius puella,28
Philonthus confinis,11
Sunius melanocephalus,84
Astenus gracilis,67
Tasgius ater,25
Gabrius appendiculatus,45
Astenus lyonessius,106
Quedius mesomelinus,56
Philonthus corvinus,28
Othius subuliformis,42
Quedius puncticollis,57
Remus sericeus,88
Philonthus decorus,159
Lathrobium rufipenne,81
Paederus littoralis,135
Lathrobium impressum,193
Gauropterus fulgidus,51
Philonthus succicola,158
Ocypus ophthalmicus,25
Heterothops niger,33
Philonthus discoideus,70
Quedius nitipennis,58
Platydracus stercorarius,35
Gabrius osseticus,46
Philonthus concinnus,51
Bisnius parcus,25
Lathrobium pallidum,34
Euryporus picipes,28
Quedius levicollis,34
Ontholestes murinus,40
Scopaeus minutus,70
Philonthus fumarius,60
Philonthus lepidus,46
Quedius lateralis,45
Philonthus atratus,119
Ocypus fuscatus,28
Ocypus picipennis,39
Heterothops stiglundbergi,12
Gabrius nigritulus,92
Quedius xanthopus,72
Philonthus jurgans,28
Ochthephilum fracticorne,134
Emus hirtus,16
Quedius auricomus,45
Erichsonius cinerascens,129
Quedius fuliginosus,52
Quedius maurus,39
Quedius suturalis,56
Philonthus ebeninus,22
Othius punctulatus,42
Lathrobium brunnipes,203
Astenus pulchellus,91
Tetartopeus terminatus,158
Bisnius subuliformis,49
Leptacinus pusillus,23
Quedius brevicornis,50
Acylophorus glaberrimus,42
Quedius scintillans,65
Quedius boops,27
Lathrobium fulvipenne,172
Philonthus rectangulus,60
Quedius infuscatus,14
Quedius fulvicollis,8
Philonthus tenuicornis,99
Paederus fuscipes,101
Philonthus parvicornis,32
Leptacinus formicetorum,32
Philonthus binotatus,17
Paederidus ruficollis,15
Gyrohypnus atratus,38
Philonthus quisquiliarius,48
Philonthus rufipes,44
Quedius nigrocaeruleus,14
Quedius simplicifrons,27
Tetartopeus quadratus,123
Philonthus cognatus,246
Phacophallus parumpunctatus,25
Philonthus varians,48
Philonthus albipes,109
Bisnius nitidulus,100
Quedius curtipennis,27
Heterothops dissimilis,26
Astenus procerus,56
Quedius persimilis,42
Ochthephilum collare,8
Philonthus micans,65
Quedius longicornis,55
Gyrohypnus angustatus,32
Philonthus nitidicollis,9
Xantholinus dvoraki,28
Heterothops binotatus,57
Gabrius keysianus,31
Philonthus punctus,32
Philonthus mannerheimi,43
Philonthus longicornis,57
Gabrius trossulus,36
Philonthus alpinus,15
Staphylinus dimidiaticornis,14
Pseudomedon obscurellus,103
Lithocharis nigriceps,60
Lithocharis ochracea,137
Quedius cinctus,52
Quedius boopoides,25
Ocypus nitens,48
Medon ripicola,58
Quedius nigriceps,36
Quedius cruentus,70
Achenium humile,31
Philonthus ventralis,42
Dinothenarus pubescens,29
Ontholestes tessellatus,29
Quedius scitus,33
Gabrius breviventer,63
Platydracus fulvipes,28
Gabrius splendidulus,71
Pseudomedon obsoletus,46
Atrecus longiceps,22
Quedius umbrinus,74
Gabronthus thermarum,19
Platydracus latebricola,21
Philonthus intermedius,53
Staphylinus caesareus,19
Xantholinus gallicus,11
Medon castaneus,32
Quedius semiaeneus,35
Tasgius melanarius,40
Lobrathium multipunctum,80
Quedius molochinus,51
Ocypus olens,21
Philonthus rubripennis,60
Leptacinus batychrus,79
Medon apicalis,44
Astenus immacullatus,94
Leptacinus intermedius,21
