,Filename,Label,Prediction1,Prediction3
0,images_genus/Lobrathium/Lobrathium multipunctum_11.jpg,Lobrathium,Atrecus,"[('Lathrobium', 0.00052004115), ('Lobrathium', 0.10126154), ('Atrecus', 0.897811)]"
1,images_genus/Lobrathium/Lobrathium multipunctum_12.jpg,Lobrathium,Lobrathium,"[('Atrecus', 5.3842214e-05), ('Lathrobium', 5.9737766e-05), ('Lobrathium', 0.99981862)]"
2,images_genus/Lobrathium/Lobrathium multipunctum_13.jpg,Lobrathium,Lobrathium,"[('Medon', 1.4124669e-07), ('Atrecus', 2.7471336e-07), ('Lobrathium', 0.99999964)]"
3,images_genus/Lobrathium/Lobrathium multipunctum_14.jpg,Lobrathium,Lobrathium,"[('Medon', 4.3361773e-08), ('Atrecus', 1.8166901e-06), ('Lobrathium', 0.99999821)]"
4,images_genus/Lobrathium/Lobrathium multipunctum_15.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 4.8889547e-07), ('Atrecus', 4.7207641e-06), ('Lobrathium', 0.99999464)]"
5,images_genus/Lobrathium/Lobrathium multipunctum_16.jpg,Lobrathium,Lobrathium,"[('Cafius', 4.0894463e-10), ('Atrecus', 1.6799494e-07), ('Lobrathium', 0.99999988)]"
6,images_genus/Lobrathium/Lobrathium multipunctum_17.jpg,Lobrathium,Atrecus,"[('Paederus', 1.4744939e-05), ('Lobrathium', 0.032658048), ('Atrecus', 0.96730912)]"
7,images_genus/Lobrathium/Lobrathium multipunctum_18.jpg,Lobrathium,Lobrathium,"[('Medon', 6.0949685e-09), ('Atrecus', 1.9218052e-07), ('Lobrathium', 0.99999976)]"
8,images_genus/Lobrathium/Lobrathium multipunctum_19.jpg,Lobrathium,Atrecus,"[('Othius', 0.053836212), ('Lobrathium', 0.41321313), ('Atrecus', 0.52973843)]"
9,images_genus/Lobrathium/Lobrathium multipunctum_20.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 4.2118785e-07), ('Atrecus', 6.7134147e-07), ('Lobrathium', 0.99999845)]"
10,images_genus/Lobrathium/Lobrathium multipunctum_21.jpg,Lobrathium,Lobrathium,"[('Xantholinus', 3.1320629e-10), ('Atrecus', 3.0023219e-08), ('Lobrathium', 1.0)]"
11,images_genus/Lobrathium/Lobrathium multipunctum_22.jpg,Lobrathium,Lobrathium,"[('Tetartopeus', 1.7533443e-05), ('Medon', 4.5905756e-05), ('Lobrathium', 0.99992764)]"
