,Filename,Label,Prediction1,Prediction3
0,images_genus/Lobrathium/Lobrathium multipunctum_11.jpg,Lobrathium,Tetartopeus,"[('Tasgius', 0.048360325), ('Ocypus', 0.35798985), ('Tetartopeus', 0.51789749)]"
1,images_genus/Lobrathium/Lobrathium multipunctum_12.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.11167157), ('Tetartopeus', 0.11641578), ('Ocypus', 0.73551995)]"
2,images_genus/Lobrathium/Lobrathium multipunctum_13.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.12052471), ('Tetartopeus', 0.27909219), ('Ocypus', 0.58758301)]"
3,images_genus/Lobrathium/Lobrathium multipunctum_14.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.072260424), ('Tetartopeus', 0.22956279), ('Ocypus', 0.64372164)]"
4,images_genus/Lobrathium/Lobrathium multipunctum_15.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.015480725), ('Tetartopeus', 0.18344578), ('Ocypus', 0.77749908)]"
5,images_genus/Lobrathium/Lobrathium multipunctum_16.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.029391341), ('Tetartopeus', 0.14075717), ('Ocypus', 0.73156548)]"
6,images_genus/Lobrathium/Lobrathium multipunctum_17.jpg,Lobrathium,Tetartopeus,"[('Tasgius', 0.11224755), ('Ocypus', 0.24831183), ('Tetartopeus', 0.58042979)]"
7,images_genus/Lobrathium/Lobrathium multipunctum_18.jpg,Lobrathium,Ocypus,"[('Staphylinus', 0.035396315), ('Tasgius', 0.22989108), ('Ocypus', 0.54267055)]"
8,images_genus/Lobrathium/Lobrathium multipunctum_19.jpg,Lobrathium,Ocypus,"[('Medon', 0.040746562), ('Tetartopeus', 0.057540059), ('Ocypus', 0.57212043)]"
9,images_genus/Lobrathium/Lobrathium multipunctum_20.jpg,Lobrathium,Ocypus,"[('Tetartopeus', 0.06863524), ('Tasgius', 0.13038072), ('Ocypus', 0.7168687)]"
10,images_genus/Lobrathium/Lobrathium multipunctum_21.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.039207984), ('Tetartopeus', 0.26677445), ('Ocypus', 0.52927792)]"
11,images_genus/Lobrathium/Lobrathium multipunctum_22.jpg,Lobrathium,Tetartopeus,"[('Rugilus', 0.059536081), ('Ocypus', 0.081473209), ('Tetartopeus', 0.8034206)]"
12,images_genus/Lobrathium/Lobrathium multipunctum_23.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.078155123), ('Tetartopeus', 0.14106487), ('Ocypus', 0.73254645)]"
13,images_genus/Lobrathium/Lobrathium multipunctum_24.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.0083034271), ('Tetartopeus', 0.38166147), ('Ocypus', 0.59845006)]"
14,images_genus/Lobrathium/Lobrathium multipunctum_25.jpg,Lobrathium,Rugilus,"[('Tetartopeus', 0.073935218), ('Ocypus', 0.30609962), ('Rugilus', 0.32377431)]"
15,images_genus/Lobrathium/Lobrathium multipunctum_26.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.11988289), ('Rugilus', 0.15193862), ('Ocypus', 0.34258068)]"
16,images_genus/Lobrathium/Lobrathium multipunctum_27.jpg,Lobrathium,Ocypus,"[('Dinothenarus', 0.043227986), ('Tetartopeus', 0.32126105), ('Ocypus', 0.52279264)]"
17,images_genus/Lobrathium/Lobrathium multipunctum_28.jpg,Lobrathium,Tasgius,"[('Ocypus', 0.15016633), ('Rugilus', 0.1760848), ('Tasgius', 0.31658804)]"
18,images_genus/Lobrathium/Lobrathium multipunctum_29.jpg,Lobrathium,Ocypus,"[('Tetartopeus', 0.056373227), ('Tasgius', 0.21403515), ('Ocypus', 0.58602059)]"
19,images_genus/Lobrathium/Lobrathium multipunctum_30.jpg,Lobrathium,Ocypus,"[('Tasgius', 0.11245985), ('Tetartopeus', 0.15924446), ('Ocypus', 0.55069536)]"
20,images_genus/Lobrathium/Lobrathium multipunctum_31.jpg,Lobrathium,Tetartopeus,"[('Rugilus', 0.031475261), ('Ocypus', 0.21736322), ('Tetartopeus', 0.72708058)]"
21,images_genus/Lobrathium/Lobrathium multipunctum_32.jpg,Lobrathium,Ocypus,"[('Rugilus', 0.22654232), ('Tetartopeus', 0.28367537), ('Ocypus', 0.37064004)]"
