,Filename,Label,Prediction1,Prediction3
0,images_genus/Lobrathium/Lobrathium multipunctum_11.jpg,Lobrathium,Medon,"[('Lathrobium', 0.076482356), ('Lobrathium', 0.12587027), ('Medon', 0.77730757)]"
1,images_genus/Lobrathium/Lobrathium multipunctum_12.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 0.0037437973), ('Achenium', 0.007177976), ('Lobrathium', 0.98633206)]"
2,images_genus/Lobrathium/Lobrathium multipunctum_13.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 6.5558593e-06), ('Scopaeus', 8.5322545e-06), ('Lobrathium', 0.99997973)]"
3,images_genus/Lobrathium/Lobrathium multipunctum_14.jpg,Lobrathium,Lobrathium,"[('Achenium', 1.190865e-06), ('Lathrobium', 4.9307124e-05), ('Lobrathium', 0.99994886)]"
4,images_genus/Lobrathium/Lobrathium multipunctum_15.jpg,Lobrathium,Lobrathium,"[('Remus', 0.00032056819), ('Lathrobium', 0.0077642421), ('Lobrathium', 0.99149936)]"
5,images_genus/Lobrathium/Lobrathium multipunctum_16.jpg,Lobrathium,Lobrathium,"[('Medon', 1.3714099e-05), ('Achenium', 1.3866073e-05), ('Lobrathium', 0.99996209)]"
6,images_genus/Lobrathium/Lobrathium multipunctum_17.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.020355346), ('Lathrobium', 0.258369), ('Lobrathium', 0.70071745)]"
7,images_genus/Lobrathium/Lobrathium multipunctum_18.jpg,Lobrathium,Lobrathium,"[('Scopaeus', 8.0099569e-05), ('Medon', 0.00015341141), ('Lobrathium', 0.99972302)]"
8,images_genus/Lobrathium/Lobrathium multipunctum_19.jpg,Lobrathium,Atrecus,"[('Rugilus', 0.017415769), ('Medon', 0.032810494), ('Atrecus', 0.92772919)]"
9,images_genus/Lobrathium/Lobrathium multipunctum_20.jpg,Lobrathium,Lobrathium,"[('Remus', 3.7252732e-05), ('Lathrobium', 0.024780186), ('Lobrathium', 0.97511226)]"
10,images_genus/Lobrathium/Lobrathium multipunctum_21.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 0.0005762857), ('Achenium', 0.018458255), ('Lobrathium', 0.98057705)]"
11,images_genus/Lobrathium/Lobrathium multipunctum_22.jpg,Lobrathium,Lobrathium,"[('Scopaeus', 0.0030447647), ('Lathrobium', 0.094105966), ('Lobrathium', 0.89961678)]"
12,images_genus/Lobrathium/Lobrathium multipunctum_23.jpg,Lobrathium,Lobrathium,"[('Achenium', 3.8677153e-05), ('Lathrobium', 0.0034861818), ('Lobrathium', 0.99645174)]"
13,images_genus/Lobrathium/Lobrathium multipunctum_24.jpg,Lobrathium,Lobrathium,"[('Medon', 0.00036291248), ('Achenium', 0.00051883783), ('Lobrathium', 0.99899703)]"
14,images_genus/Lobrathium/Lobrathium multipunctum_25.jpg,Lobrathium,Lobrathium,"[('Achenium', 7.7227842e-06), ('Lathrobium', 1.2355508e-05), ('Lobrathium', 0.99997342)]"
15,images_genus/Lobrathium/Lobrathium multipunctum_26.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.025247451), ('Lathrobium', 0.23541105), ('Lobrathium', 0.73693508)]"
16,images_genus/Lobrathium/Lobrathium multipunctum_27.jpg,Lobrathium,Lobrathium,"[('Tetartopeus', 0.0010447761), ('Lathrobium', 0.29484206), ('Lobrathium', 0.70286489)]"
17,images_genus/Lobrathium/Lobrathium multipunctum_28.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.00055294437), ('Lathrobium', 0.00074359839), ('Lobrathium', 0.99855584)]"
18,images_genus/Lobrathium/Lobrathium multipunctum_29.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.00018395775), ('Lathrobium', 0.007063631), ('Lobrathium', 0.9926675)]"
19,images_genus/Lobrathium/Lobrathium multipunctum_30.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.00040102555), ('Lathrobium', 0.0019748923), ('Lobrathium', 0.99760544)]"
20,images_genus/Lobrathium/Lobrathium multipunctum_31.jpg,Lobrathium,Dinothenarus,"[('Lobrathium', 0.089948766), ('Lathrobium', 0.10444912), ('Dinothenarus', 0.75354058)]"
21,images_genus/Lobrathium/Lobrathium multipunctum_32.jpg,Lobrathium,Lathrobium,"[('Dinothenarus', 0.0054016826), ('Lobrathium', 0.20124222), ('Lathrobium', 0.79142636)]"
22,images_genus/Achenium/Achenium humile_10.jpg,Achenium,Achenium,"[('Dinothenarus', 7.2124916e-05), ('Ontholestes', 0.0009429293), ('Achenium', 0.99884123)]"
23,images_genus/Achenium/Achenium humile_11.jpg,Achenium,Achenium,"[('Xantholinus', 0.0010581082), ('Ontholestes', 0.014624672), ('Achenium', 0.98192811)]"
24,images_genus/Achenium/Achenium humile_4.jpg,Achenium,Achenium,"[('Xantholinus', 0.0007431347), ('Ontholestes', 0.051127631), ('Achenium', 0.94790888)]"
25,images_genus/Achenium/Achenium humile_5.jpg,Achenium,Achenium,"[('Ontholestes', 0.011686771), ('Lathrobium', 0.076412328), ('Achenium', 0.90319228)]"
26,images_genus/Achenium/Achenium humile_6.jpg,Achenium,Achenium,"[('Ontholestes', 0.0049375882), ('Lathrobium', 0.01773083), ('Achenium', 0.97517765)]"
27,images_genus/Achenium/Achenium humile_7.jpg,Achenium,Achenium,"[('Ontholestes', 0.00083665206), ('Lobrathium', 0.002125893), ('Achenium', 0.99564195)]"
28,images_genus/Achenium/Achenium humile_8.jpg,Achenium,Achenium,"[('Lathrobium', 0.02295576), ('Xantholinus', 0.060776878), ('Achenium', 0.90642947)]"
29,images_genus/Achenium/Achenium humile_9.jpg,Achenium,Achenium,"[('Ontholestes', 0.027068526), ('Lathrobium', 0.26469478), ('Achenium', 0.69080877)]"
30,images_genus/Acylophorus/Acylophorus glaberrimus_10.jpg,Acylophorus,Acylophorus,"[('Euryporus', 0.0013630739), ('Philonthus', 0.1695815), ('Acylophorus', 0.82798463)]"
31,images_genus/Acylophorus/Acylophorus glaberrimus_11.jpg,Acylophorus,Acylophorus,"[('Philonthus', 0.10712878), ('Heterothops', 0.23754236), ('Acylophorus', 0.64411169)]"
32,images_genus/Acylophorus/Acylophorus glaberrimus_12.jpg,Acylophorus,Acylophorus,"[('Philonthus', 0.0030852971), ('Euryporus', 0.0070694177), ('Acylophorus', 0.98823613)]"
33,images_genus/Acylophorus/Acylophorus glaberrimus_13.jpg,Acylophorus,Philonthus,"[('Creophilus', 0.00056449679), ('Acylophorus', 0.26932514), ('Philonthus', 0.72980821)]"
34,images_genus/Acylophorus/Acylophorus glaberrimus_14.jpg,Acylophorus,Acylophorus,"[('Euryporus', 3.446528e-05), ('Paederidus', 0.00015436282), ('Acylophorus', 0.99979824)]"
35,images_genus/Acylophorus/Acylophorus glaberrimus_15.jpg,Acylophorus,Acylophorus,"[('Paederidus', 0.0061569121), ('Philonthus', 0.006226067), ('Acylophorus', 0.98738074)]"
36,images_genus/Acylophorus/Acylophorus glaberrimus_16.jpg,Acylophorus,Acylophorus,"[('Paederidus', 0.00050727831), ('Philonthus', 0.0032518939), ('Acylophorus', 0.99610692)]"
37,images_genus/Acylophorus/Acylophorus glaberrimus_17.jpg,Acylophorus,Acylophorus,"[('Euryporus', 0.00014409117), ('Philonthus', 0.0087328162), ('Acylophorus', 0.99107355)]"
38,images_genus/Acylophorus/Acylophorus glaberrimus_6.jpg,Acylophorus,Philonthus,"[('Euryporus', 7.720877e-06), ('Acylophorus', 0.0057570809), ('Philonthus', 0.99423271)]"
39,images_genus/Acylophorus/Acylophorus glaberrimus_7.jpg,Acylophorus,Acylophorus,"[('Euryporus', 0.002423584), ('Philonthus', 0.018079497), ('Acylophorus', 0.97705382)]"
40,images_genus/Acylophorus/Acylophorus glaberrimus_8.jpg,Acylophorus,Acylophorus,"[('Euryporus', 0.00047335084), ('Philonthus', 0.018233871), ('Acylophorus', 0.98095036)]"
41,images_genus/Acylophorus/Acylophorus glaberrimus_9.jpg,Acylophorus,Acylophorus,"[('Philonthus', 0.00013578916), ('Euryporus', 0.0039351843), ('Acylophorus', 0.99587953)]"
42,images_genus/Acylophorus/Acylophorus wagenschieberi_10.jpg,Acylophorus,Acylophorus,"[('Euryporus', 0.0031233609), ('Philonthus', 0.010224555), ('Acylophorus', 0.98654431)]"
43,images_genus/Acylophorus/Acylophorus wagenschieberi_11.jpg,Acylophorus,Acylophorus,"[('Quedius', 0.00024883953), ('Euryporus', 0.037966698), ('Acylophorus', 0.96155655)]"
44,images_genus/Acylophorus/Acylophorus wagenschieberi_4.jpg,Acylophorus,Acylophorus,"[('Quedius', 0.00042034162), ('Euryporus', 0.12700339), ('Acylophorus', 0.87253326)]"
45,images_genus/Acylophorus/Acylophorus wagenschieberi_5.jpg,Acylophorus,Acylophorus,"[('Euryporus', 0.0069152685), ('Philonthus', 0.018711653), ('Acylophorus', 0.97412825)]"
