,Filename,Label,Prediction1,Prediction3
8,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_10.jpg,Acylophorus glaberrimus,Philonthus cognatus,"[('Acylophorus wagenschieberi', 0.12397344), ('Acylophorus glaberrimus', 0.27269644), ('Philonthus cognatus', 0.50779831)]"
14,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_16.jpg,Acylophorus glaberrimus,Acylophorus wagenschieberi,"[('Philonthus varians', 0.067885518), ('Acylophorus glaberrimus', 0.25496295), ('Acylophorus wagenschieberi', 0.62173021)]"
16,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_6.jpg,Acylophorus glaberrimus,Acylophorus wagenschieberi,"[('Philonthus varians', 0.013869985), ('Acylophorus glaberrimus', 0.05411547), ('Acylophorus wagenschieberi', 0.91977918)]"
17,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_7.jpg,Acylophorus glaberrimus,Philonthus varians,"[('Acylophorus wagenschieberi', 0.19302434), ('Acylophorus glaberrimus', 0.22676685), ('Philonthus varians', 0.37122986)]"
28,images_species/Astenus gracilis/Astenus gracilis_10.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus procerus', 0.036137797), ('Astenus gracilis', 0.05219578), ('Astenus pulchellus', 0.87632054)]"
29,images_species/Astenus gracilis/Astenus gracilis_11.jpg,Astenus gracilis,Astenus pulchellus,"[('Neobisnius villosulus', 0.039818361), ('Astenus lyonessius', 0.043124508), ('Astenus pulchellus', 0.86236107)]"
30,images_species/Astenus gracilis/Astenus gracilis_12.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.0036499549), ('Astenus gracilis', 0.018253013), ('Astenus pulchellus', 0.97125453)]"
31,images_species/Astenus gracilis/Astenus gracilis_13.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus gracilis', 0.16851538), ('Astenus pulchellus', 0.40933487), ('Astenus lyonessius', 0.41724747)]"
32,images_species/Astenus gracilis/Astenus gracilis_14.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus gracilis', 0.010075985), ('Astenus procerus', 0.046427216), ('Astenus pulchellus', 0.94037449)]"
33,images_species/Astenus gracilis/Astenus gracilis_15.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus gracilis', 0.0050240997), ('Neobisnius villosulus', 0.0094169714), ('Astenus pulchellus', 0.9757992)]"
34,images_species/Astenus gracilis/Astenus gracilis_16.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.057583664), ('Astenus gracilis', 0.089656703), ('Astenus pulchellus', 0.85104162)]"
35,images_species/Astenus gracilis/Astenus gracilis_17.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.2762205), ('Astenus gracilis', 0.30498463), ('Astenus pulchellus', 0.41632107)]"
36,images_species/Astenus gracilis/Astenus gracilis_18.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.26720393), ('Astenus gracilis', 0.28878468), ('Astenus pulchellus', 0.44185001)]"
37,images_species/Astenus gracilis/Astenus gracilis_19.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.0031982835), ('Astenus gracilis', 0.17120013), ('Astenus lyonessius', 0.82511616)]"
38,images_species/Astenus gracilis/Astenus gracilis_20.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.00064138049), ('Astenus gracilis', 0.026336187), ('Astenus lyonessius', 0.97285879)]"
39,images_species/Astenus gracilis/Astenus gracilis_21.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.0011595819), ('Astenus gracilis', 0.026323039), ('Astenus lyonessius', 0.97175556)]"
40,images_species/Astenus gracilis/Astenus gracilis_22.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.001031048), ('Astenus gracilis', 0.084640808), ('Astenus lyonessius', 0.91384798)]"
41,images_species/Astenus gracilis/Astenus gracilis_23.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.010200319), ('Astenus gracilis', 0.055265173), ('Astenus lyonessius', 0.932414)]"
42,images_species/Astenus gracilis/Astenus gracilis_24.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.00019412467), ('Astenus gracilis', 0.018350614), ('Astenus lyonessius', 0.98129106)]"
43,images_species/Astenus gracilis/Astenus gracilis_25.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.016124511), ('Astenus gracilis', 0.034256846), ('Astenus lyonessius', 0.94508314)]"
44,images_species/Astenus gracilis/Astenus gracilis_26.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus immacullatus', 0.015379587), ('Astenus gracilis', 0.10904809), ('Astenus lyonessius', 0.84191334)]"
45,images_species/Astenus gracilis/Astenus gracilis_27.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.012096852), ('Astenus gracilis', 0.07650362), ('Astenus lyonessius', 0.91073453)]"
46,images_species/Astenus gracilis/Astenus gracilis_9.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.0064688255), ('Astenus gracilis', 0.079872362), ('Astenus lyonessius', 0.90884405)]"
48,images_species/Astenus immacullatus/Astenus immacullatus_14.jpg,Astenus immacullatus,Scopaeus sulcicollis,"[('Astenus pulchellus', 0.0014404911), ('Astenus immacullatus', 0.2432479), ('Scopaeus sulcicollis', 0.75268394)]"
50,images_species/Astenus immacullatus/Astenus immacullatus_16.jpg,Astenus immacullatus,Scopaeus sulcicollis,"[('Scopaeus minutus', 0.0091938386), ('Astenus immacullatus', 0.20210771), ('Scopaeus sulcicollis', 0.77608025)]"
65,images_species/Astenus immacullatus/Astenus immacullatus_31.jpg,Astenus immacullatus,Astenus lyonessius,"[('Astenus procerus', 0.037026424), ('Astenus pulchellus', 0.16473532), ('Astenus lyonessius', 0.76658195)]"
74,images_species/Astenus lyonessius/Astenus lyonessius_16.jpg,Astenus lyonessius,Astenus pulchellus,"[('Leptacinus formicetorum', 0.019520365), ('Astenus lyonessius', 0.083554946), ('Astenus pulchellus', 0.87081701)]"
80,images_species/Astenus lyonessius/Astenus lyonessius_22.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus gracilis', 0.040490001), ('Astenus lyonessius', 0.31757593), ('Astenus pulchellus', 0.63083351)]"
83,images_species/Astenus lyonessius/Astenus lyonessius_25.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus lyonessius', 0.018263828), ('Astenus gracilis', 0.022427004), ('Astenus pulchellus', 0.95797753)]"
85,images_species/Astenus lyonessius/Astenus lyonessius_27.jpg,Astenus lyonessius,Astenus pulchellus,"[('Neobisnius villosulus', 0.01057346), ('Astenus lyonessius', 0.01978082), ('Astenus pulchellus', 0.95107573)]"
91,images_species/Astenus lyonessius/Astenus lyonessius_33.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus gracilis', 0.11826269), ('Astenus lyonessius', 0.37129506), ('Astenus pulchellus', 0.46280393)]"
92,images_species/Astenus lyonessius/Astenus lyonessius_34.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus gracilis', 0.026219571), ('Astenus procerus', 0.052118186), ('Astenus pulchellus', 0.90402585)]"
93,images_species/Astenus lyonessius/Astenus lyonessius_35.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus gracilis', 0.024324849), ('Astenus lyonessius', 0.25991705), ('Astenus pulchellus', 0.69479573)]"
103,images_species/Astenus procerus/Astenus procerus_10.jpg,Astenus procerus,Astenus pulchellus,"[('Neobisnius villosulus', 0.013072752), ('Astenus procerus', 0.31665495), ('Astenus pulchellus', 0.64498991)]"
107,images_species/Astenus procerus/Astenus procerus_14.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.014859825), ('Astenus procerus', 0.29053384), ('Astenus pulchellus', 0.69301748)]"
108,images_species/Astenus procerus/Astenus procerus_15.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.0047439723), ('Astenus procerus', 0.055887982), ('Astenus pulchellus', 0.93613195)]"
109,images_species/Astenus procerus/Astenus procerus_16.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.0064651594), ('Astenus procerus', 0.16314292), ('Astenus pulchellus', 0.82847494)]"
110,images_species/Astenus procerus/Astenus procerus_17.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.018484183), ('Astenus procerus', 0.41061884), ('Astenus pulchellus', 0.56589955)]"
111,images_species/Astenus procerus/Astenus procerus_18.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.0085235368), ('Astenus procerus', 0.050319929), ('Astenus pulchellus', 0.93965423)]"
112,images_species/Astenus procerus/Astenus procerus_19.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus procerus', 0.16232659), ('Scopaeus sulcicollis', 0.23031864), ('Astenus pulchellus', 0.57610065)]"
113,images_species/Astenus procerus/Astenus procerus_20.jpg,Astenus procerus,Scopaeus sulcicollis,"[('Scopaeus minutus', 0.14563605), ('Astenus pulchellus', 0.24644582), ('Scopaeus sulcicollis', 0.58054042)]"
115,images_species/Astenus procerus/Astenus procerus_7.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.0083091594), ('Astenus procerus', 0.0088230316), ('Astenus pulchellus', 0.97965509)]"
116,images_species/Astenus procerus/Astenus procerus_8.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.0079879509), ('Astenus lyonessius', 0.012657813), ('Astenus pulchellus', 0.9749248)]"
117,images_species/Astenus procerus/Astenus procerus_9.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus procerus', 0.056802362), ('Astenus gracilis', 0.10903844), ('Astenus pulchellus', 0.81960362)]"
133,images_species/Astenus pulchellus/Astenus pulchellus_27.jpg,Astenus pulchellus,Astenus lyonessius,"[('Astenus pulchellus', 0.033610944), ('Astenus gracilis', 0.10254772), ('Astenus lyonessius', 0.86099792)]"
158,images_species/Bisnius cephalotes/Bisnius cephalotes_18.jpg,Bisnius cephalotes,Philonthus rectangulus,"[('Atrecus longiceps', 0.039412152), ('Quedius umbrinus', 0.062278159), ('Philonthus rectangulus', 0.82092047)]"
161,images_species/Bisnius cephalotes/Bisnius cephalotes_21.jpg,Bisnius cephalotes,Bisnius sordidus,"[('Bisnius fimetarius', 0.037306923), ('Bisnius cephalotes', 0.30114052), ('Bisnius sordidus', 0.6562801)]"
162,images_species/Bisnius cephalotes/Bisnius cephalotes_22.jpg,Bisnius cephalotes,Bisnius parcus,"[('Rugilus rufipes', 0.11495775), ('Bisnius cephalotes', 0.13284178), ('Bisnius parcus', 0.62118077)]"
168,images_species/Bisnius cephalotes/Bisnius cephalotes_28.jpg,Bisnius cephalotes,Philonthus rectangulus,"[('Rugilus rufipes', 0.036267087), ('Bisnius cephalotes', 0.31968331), ('Philonthus rectangulus', 0.5847286)]"
170,images_species/Bisnius cephalotes/Bisnius cephalotes_30.jpg,Bisnius cephalotes,Bisnius sordidus,"[('Bisnius cephalotes', 0.042650517), ('Philonthus rufipes', 0.058758609), ('Bisnius sordidus', 0.85077542)]"
