,Filename,Label,Prediction1,Prediction3
0,images_species/Achenium humile/Achenium humile_10.jpg,Achenium humile,Achenium humile,"[('Lathrobium fovulum', 0.00011811524), ('Lathrobium pallidum', 0.0024290758), ('Achenium humile', 0.99739432)]"
1,images_species/Achenium humile/Achenium humile_11.jpg,Achenium humile,Achenium humile,"[('Lathrobium fovulum', 0.0017061606), ('Lathrobium pallidum', 0.030579247), ('Achenium humile', 0.96656078)]"
2,images_species/Achenium humile/Achenium humile_4.jpg,Achenium humile,Achenium humile,"[('Lobrathium multipunctum', 0.0034411431), ('Lathrobium pallidum', 0.0070274877), ('Achenium humile', 0.98796684)]"
3,images_species/Achenium humile/Achenium humile_5.jpg,Achenium humile,Achenium humile,"[('Lathrobium fovulum', 0.0032492704), ('Lathrobium pallidum', 0.0037569026), ('Achenium humile', 0.99221557)]"
4,images_species/Achenium humile/Achenium humile_6.jpg,Achenium humile,Achenium humile,"[('Lathrobium pallidum', 0.081954651), ('Lathrobium fovulum', 0.084592149), ('Achenium humile', 0.82847869)]"
5,images_species/Achenium humile/Achenium humile_7.jpg,Achenium humile,Achenium humile,"[('Lathrobium fovulum', 0.0020235183), ('Lathrobium pallidum', 0.0051974328), ('Achenium humile', 0.99091446)]"
6,images_species/Achenium humile/Achenium humile_8.jpg,Achenium humile,Achenium humile,"[('Lobrathium multipunctum', 0.0074273567), ('Lathrobium pallidum', 0.0091629755), ('Achenium humile', 0.97956538)]"
7,images_species/Achenium humile/Achenium humile_9.jpg,Achenium humile,Achenium humile,"[('Lathrobium fovulum', 0.004244844), ('Lathrobium pallidum', 0.027217947), ('Achenium humile', 0.96691161)]"
8,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_10.jpg,Acylophorus glaberrimus,Philonthus cognatus,"[('Acylophorus wagenschieberi', 0.12397344), ('Acylophorus glaberrimus', 0.27269644), ('Philonthus cognatus', 0.50779831)]"
9,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_11.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Heterothops praevius', 0.01264405), ('Philonthus jurgans', 0.030051805), ('Acylophorus glaberrimus', 0.93827486)]"
10,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_12.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 0.010574986), ('Quedius semiobscurus', 0.012114156), ('Acylophorus glaberrimus', 0.96085006)]"
11,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_13.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus varians', 0.050826069), ('Acylophorus wagenschieberi', 0.27748865), ('Acylophorus glaberrimus', 0.62877959)]"
12,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_14.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus jurgans', 0.0017280747), ('Heterothops quadripunctulus', 0.019094372), ('Acylophorus glaberrimus', 0.97385019)]"
13,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_15.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 0.011798905), ('Heterothops quadripunctulus', 0.11035006), ('Acylophorus glaberrimus', 0.86114693)]"
14,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_16.jpg,Acylophorus glaberrimus,Acylophorus wagenschieberi,"[('Philonthus varians', 0.067885518), ('Acylophorus glaberrimus', 0.25496295), ('Acylophorus wagenschieberi', 0.62173021)]"
15,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_17.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius semiobscurus', 0.14865156), ('Acylophorus wagenschieberi', 0.20501457), ('Acylophorus glaberrimus', 0.58625764)]"
16,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_6.jpg,Acylophorus glaberrimus,Acylophorus wagenschieberi,"[('Philonthus varians', 0.013869985), ('Acylophorus glaberrimus', 0.05411547), ('Acylophorus wagenschieberi', 0.91977918)]"
17,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_7.jpg,Acylophorus glaberrimus,Philonthus varians,"[('Acylophorus wagenschieberi', 0.19302434), ('Acylophorus glaberrimus', 0.22676685), ('Philonthus varians', 0.37122986)]"
18,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_8.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 0.013903484), ('Euryporus picipes', 0.038173281), ('Acylophorus glaberrimus', 0.93535614)]"
19,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_9.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 0.0027241486), ('Euryporus picipes', 0.0080385003), ('Acylophorus glaberrimus', 0.98721385)]"
20,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_10.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 0.00064268277), ('Philonthus varians', 0.001845238), ('Acylophorus wagenschieberi', 0.99584681)]"
21,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_11.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 0.0050949645), ('Acylophorus glaberrimus', 0.01463658), ('Acylophorus wagenschieberi', 0.97284514)]"
22,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_4.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 0.0061804098), ('Quedius semiobscurus', 0.012119594), ('Acylophorus wagenschieberi', 0.9765535)]"
23,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_5.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Philonthus fumarius', 0.00024588397), ('Euryporus picipes', 0.0037551466), ('Acylophorus wagenschieberi', 0.99545288)]"
24,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_6.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 0.013445399), ('Quedius semiobscurus', 0.015296984), ('Acylophorus wagenschieberi', 0.96273297)]"
25,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_7.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 0.0022021623), ('Euryporus picipes', 0.004924133), ('Acylophorus wagenschieberi', 0.99106908)]"
26,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_8.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 0.00074126502), ('Quedius semiobscurus', 0.0019248123), ('Acylophorus wagenschieberi', 0.9964121)]"
27,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_9.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 0.002367049), ('Quedius semiobscurus', 0.011393313), ('Acylophorus wagenschieberi', 0.98311621)]"
28,images_species/Astenus gracilis/Astenus gracilis_10.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus procerus', 0.036137797), ('Astenus gracilis', 0.05219578), ('Astenus pulchellus', 0.87632054)]"
29,images_species/Astenus gracilis/Astenus gracilis_11.jpg,Astenus gracilis,Astenus pulchellus,"[('Neobisnius villosulus', 0.039818361), ('Astenus lyonessius', 0.043124508), ('Astenus pulchellus', 0.86236107)]"
30,images_species/Astenus gracilis/Astenus gracilis_12.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.0036499549), ('Astenus gracilis', 0.018253013), ('Astenus pulchellus', 0.97125453)]"
31,images_species/Astenus gracilis/Astenus gracilis_13.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus gracilis', 0.16851538), ('Astenus pulchellus', 0.40933487), ('Astenus lyonessius', 0.41724747)]"
32,images_species/Astenus gracilis/Astenus gracilis_14.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus gracilis', 0.010075985), ('Astenus procerus', 0.046427216), ('Astenus pulchellus', 0.94037449)]"
33,images_species/Astenus gracilis/Astenus gracilis_15.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus gracilis', 0.0050240997), ('Neobisnius villosulus', 0.0094169714), ('Astenus pulchellus', 0.9757992)]"
34,images_species/Astenus gracilis/Astenus gracilis_16.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.057583664), ('Astenus gracilis', 0.089656703), ('Astenus pulchellus', 0.85104162)]"
35,images_species/Astenus gracilis/Astenus gracilis_17.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.2762205), ('Astenus gracilis', 0.30498463), ('Astenus pulchellus', 0.41632107)]"
36,images_species/Astenus gracilis/Astenus gracilis_18.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.26720393), ('Astenus gracilis', 0.28878468), ('Astenus pulchellus', 0.44185001)]"
37,images_species/Astenus gracilis/Astenus gracilis_19.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.0031982835), ('Astenus gracilis', 0.17120013), ('Astenus lyonessius', 0.82511616)]"
38,images_species/Astenus gracilis/Astenus gracilis_20.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.00064138049), ('Astenus gracilis', 0.026336187), ('Astenus lyonessius', 0.97285879)]"
39,images_species/Astenus gracilis/Astenus gracilis_21.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.0011595819), ('Astenus gracilis', 0.026323039), ('Astenus lyonessius', 0.97175556)]"
40,images_species/Astenus gracilis/Astenus gracilis_22.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.001031048), ('Astenus gracilis', 0.084640808), ('Astenus lyonessius', 0.91384798)]"
41,images_species/Astenus gracilis/Astenus gracilis_23.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.010200319), ('Astenus gracilis', 0.055265173), ('Astenus lyonessius', 0.932414)]"
