,Filename,Label,Prediction1,Prediction3
0,images_subfamily/Paederinae/Achenium humile_10.jpg,Paederinae,Staphylininae,"[('Paederinae', 4.4783437e-13), ('Staphylininae', 1.0)]"
1,images_subfamily/Paederinae/Achenium humile_11.jpg,Paederinae,Staphylininae,"[('Paederinae', 1.7754294e-13), ('Staphylininae', 1.0)]"
2,images_subfamily/Paederinae/Achenium humile_4.jpg,Paederinae,Staphylininae,"[('Paederinae', 2.641384e-13), ('Staphylininae', 1.0)]"
3,images_subfamily/Paederinae/Achenium humile_5.jpg,Paederinae,Staphylininae,"[('Paederinae', 3.1054797e-13), ('Staphylininae', 1.0)]"
4,images_subfamily/Paederinae/Achenium humile_6.jpg,Paederinae,Staphylininae,"[('Paederinae', 8.7998706e-13), ('Staphylininae', 1.0)]"
5,images_subfamily/Paederinae/Achenium humile_7.jpg,Paederinae,Staphylininae,"[('Paederinae', 1.7567577e-13), ('Staphylininae', 1.0)]"
6,images_subfamily/Paederinae/Achenium humile_8.jpg,Paederinae,Staphylininae,"[('Paederinae', 8.8972131e-14), ('Staphylininae', 1.0)]"
7,images_subfamily/Paederinae/Achenium humile_9.jpg,Paederinae,Staphylininae,"[('Paederinae', 3.6121486e-13), ('Staphylininae', 1.0)]"
8,images_subfamily/Paederinae/Astenus gracilis_10.jpg,Paederinae,Staphylininae,"[('Paederinae', 5.0114242e-13), ('Staphylininae', 1.0)]"
9,images_subfamily/Paederinae/Astenus gracilis_11.jpg,Paederinae,Staphylininae,"[('Paederinae', 2.4435055e-13), ('Staphylininae', 1.0)]"
10,images_subfamily/Paederinae/Astenus gracilis_12.jpg,Paederinae,Staphylininae,"[('Paederinae', 3.8188585e-13), ('Staphylininae', 1.0)]"
11,images_subfamily/Paederinae/Astenus gracilis_13.jpg,Paederinae,Staphylininae,"[('Paederinae', 5.3305748e-13), ('Staphylininae', 1.0)]"
12,images_subfamily/Paederinae/Astenus gracilis_14.jpg,Paederinae,Staphylininae,"[('Paederinae', 6.6868424e-13), ('Staphylininae', 1.0)]"
13,images_subfamily/Paederinae/Astenus gracilis_15.jpg,Paederinae,Staphylininae,"[('Paederinae', 4.5179382e-13), ('Staphylininae', 1.0)]"
14,images_subfamily/Paederinae/Astenus gracilis_16.jpg,Paederinae,Staphylininae,"[('Paederinae', 4.4214529e-13), ('Staphylininae', 1.0)]"
15,images_subfamily/Paederinae/Astenus gracilis_17.jpg,Paederinae,Staphylininae,"[('Paederinae', 9.7795829e-14), ('Staphylininae', 1.0)]"
16,images_subfamily/Paederinae/Astenus gracilis_18.jpg,Paederinae,Staphylininae,"[('Paederinae', 1.0651703e-12), ('Staphylininae', 1.0)]"
17,images_subfamily/Paederinae/Astenus gracilis_19.jpg,Paederinae,Staphylininae,"[('Paederinae', 5.8869863e-13), ('Staphylininae', 1.0)]"
18,images_subfamily/Paederinae/Astenus gracilis_20.jpg,Paederinae,Staphylininae,"[('Paederinae', 3.0757098e-14), ('Staphylininae', 1.0)]"
19,images_subfamily/Paederinae/Astenus gracilis_21.jpg,Paederinae,Staphylininae,"[('Paederinae', 1.403808e-13), ('Staphylininae', 1.0)]"
20,images_subfamily/Paederinae/Astenus gracilis_22.jpg,Paederinae,Staphylininae,"[('Paederinae', 8.589106e-13), ('Staphylininae', 1.0)]"
21,images_subfamily/Paederinae/Astenus gracilis_23.jpg,Paederinae,Staphylininae,"[('Paederinae', 1.0150056e-12), ('Staphylininae', 1.0)]"
22,images_subfamily/Paederinae/Astenus gracilis_24.jpg,Paederinae,Staphylininae,"[('Paederinae', 9.2628318e-14), ('Staphylininae', 1.0)]"
23,images_subfamily/Paederinae/Astenus gracilis_25.jpg,Paederinae,Staphylininae,"[('Paederinae', 4.7716301e-13), ('Staphylininae', 1.0)]"
24,images_subfamily/Paederinae/Astenus gracilis_26.jpg,Paederinae,Staphylininae,"[('Paederinae', 7.4973224e-14), ('Staphylininae', 1.0)]"
