,Filename,Label,Prediction1,Prediction3
0,images_tribe/Othiini/Atrecus affinis_10.jpg,Othiini,Staphylinini,"[('Paederini', 7.3316976e-14), ('Xantholinini', 9.5760795e-14), ('Staphylinini', 1.0)]"
1,images_tribe/Othiini/Atrecus affinis_11.jpg,Othiini,Staphylinini,"[('Paederini', 2.86361e-13), ('Xantholinini', 4.9424131e-13), ('Staphylinini', 1.0)]"
2,images_tribe/Othiini/Atrecus affinis_12.jpg,Othiini,Staphylinini,"[('Paederini', 2.2466017e-13), ('Xantholinini', 3.5372603e-13), ('Staphylinini', 1.0)]"
3,images_tribe/Othiini/Atrecus affinis_4.jpg,Othiini,Staphylinini,"[('Paederini', 1.9932775e-13), ('Xantholinini', 2.9528544e-13), ('Staphylinini', 1.0)]"
4,images_tribe/Othiini/Atrecus affinis_5.jpg,Othiini,Staphylinini,"[('Paederini', 3.6882989e-13), ('Xantholinini', 5.5909357e-13), ('Staphylinini', 1.0)]"
5,images_tribe/Othiini/Atrecus affinis_6.jpg,Othiini,Staphylinini,"[('Paederini', 8.8727758e-14), ('Xantholinini', 1.4560479e-13), ('Staphylinini', 1.0)]"
6,images_tribe/Othiini/Atrecus affinis_7.jpg,Othiini,Staphylinini,"[('Paederini', 1.3924745e-13), ('Xantholinini', 2.3175762e-13), ('Staphylinini', 1.0)]"
7,images_tribe/Othiini/Atrecus affinis_8.jpg,Othiini,Staphylinini,"[('Paederini', 4.2931994e-13), ('Xantholinini', 5.4596719e-13), ('Staphylinini', 1.0)]"
8,images_tribe/Othiini/Atrecus affinis_9.jpg,Othiini,Staphylinini,"[('Paederini', 3.9350955e-13), ('Xantholinini', 5.4186104e-13), ('Staphylinini', 1.0)]"
9,images_tribe/Othiini/Atrecus longiceps_2.jpg,Othiini,Staphylinini,"[('Paederini', 4.8103297e-13), ('Xantholinini', 5.8132318e-13), ('Staphylinini', 1.0)]"
10,images_tribe/Othiini/Atrecus longiceps_3.jpg,Othiini,Staphylinini,"[('Paederini', 1.7810529e-13), ('Xantholinini', 2.7596857e-13), ('Staphylinini', 1.0)]"
11,images_tribe/Othiini/Atrecus longiceps_4.jpg,Othiini,Staphylinini,"[('Paederini', 6.6686289e-13), ('Xantholinini', 8.8170741e-13), ('Staphylinini', 1.0)]"
12,images_tribe/Othiini/Atrecus longiceps_5.jpg,Othiini,Staphylinini,"[('Paederini', 3.2256546e-13), ('Xantholinini', 4.285321e-13), ('Staphylinini', 1.0)]"
13,images_tribe/Othiini/Atrecus longiceps_6.jpg,Othiini,Staphylinini,"[('Paederini', 2.7369353e-13), ('Xantholinini', 4.5650517e-13), ('Staphylinini', 1.0)]"
14,images_tribe/Othiini/Othius angustus_10.jpg,Othiini,Staphylinini,"[('Paederini', 8.7214321e-14), ('Xantholinini', 1.6822482e-13), ('Staphylinini', 1.0)]"
15,images_tribe/Othiini/Othius angustus_11.jpg,Othiini,Staphylinini,"[('Paederini', 1.5597928e-12), ('Xantholinini', 1.7535348e-12), ('Staphylinini', 1.0)]"
16,images_tribe/Othiini/Othius angustus_12.jpg,Othiini,Staphylinini,"[('Paederini', 2.7375514e-13), ('Xantholinini', 4.5152161e-13), ('Staphylinini', 1.0)]"
17,images_tribe/Othiini/Othius angustus_13.jpg,Othiini,Staphylinini,"[('Paederini', 1.3762202e-13), ('Xantholinini', 2.2467731e-13), ('Staphylinini', 1.0)]"
18,images_tribe/Othiini/Othius angustus_14.jpg,Othiini,Staphylinini,"[('Paederini', 2.0445568e-12), ('Xantholinini', 2.2997392e-12), ('Staphylinini', 1.0)]"
19,images_tribe/Othiini/Othius angustus_15.jpg,Othiini,Staphylinini,"[('Paederini', 9.2835434e-14), ('Xantholinini', 1.4580821e-13), ('Staphylinini', 1.0)]"
20,images_tribe/Othiini/Othius angustus_16.jpg,Othiini,Staphylinini,"[('Paederini', 3.4654239e-17), ('Xantholinini', 6.1070705e-17), ('Staphylinini', 1.0)]"
21,images_tribe/Othiini/Othius angustus_17.jpg,Othiini,Staphylinini,"[('Paederini', 5.0705818e-14), ('Xantholinini', 8.6319827e-14), ('Staphylinini', 1.0)]"
22,images_tribe/Othiini/Othius angustus_18.jpg,Othiini,Staphylinini,"[('Paederini', 1.0138794e-12), ('Xantholinini', 1.3076704e-12), ('Staphylinini', 1.0)]"
23,images_tribe/Othiini/Othius angustus_19.jpg,Othiini,Staphylinini,"[('Paederini', 7.5839221e-17), ('Xantholinini', 1.2127119e-16), ('Staphylinini', 1.0)]"
24,images_tribe/Othiini/Othius angustus_20.jpg,Othiini,Staphylinini,"[('Paederini', 5.9022963e-14), ('Xantholinini', 1.3790527e-13), ('Staphylinini', 1.0)]"
25,images_tribe/Othiini/Othius angustus_21.jpg,Othiini,Staphylinini,"[('Paederini', 5.8945931e-13), ('Xantholinini', 9.4727373e-13), ('Staphylinini', 1.0)]"
26,images_tribe/Othiini/Othius angustus_22.jpg,Othiini,Staphylinini,"[('Paederini', 7.44866e-14), ('Xantholinini', 1.1732589e-13), ('Staphylinini', 1.0)]"
27,images_tribe/Othiini/Othius angustus_23.jpg,Othiini,Staphylinini,"[('Paederini', 3.6495169e-13), ('Xantholinini', 6.0947943e-13), ('Staphylinini', 1.0)]"
28,images_tribe/Othiini/Othius angustus_24.jpg,Othiini,Staphylinini,"[('Paederini', 1.4921393e-16), ('Xantholinini', 2.8052207e-16), ('Staphylinini', 1.0)]"
