,Filename,Label,Prediction1,Prediction3
0,images_genus/Lobrathium/Lobrathium multipunctum_11.jpg,Lobrathium,Lobrathium,"[('Medon', 0.037879407), ('Atrecus', 0.21791174), ('Lobrathium', 0.74384683)]"
1,images_genus/Lobrathium/Lobrathium multipunctum_12.jpg,Lobrathium,Lobrathium,"[('Medon', 0.00038774547), ('Achenium', 0.32940641), ('Lobrathium', 0.66901821)]"
2,images_genus/Lobrathium/Lobrathium multipunctum_13.jpg,Lobrathium,Lobrathium,"[('Medon', 2.3287274e-07), ('Atrecus', 1.219097e-06), ('Lobrathium', 0.99999809)]"
3,images_genus/Lobrathium/Lobrathium multipunctum_14.jpg,Lobrathium,Lobrathium,"[('Neobisnius', 3.6330542e-07), ('Atrecus', 9.1946475e-07), ('Lobrathium', 0.99999809)]"
4,images_genus/Lobrathium/Lobrathium multipunctum_15.jpg,Lobrathium,Lobrathium,"[('Achenium', 4.9066335e-07), ('Lathrobium', 9.5707287e-07), ('Lobrathium', 0.99999821)]"
5,images_genus/Lobrathium/Lobrathium multipunctum_16.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 3.6463211e-06), ('Atrecus', 5.1208294e-06), ('Lobrathium', 0.99998629)]"
6,images_genus/Lobrathium/Lobrathium multipunctum_17.jpg,Lobrathium,Lobrathium,"[('Atrecus', 0.0040979018), ('Medon', 0.0066541201), ('Lobrathium', 0.98595351)]"
7,images_genus/Lobrathium/Lobrathium multipunctum_18.jpg,Lobrathium,Lobrathium,"[('Atrecus', 1.2203328e-06), ('Medon', 1.7488264e-06), ('Lobrathium', 0.99999666)]"
8,images_genus/Lobrathium/Lobrathium multipunctum_19.jpg,Lobrathium,Lobrathium,"[('Atrecus', 0.087868854), ('Medon', 0.10933641), ('Lobrathium', 0.79444051)]"
9,images_genus/Lobrathium/Lobrathium multipunctum_20.jpg,Lobrathium,Lobrathium,"[('Achenium', 4.5974537e-07), ('Medon', 5.2650523e-07), ('Lobrathium', 0.99999821)]"
10,images_genus/Lobrathium/Lobrathium multipunctum_21.jpg,Lobrathium,Lobrathium,"[('Achenium', 7.5858935e-08), ('Medon', 8.7190116e-08), ('Lobrathium', 0.99999976)]"
11,images_genus/Lobrathium/Lobrathium multipunctum_22.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 0.0010816659), ('Achenium', 0.0016149515), ('Lobrathium', 0.99694842)]"
12,images_genus/Lobrathium/Lobrathium multipunctum_23.jpg,Lobrathium,Lobrathium,"[('Achenium', 2.4717735e-07), ('Medon', 3.4171165e-07), ('Lobrathium', 0.99999893)]"
13,images_genus/Lobrathium/Lobrathium multipunctum_24.jpg,Lobrathium,Lobrathium,"[('Achenium', 4.2160941e-08), ('Atrecus', 5.2397333e-08), ('Lobrathium', 0.99999988)]"
14,images_genus/Lobrathium/Lobrathium multipunctum_25.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 1.5368661e-06), ('Atrecus', 2.4144058e-06), ('Lobrathium', 0.99999416)]"
15,images_genus/Lobrathium/Lobrathium multipunctum_26.jpg,Lobrathium,Lobrathium,"[('Medon', 5.8429659e-06), ('Atrecus', 1.3319033e-05), ('Lobrathium', 0.9999752)]"
16,images_genus/Lobrathium/Lobrathium multipunctum_27.jpg,Lobrathium,Lobrathium,"[('Achenium', 4.6976875e-06), ('Lathrobium', 2.0325591e-05), ('Lobrathium', 0.99996769)]"
17,images_genus/Lobrathium/Lobrathium multipunctum_28.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 2.2285478e-05), ('Achenium', 9.8970697e-05), ('Lobrathium', 0.99986577)]"
18,images_genus/Lobrathium/Lobrathium multipunctum_29.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 1.34956e-06), ('Medon', 1.2010592e-05), ('Lobrathium', 0.99998462)]"
19,images_genus/Lobrathium/Lobrathium multipunctum_30.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 1.685586e-05), ('Medon', 2.1134165e-05), ('Lobrathium', 0.9999429)]"
20,images_genus/Lobrathium/Lobrathium multipunctum_31.jpg,Lobrathium,Lathrobium,"[('Achenium', 0.017627886), ('Lobrathium', 0.36905825), ('Lathrobium', 0.60936385)]"
21,images_genus/Lobrathium/Lobrathium multipunctum_32.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.00039714642), ('Atrecus', 0.0066028032), ('Lobrathium', 0.99269015)]"
22,images_genus/Achenium/Achenium humile_10.jpg,Achenium,Achenium,"[('Gyrohypnus', 2.4575907e-11), ('Paederus', 6.4408805e-11), ('Achenium', 1.0)]"
23,images_genus/Achenium/Achenium humile_11.jpg,Achenium,Achenium,"[('Atrecus', 1.3187727e-10), ('Gyrohypnus', 1.5193008e-09), ('Achenium', 1.0)]"
24,images_genus/Achenium/Achenium humile_4.jpg,Achenium,Achenium,"[('Atrecus', 1.7500993e-09), ('Euryporus', 2.7426632e-09), ('Achenium', 1.0)]"
25,images_genus/Achenium/Achenium humile_5.jpg,Achenium,Achenium,"[('Lathrobium', 7.2038013e-08), ('Euryporus', 1.3495257e-07), ('Achenium', 0.99999976)]"
26,images_genus/Achenium/Achenium humile_6.jpg,Achenium,Achenium,"[('Xantholinus', 1.023603e-07), ('Lobrathium', 1.1112886e-07), ('Achenium', 0.99999976)]"
27,images_genus/Achenium/Achenium humile_7.jpg,Achenium,Achenium,"[('Gyrohypnus', 8.6818535e-09), ('Atrecus', 3.2674354e-08), ('Achenium', 1.0)]"
