,Filename,Label,Prediction1,Prediction3
30,images_species/Astenus gracilis/Astenus gracilis_12.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus procerus', 1.0237982e-06), ('Astenus gracilis', 0.0061102142), ('Astenus pulchellus', 0.99388486)]"
32,images_species/Astenus gracilis/Astenus gracilis_14.jpg,Astenus gracilis,Astenus pulchellus,"[('Lathrobium rufipenne', 0.00013403958), ('Astenus gracilis', 0.16128217), ('Astenus pulchellus', 0.83850259)]"
33,images_species/Astenus gracilis/Astenus gracilis_15.jpg,Astenus gracilis,Astenus pulchellus,"[('Scopaeus laevigatus', 0.00024438137), ('Astenus gracilis', 0.03497842), ('Astenus pulchellus', 0.96446025)]"
34,images_species/Astenus gracilis/Astenus gracilis_16.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.0011824339), ('Astenus gracilis', 0.021999143), ('Astenus lyonessius', 0.97597241)]"
35,images_species/Astenus gracilis/Astenus gracilis_17.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus immacullatus', 0.0015339975), ('Astenus gracilis', 0.097883508), ('Astenus lyonessius', 0.90024704)]"
38,images_species/Astenus gracilis/Astenus gracilis_20.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus immacullatus', 1.5228514e-06), ('Astenus gracilis', 4.6998048e-05), ('Astenus lyonessius', 0.99995041)]"
41,images_species/Astenus gracilis/Astenus gracilis_23.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus immacullatus', 0.00058500812), ('Astenus gracilis', 0.46696082), ('Astenus lyonessius', 0.53141773)]"
44,images_species/Astenus gracilis/Astenus gracilis_26.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus immacullatus', 0.00023296318), ('Astenus gracilis', 0.015057338), ('Astenus lyonessius', 0.98463225)]"
45,images_species/Astenus gracilis/Astenus gracilis_27.jpg,Astenus gracilis,Astenus lyonessius,"[('Sunius melanocephalus', 0.0029412054), ('Astenus gracilis', 0.49067035), ('Astenus lyonessius', 0.50506347)]"
65,images_species/Astenus immacullatus/Astenus immacullatus_31.jpg,Astenus immacullatus,Astenus lyonessius,"[('Gyrohypnus atratus', 0.0095903324), ('Astenus immacullatus', 0.066594422), ('Astenus lyonessius', 0.9180609)]"
74,images_species/Astenus lyonessius/Astenus lyonessius_16.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus lyonessius', 0.021961963), ('Astenus gracilis', 0.37878841), ('Astenus pulchellus', 0.58401567)]"
79,images_species/Astenus lyonessius/Astenus lyonessius_21.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.00021454881), ('Astenus lyonessius', 0.45967105), ('Astenus gracilis', 0.53991681)]"
81,images_species/Astenus lyonessius/Astenus lyonessius_23.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.00010048407), ('Astenus lyonessius', 0.0018649353), ('Astenus gracilis', 0.99796391)]"
82,images_species/Astenus lyonessius/Astenus lyonessius_24.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.00044659103), ('Astenus lyonessius', 0.39293924), ('Astenus gracilis', 0.6061877)]"
84,images_species/Astenus lyonessius/Astenus lyonessius_26.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus lyonessius', 0.0018450695), ('Astenus pulchellus', 0.0029034407), ('Astenus gracilis', 0.99491948)]"
85,images_species/Astenus lyonessius/Astenus lyonessius_27.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus lyonessius', 0.0042886287), ('Astenus pulchellus', 0.0072925813), ('Astenus gracilis', 0.97987652)]"
87,images_species/Astenus lyonessius/Astenus lyonessius_29.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus lyonessius', 0.11545115), ('Astenus gracilis', 0.421222), ('Astenus pulchellus', 0.46218619)]"
92,images_species/Astenus lyonessius/Astenus lyonessius_34.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus procerus', 0.00041684482), ('Astenus gracilis', 0.16698283), ('Astenus pulchellus', 0.83255273)]"
94,images_species/Astenus lyonessius/Astenus lyonessius_36.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus procerus', 7.781099e-05), ('Astenus gracilis', 0.11315577), ('Astenus pulchellus', 0.88672143)]"
95,images_species/Astenus lyonessius/Astenus lyonessius_37.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.026258711), ('Astenus lyonessius', 0.46992117), ('Astenus gracilis', 0.47969067)]"
98,images_species/Astenus lyonessius/Astenus lyonessius_40.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.0016237437), ('Astenus lyonessius', 0.37674874), ('Astenus gracilis', 0.62140608)]"
106,images_species/Astenus procerus/Astenus procerus_13.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 6.4062981e-05), ('Astenus procerus', 0.21390682), ('Astenus pulchellus', 0.78593713)]"
109,images_species/Astenus procerus/Astenus procerus_16.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.00012937144), ('Astenus procerus', 0.29831982), ('Astenus pulchellus', 0.70136356)]"
115,images_species/Astenus procerus/Astenus procerus_7.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 0.016568901), ('Astenus procerus', 0.10355652), ('Astenus pulchellus', 0.87905765)]"
116,images_species/Astenus procerus/Astenus procerus_8.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus gracilis', 4.0042207e-05), ('Astenus procerus', 0.30377853), ('Astenus pulchellus', 0.6961562)]"
161,images_species/Bisnius cephalotes/Bisnius cephalotes_21.jpg,Bisnius cephalotes,Bisnius sordidus,"[('Philonthus politus', 0.00053336896), ('Bisnius cephalotes', 0.014131712), ('Bisnius sordidus', 0.98474312)]"
190,images_species/Bisnius cephalotes/Bisnius cephalotes_50.jpg,Bisnius cephalotes,Bisnius sordidus,"[('Bisnius fimetarius', 0.020591693), ('Bisnius cephalotes', 0.39203167), ('Bisnius sordidus', 0.58721197)]"
195,images_species/Bisnius fimetarius/Bisnius fimetarius_33.jpg,Bisnius fimetarius,Philonthus quisquiliarius,"[('Philonthus concinnus', 0.039112896), ('Philonthus fumarius', 0.12535813), ('Philonthus quisquiliarius', 0.7754091)]"
236,images_species/Bisnius fimetarius/Bisnius fimetarius_74.jpg,Bisnius fimetarius,Bisnius cephalotes,"[('Tasgius melanarius', 4.2107025e-05), ('Gyrohypnus atratus', 9.9831472e-05), ('Bisnius cephalotes', 0.99981838)]"
237,images_species/Bisnius fimetarius/Bisnius fimetarius_75.jpg,Bisnius fimetarius,Bisnius sordidus,"[('Bisnius cephalotes', 0.00019710883), ('Bisnius fimetarius', 0.0073451125), ('Bisnius sordidus', 0.99230778)]"
243,images_species/Bisnius fimetarius/Bisnius fimetarius_81.jpg,Bisnius fimetarius,Philonthus quisquiliarius,"[('Bisnius cephalotes', 7.8081457e-06), ('Bisnius fimetarius', 0.00096700341), ('Philonthus quisquiliarius', 0.99901295)]"
246,images_species/Bisnius fimetarius/Bisnius fimetarius_84.jpg,Bisnius fimetarius,Cafius xantholoma,"[('Bisnius fimetarius', 0.0028754894), ('Bisnius cephalotes', 0.013068923), ('Cafius xantholoma', 0.98213011)]"
247,images_species/Bisnius fimetarius/Bisnius fimetarius_85.jpg,Bisnius fimetarius,Philonthus albipes,"[('Heterothops quadripunctulus', 1.2544697e-05), ('Heterothops minutus', 0.0053346315), ('Philonthus albipes', 0.99464744)]"
250,images_species/Bisnius fimetarius/Bisnius fimetarius_88.jpg,Bisnius fimetarius,Bisnius cephalotes,"[('Gyrohypnus atratus', 0.0047110571), ('Bisnius fimetarius', 0.25017565), ('Bisnius cephalotes', 0.73922348)]"
280,images_species/Bisnius parcus/Bisnius parcus_3.jpg,Bisnius parcus,Bisnius pseudoparcus,"[('Philonthus rectangulus', 0.00023945645), ('Bisnius parcus', 0.41254181), ('Bisnius pseudoparcus', 0.58701152)]"
326,images_species/Cafius xantholoma/Cafius xantholoma_43.jpg,Cafius xantholoma,Xantholinus laevigatus,"[('Atrecus affinis', 0.036865015), ('Atrecus longiceps', 0.18808931), ('Xantholinus laevigatus', 0.72952616)]"
436,images_species/Gabrius appendiculatus/Gabrius appendiculatus_11.jpg,Gabrius appendiculatus,Gabrius breviventer,"[('Gabrius austriacus', 0.12085576), ('Gabrius appendiculatus', 0.27765495), ('Gabrius breviventer', 0.57460546)]"
441,images_species/Gabrius appendiculatus/Gabrius appendiculatus_16.jpg,Gabrius appendiculatus,Gabrius austriacus,"[('Gabrius appendiculatus', 0.051600724), ('Gabrius breviventer', 0.10747317), ('Gabrius austriacus', 0.83302546)]"
455,images_species/Gabrius breviventer/Gabrius breviventer_12.jpg,Gabrius breviventer,Gabrius appendiculatus,"[('Gabrius austriacus', 0.0067320834), ('Gabrius breviventer', 0.087917753), ('Gabrius appendiculatus', 0.90326196)]"
467,images_species/Gabrius breviventer/Gabrius breviventer_24.jpg,Gabrius breviventer,Gabrius keysianus,"[('Gabrius breviventer', 0.011060364), ('Gabrius appendiculatus', 0.3936033), ('Gabrius keysianus', 0.59345388)]"
468,images_species/Gabrius breviventer/Gabrius breviventer_8.jpg,Gabrius breviventer,Gabrius nigritulus,"[('Gabrius keysianus', 0.012347471), ('Gabrius breviventer', 0.46510407), ('Gabrius nigritulus', 0.50847274)]"
470,images_species/Gabrius exiguus/Gabrius exiguus_1.jpg,Gabrius exiguus,Gabrius austriacus,"[('Bisnius nitidulus', 0.001532992), ('Gabrius exiguus', 0.097884104), ('Gabrius austriacus', 0.89932579)]"
471,images_species/Gabrius exiguus/Gabrius exiguus_2.jpg,Gabrius exiguus,Gabrius austriacus,"[('Bisnius nitidulus', 0.090129681), ('Gabrius exiguus', 0.21982548), ('Gabrius austriacus', 0.66467762)]"
472,images_species/Gabrius exiguus/Gabrius exiguus_3.jpg,Gabrius exiguus,Bisnius nitidulus,"[('Bisnius pseudoparcus', 0.092610985), ('Bisnius fimetarius', 0.10939477), ('Bisnius nitidulus', 0.65344828)]"
481,images_species/Gabrius nigritulus/Gabrius nigritulus_13.jpg,Gabrius nigritulus,Gabrius appendiculatus,"[('Gabrius breviventer', 0.0028267796), ('Gabrius austriacus', 0.010022397), ('Gabrius appendiculatus', 0.9871335)]"
482,images_species/Gabrius nigritulus/Gabrius nigritulus_14.jpg,Gabrius nigritulus,Gabrius appendiculatus,"[('Gabrius austriacus', 0.0099105742), ('Gabrius breviventer', 0.30708262), ('Gabrius appendiculatus', 0.66218227)]"
483,images_species/Gabrius nigritulus/Gabrius nigritulus_15.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gabrius nigritulus', 0.011812882), ('Gabrius breviventer', 0.07951989), ('Gabrius splendidulus', 0.90567076)]"
484,images_species/Gabrius nigritulus/Gabrius nigritulus_16.jpg,Gabrius nigritulus,Gabrius breviventer,"[('Gabrius splendidulus', 0.058761179), ('Gabrius austriacus', 0.07574109), ('Gabrius breviventer', 0.80781943)]"
485,images_species/Gabrius nigritulus/Gabrius nigritulus_17.jpg,Gabrius nigritulus,Gabrius breviventer,"[('Gabrius nigritulus', 0.058190066), ('Gabrius splendidulus', 0.23484683), ('Gabrius breviventer', 0.69915742)]"
486,images_species/Gabrius nigritulus/Gabrius nigritulus_18.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gyrohypnus fracticornis', 0.012438187), ('Lithocharis nigriceps', 0.035634529), ('Gabrius splendidulus', 0.94207764)]"
487,images_species/Gabrius nigritulus/Gabrius nigritulus_19.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gabrius trossulus', 0.00023518066), ('Gabrius breviventer', 0.0008931139), ('Gabrius splendidulus', 0.99872226)]"
488,images_species/Gabrius nigritulus/Gabrius nigritulus_20.jpg,Gabrius nigritulus,Gabrius breviventer,"[('Gabrius nigritulus', 0.029495019), ('Gabronthus thermarum', 0.060128253), ('Gabrius breviventer', 0.88328499)]"
489,images_species/Gabrius nigritulus/Gabrius nigritulus_21.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gabrius breviventer', 0.037572592), ('Gabronthus thermarum', 0.28111723), ('Gabrius splendidulus', 0.66624427)]"
490,images_species/Gabrius nigritulus/Gabrius nigritulus_22.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gabrius trossulus', 0.0079366621), ('Gabrius breviventer', 0.15689024), ('Gabrius splendidulus', 0.8265292)]"
491,images_species/Gabrius nigritulus/Gabrius nigritulus_23.jpg,Gabrius nigritulus,Gabrius appendiculatus,"[('Gabrius nigritulus', 0.022451295), ('Gabrius breviventer', 0.087942049), ('Gabrius appendiculatus', 0.86341292)]"
492,images_species/Gabrius nigritulus/Gabrius nigritulus_24.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gabrius nigritulus', 0.0072281631), ('Gabrius breviventer', 0.036570393), ('Gabrius splendidulus', 0.95534766)]"
493,images_species/Gabrius nigritulus/Gabrius nigritulus_25.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gabrius trossulus', 0.03359548), ('Gabronthus thermarum', 0.061755367), ('Gabrius splendidulus', 0.84115195)]"
494,images_species/Gabrius nigritulus/Gabrius nigritulus_26.jpg,Gabrius nigritulus,Gabrius breviventer,"[('Gabrius trossulus', 0.012763426), ('Gabrius splendidulus', 0.016079983), ('Gabrius breviventer', 0.96620262)]"
495,images_species/Gabrius nigritulus/Gabrius nigritulus_27.jpg,Gabrius nigritulus,Gabrius breviventer,"[('Gabrius appendiculatus', 0.0005974978), ('Gabrius austriacus', 0.01338785), ('Gabrius breviventer', 0.98547155)]"
497,images_species/Gabrius nigritulus/Gabrius nigritulus_29.jpg,Gabrius nigritulus,Gabrius trossulus,"[('Leptacinus pusillus', 0.0066581066), ('Gabrius exiguus', 0.0086176433), ('Gabrius trossulus', 0.96274942)]"
498,images_species/Gabrius nigritulus/Gabrius nigritulus_30.jpg,Gabrius nigritulus,Gabrius breviventer,"[('Gabrius trossulus', 0.036381725), ('Gabrius splendidulus', 0.31830135), ('Gabrius breviventer', 0.6132459)]"
499,images_species/Gabrius nigritulus/Gabrius nigritulus_31.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gabrius breviventer', 0.04303832), ('Gabrius trossulus', 0.085348286), ('Gabrius splendidulus', 0.77426696)]"
500,images_species/Gabrius nigritulus/Gabrius nigritulus_32.jpg,Gabrius nigritulus,Gabrius austriacus,"[('Gabrius trossulus', 0.0042918241), ('Gabrius breviventer', 0.22083721), ('Gabrius austriacus', 0.76968104)]"
501,images_species/Gabrius nigritulus/Gabrius nigritulus_33.jpg,Gabrius nigritulus,Gabrius breviventer,"[('Gabrius trossulus', 0.034912661), ('Gabrius austriacus', 0.056280199), ('Gabrius breviventer', 0.86702245)]"
502,images_species/Gabrius nigritulus/Gabrius nigritulus_34.jpg,Gabrius nigritulus,Gabrius splendidulus,"[('Gabrius osseticus', 0.0062496033), ('Gabrius breviventer', 0.23452356), ('Gabrius splendidulus', 0.74629021)]"
503,images_species/Gabrius nigritulus/Gabrius nigritulus_35.jpg,Gabrius nigritulus,Gabrius breviventer,"[('Gabrius appendiculatus', 0.043597732), ('Neobisnius villosulus', 0.053752389), ('Gabrius breviventer', 0.87059116)]"
514,images_species/Gabrius osseticus/Gabrius osseticus_17.jpg,Gabrius osseticus,Bisnius fimetarius,"[('Gabrius osseticus', 0.058982547), ('Gabrius exiguus', 0.17190202), ('Bisnius fimetarius', 0.73266524)]"
535,images_species/Gabrius splendidulus/Gabrius splendidulus_25.jpg,Gabrius splendidulus,Lithocharis nigriceps,"[('Neobisnius villosulus', 0.0014405147), ('Gabrius splendidulus', 0.0044272752), ('Lithocharis nigriceps', 0.99248147)]"
541,images_species/Gabrius trossulus/Gabrius trossulus_12.jpg,Gabrius trossulus,Gabrius appendiculatus,"[('Gabrius breviventer', 0.018402742), ('Gabrius trossulus', 0.4178004), ('Gabrius appendiculatus', 0.56220871)]"
546,images_species/Gabrius trossulus/Gabrius trossulus_7.jpg,Gabrius trossulus,Gabrius exiguus,"[('Gabrius osseticus', 0.0030305693), ('Gabrius trossulus', 0.21844679), ('Gabrius exiguus', 0.77797145)]"
563,images_species/Gyrohypnus angustatus/Gyrohypnus angustatus_10.jpg,Gyrohypnus angustatus,Phacophallus parumpunctatus,"[('Xantholinus dvoraki', 0.036547035), ('Gyrohypnus fracticornis', 0.053950984), ('Phacophallus parumpunctatus', 0.88848019)]"
566,images_species/Gyrohypnus angustatus/Gyrohypnus angustatus_4.jpg,Gyrohypnus angustatus,Phacophallus parumpunctatus,"[('Leptacinus pusillus', 0.016387399), ('Gyrohypnus angustatus', 0.033459924), ('Phacophallus parumpunctatus', 0.92285651)]"
567,images_species/Gyrohypnus angustatus/Gyrohypnus angustatus_5.jpg,Gyrohypnus angustatus,Bisnius subuliformis,"[('Gyrohypnus angustatus', 0.19755997), ('Gyrohypnus fracticornis', 0.23705411), ('Bisnius subuliformis', 0.33748814)]"
569,images_species/Gyrohypnus angustatus/Gyrohypnus angustatus_7.jpg,Gyrohypnus angustatus,Bisnius subuliformis,"[('Leptacinus intermedius', 0.035755847), ('Gyrohypnus angustatus', 0.064025663), ('Bisnius subuliformis', 0.81382263)]"
570,images_species/Gyrohypnus angustatus/Gyrohypnus angustatus_8.jpg,Gyrohypnus angustatus,Xantholinus laevigatus,"[('Gyrohypnus angustatus', 0.087945841), ('Xantholinus dvoraki', 0.32412809), ('Xantholinus laevigatus', 0.5258159)]"
571,images_species/Gyrohypnus angustatus/Gyrohypnus angustatus_9.jpg,Gyrohypnus angustatus,Phacophallus parumpunctatus,"[('Gyrohypnus punctulatus', 0.026635436), ('Gyrohypnus angustatus', 0.3815279), ('Phacophallus parumpunctatus', 0.56679249)]"
577,images_species/Gyrohypnus atratus/Gyrohypnus atratus_5.jpg,Gyrohypnus atratus,Gyrohypnus fracticornis,"[('Bisnius cephalotes', 1.2933119e-05), ('Gyrohypnus atratus', 0.0072661615), ('Gyrohypnus fracticornis', 0.99269414)]"
583,images_species/Gyrohypnus fracticornis/Gyrohypnus fracticornis_11.jpg,Gyrohypnus fracticornis,Gyrohypnus punctulatus,"[('Philonthus quisquiliarius', 9.092976e-05), ('Gyrohypnus fracticornis', 0.094460919), ('Gyrohypnus punctulatus', 0.90535545)]"
590,images_species/Gyrohypnus fracticornis/Gyrohypnus fracticornis_18.jpg,Gyrohypnus fracticornis,Gyrohypnus punctulatus,"[('Megalinus glabratus', 0.00019167966), ('Gyrohypnus fracticornis', 0.2793332), ('Gyrohypnus punctulatus', 0.72029406)]"
598,images_species/Gyrohypnus punctulatus/Gyrohypnus punctulatus_11.jpg,Gyrohypnus punctulatus,Gyrohypnus fracticornis,"[('Gyrohypnus punctulatus', 0.012493307), ('Gyrohypnus atratus', 0.43025237), ('Gyrohypnus fracticornis', 0.5545252)]"
601,images_species/Gyrohypnus punctulatus/Gyrohypnus punctulatus_14.jpg,Gyrohypnus punctulatus,Gyrohypnus fracticornis,"[('Xantholinus longiventris', 0.0013170686), ('Gyrohypnus punctulatus', 0.0030162437), ('Gyrohypnus fracticornis', 0.99527752)]"
