,Filename,Label,Prediction1,Prediction3
0,images_species/Achenium humile/Achenium humile_10.jpg,Achenium humile,Achenium humile,"[('Lathrobium dilutum', 1.3805121e-07), ('Atrecus longiceps', 2.6335718e-05), ('Achenium humile', 0.99997318)]"
1,images_species/Achenium humile/Achenium humile_11.jpg,Achenium humile,Achenium humile,"[('Lathrobium geminum', 7.5739064e-07), ('Atrecus longiceps', 3.7285479e-06), ('Achenium humile', 0.99999523)]"
2,images_species/Achenium humile/Achenium humile_4.jpg,Achenium humile,Achenium humile,"[('Atrecus longiceps', 1.5105747e-06), ('Lathrobium geminum', 4.3034115e-06), ('Achenium humile', 0.9999938)]"
3,images_species/Achenium humile/Achenium humile_5.jpg,Achenium humile,Achenium humile,"[('Atrecus longiceps', 0.0029945783), ('Lathrobium pallidum', 0.0040174592), ('Achenium humile', 0.9923442)]"
4,images_species/Achenium humile/Achenium humile_6.jpg,Achenium humile,Achenium humile,"[('Lathrobium geminum', 0.00023948308), ('Atrecus longiceps', 0.0026836405), ('Achenium humile', 0.99698597)]"
5,images_species/Achenium humile/Achenium humile_7.jpg,Achenium humile,Achenium humile,"[('Atrecus longiceps', 0.0046794722), ('Lathrobium geminum', 0.030458113), ('Achenium humile', 0.95631534)]"
6,images_species/Achenium humile/Achenium humile_8.jpg,Achenium humile,Achenium humile,"[('Lathrobium geminum', 2.4414085e-05), ('Atrecus longiceps', 2.8573186e-05), ('Achenium humile', 0.9999423)]"
7,images_species/Achenium humile/Achenium humile_9.jpg,Achenium humile,Achenium humile,"[('Lathrobium pallidum', 0.00066522468), ('Atrecus longiceps', 0.0030824137), ('Achenium humile', 0.9945268)]"
8,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_10.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Euryporus picipes', 0.00082972733), ('Acylophorus wagenschieberi', 0.064319015), ('Acylophorus glaberrimus', 0.93428677)]"
9,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_11.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus jurgans', 9.5790987e-05), ('Quedius curtipennis', 0.00071709632), ('Acylophorus glaberrimus', 0.99902177)]"
10,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_12.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 3.8155064e-05), ('Quedius curtipennis', 0.00085669587), ('Acylophorus glaberrimus', 0.99907148)]"
11,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_13.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 6.9152455e-05), ('Acylophorus wagenschieberi', 0.00056335173), ('Acylophorus glaberrimus', 0.99930882)]"
12,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_14.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus varians', 0.00016872372), ('Quedius curtipennis', 0.00023564314), ('Acylophorus glaberrimus', 0.99938822)]"
13,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_15.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 1.2790021e-05), ('Quedius curtipennis', 4.3457319e-05), ('Acylophorus glaberrimus', 0.99994326)]"
14,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_16.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 0.002672628), ('Quedius curtipennis', 0.0085647991), ('Acylophorus glaberrimus', 0.98838836)]"
15,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_17.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 0.00013548638), ('Quedius curtipennis', 0.00041153541), ('Acylophorus glaberrimus', 0.99921036)]"
16,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_6.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 1.5257834e-05), ('Acylophorus wagenschieberi', 0.00041923692), ('Acylophorus glaberrimus', 0.9995504)]"
17,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_7.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus varians', 0.0025969204), ('Acylophorus wagenschieberi', 0.022790579), ('Acylophorus glaberrimus', 0.9729082)]"
18,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_8.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 1.3899381e-05), ('Acylophorus wagenschieberi', 1.6563576e-05), ('Acylophorus glaberrimus', 0.99995232)]"
19,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_9.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Heterothops quadripunctulus', 2.9488265e-05), ('Quedius curtipennis', 0.00036107952), ('Acylophorus glaberrimus', 0.99957794)]"
20,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_10.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 0.00022487322), ('Euryporus picipes', 0.00065683346), ('Acylophorus wagenschieberi', 0.99911457)]"
21,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_11.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 2.0540645e-06), ('Euryporus picipes', 3.9625855e-05), ('Acylophorus wagenschieberi', 0.99995768)]"
22,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_4.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Quedius semiobscurus', 1.2495101e-06), ('Euryporus picipes', 0.0001194933), ('Acylophorus wagenschieberi', 0.999879)]"
23,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_5.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Quedius semiobscurus', 2.6001546e-06), ('Euryporus picipes', 0.00011345476), ('Acylophorus wagenschieberi', 0.99988365)]"
24,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_6.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Philonthus nigrita', 7.1236194e-05), ('Euryporus picipes', 0.001136523), ('Acylophorus wagenschieberi', 0.99875677)]"
25,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_7.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 5.9031424e-07), ('Euryporus picipes', 1.7635812e-05), ('Acylophorus wagenschieberi', 0.9999814)]"
26,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_8.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 1.6302873e-05), ('Euryporus picipes', 0.00019018599), ('Acylophorus wagenschieberi', 0.99979275)]"
