,Filename,Label,Prediction1,Prediction3
0,images_subfamily/Paederinae/Achenium humile_10.jpg,Paederinae,Paederinae,"[('Staphylininae', 6.9029353e-05), ('Paederinae', 0.99993098)]"
1,images_subfamily/Paederinae/Achenium humile_11.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.1362309e-05), ('Paederinae', 0.99998868)]"
2,images_subfamily/Paederinae/Achenium humile_4.jpg,Paederinae,Paederinae,"[('Staphylininae', 0.0071285255), ('Paederinae', 0.99287146)]"
3,images_subfamily/Paederinae/Achenium humile_5.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.9646435e-05), ('Paederinae', 0.99998033)]"
4,images_subfamily/Paederinae/Achenium humile_6.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.7605866e-05), ('Paederinae', 0.99998236)]"
5,images_subfamily/Paederinae/Achenium humile_7.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.9320541e-05), ('Paederinae', 0.99998069)]"
6,images_subfamily/Paederinae/Achenium humile_8.jpg,Paederinae,Paederinae,"[('Staphylininae', 0.021982554), ('Paederinae', 0.97801745)]"
7,images_subfamily/Paederinae/Achenium humile_9.jpg,Paederinae,Paederinae,"[('Staphylininae', 8.9753612e-06), ('Paederinae', 0.99999106)]"
8,images_subfamily/Paederinae/Astenus gracilis_10.jpg,Paederinae,Paederinae,"[('Staphylininae', 4.1796347e-06), ('Paederinae', 0.99999583)]"
9,images_subfamily/Paederinae/Astenus gracilis_11.jpg,Paederinae,Paederinae,"[('Staphylininae', 0.0014771675), ('Paederinae', 0.99852282)]"
10,images_subfamily/Paederinae/Astenus gracilis_12.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.991848e-06), ('Paederinae', 0.99999797)]"
11,images_subfamily/Paederinae/Astenus gracilis_13.jpg,Paederinae,Paederinae,"[('Staphylininae', 4.6310745e-08), ('Paederinae', 1.0)]"
12,images_subfamily/Paederinae/Astenus gracilis_14.jpg,Paederinae,Paederinae,"[('Staphylininae', 3.2115371e-05), ('Paederinae', 0.99996793)]"
13,images_subfamily/Paederinae/Astenus gracilis_15.jpg,Paederinae,Paederinae,"[('Staphylininae', 4.7897756e-05), ('Paederinae', 0.99995208)]"
14,images_subfamily/Paederinae/Astenus gracilis_16.jpg,Paederinae,Paederinae,"[('Staphylininae', 5.0489172e-07), ('Paederinae', 0.99999952)]"
15,images_subfamily/Paederinae/Astenus gracilis_17.jpg,Paederinae,Paederinae,"[('Staphylininae', 3.962974e-06), ('Paederinae', 0.99999607)]"
16,images_subfamily/Paederinae/Astenus gracilis_18.jpg,Paederinae,Paederinae,"[('Staphylininae', 2.4105114e-07), ('Paederinae', 0.99999976)]"
17,images_subfamily/Paederinae/Astenus gracilis_19.jpg,Paederinae,Paederinae,"[('Staphylininae', 2.8226968e-05), ('Paederinae', 0.99997175)]"
18,images_subfamily/Paederinae/Astenus gracilis_20.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.424731e-07), ('Paederinae', 0.99999988)]"
19,images_subfamily/Paederinae/Astenus gracilis_21.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.6035029e-08), ('Paederinae', 1.0)]"
20,images_subfamily/Paederinae/Astenus gracilis_22.jpg,Paederinae,Paederinae,"[('Staphylininae', 0.00041517679), ('Paederinae', 0.99958485)]"
21,images_subfamily/Paederinae/Astenus gracilis_23.jpg,Paederinae,Paederinae,"[('Staphylininae', 5.0372634e-08), ('Paederinae', 1.0)]"
22,images_subfamily/Paederinae/Astenus gracilis_24.jpg,Paederinae,Paederinae,"[('Staphylininae', 3.4006099e-08), ('Paederinae', 1.0)]"
23,images_subfamily/Paederinae/Astenus gracilis_25.jpg,Paederinae,Paederinae,"[('Staphylininae', 6.582674e-08), ('Paederinae', 0.99999988)]"
24,images_subfamily/Paederinae/Astenus gracilis_26.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.1329826e-05), ('Paederinae', 0.99998868)]"
25,images_subfamily/Paederinae/Astenus gracilis_27.jpg,Paederinae,Paederinae,"[('Staphylininae', 5.004129e-06), ('Paederinae', 0.99999499)]"
26,images_subfamily/Paederinae/Astenus gracilis_9.jpg,Paederinae,Paederinae,"[('Staphylininae', 2.8285822e-06), ('Paederinae', 0.99999714)]"
27,images_subfamily/Paederinae/Astenus immacullatus_13.jpg,Paederinae,Paederinae,"[('Staphylininae', 8.2633087e-06), ('Paederinae', 0.99999177)]"
28,images_subfamily/Paederinae/Astenus immacullatus_14.jpg,Paederinae,Paederinae,"[('Staphylininae', 8.4923659e-06), ('Paederinae', 0.99999154)]"
29,images_subfamily/Paederinae/Astenus immacullatus_15.jpg,Paederinae,Paederinae,"[('Staphylininae', 7.5321409e-06), ('Paederinae', 0.99999249)]"
30,images_subfamily/Paederinae/Astenus immacullatus_16.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.1246011e-06), ('Paederinae', 0.99999893)]"
31,images_subfamily/Paederinae/Astenus immacullatus_17.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.076258e-05), ('Paederinae', 0.99998927)]"
32,images_subfamily/Paederinae/Astenus immacullatus_18.jpg,Paederinae,Paederinae,"[('Staphylininae', 2.1636359e-05), ('Paederinae', 0.9999783)]"
33,images_subfamily/Paederinae/Astenus immacullatus_19.jpg,Paederinae,Paederinae,"[('Staphylininae', 3.2830349e-07), ('Paederinae', 0.99999964)]"
34,images_subfamily/Paederinae/Astenus immacullatus_20.jpg,Paederinae,Paederinae,"[('Staphylininae', 5.6333272e-07), ('Paederinae', 0.9999994)]"
35,images_subfamily/Paederinae/Astenus immacullatus_21.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.9147825e-05), ('Paederinae', 0.99998081)]"
36,images_subfamily/Paederinae/Astenus immacullatus_22.jpg,Paederinae,Paederinae,"[('Staphylininae', 4.6000214e-06), ('Paederinae', 0.99999535)]"
37,images_subfamily/Paederinae/Astenus immacullatus_23.jpg,Paederinae,Paederinae,"[('Staphylininae', 1.1092532e-05), ('Paederinae', 0.99998891)]"
