,Filename,Label,Prediction1,Prediction3
0,images_tribe/Othiini/Atrecus affinis_10.jpg,Othiini,Othiini,"[('Staphylinini', 4.8851696e-08), ('Xantholinini', 1.7024821e-07), ('Othiini', 0.99999976)]"
1,images_tribe/Othiini/Atrecus affinis_11.jpg,Othiini,Othiini,"[('Xantholinini', 4.264971e-05), ('Staphylinini', 7.4961157e-05), ('Othiini', 0.99988115)]"
2,images_tribe/Othiini/Atrecus affinis_12.jpg,Othiini,Othiini,"[('Xantholinini', 1.0521248e-07), ('Staphylinini', 1.2067042e-07), ('Othiini', 0.99999976)]"
3,images_tribe/Othiini/Atrecus affinis_4.jpg,Othiini,Othiini,"[('Paederini', 6.7117355e-08), ('Staphylinini', 1.6792619e-07), ('Othiini', 0.99999964)]"
4,images_tribe/Othiini/Atrecus affinis_5.jpg,Othiini,Othiini,"[('Xantholinini', 1.51084e-06), ('Staphylinini', 7.286535e-06), ('Othiini', 0.99999106)]"
5,images_tribe/Othiini/Atrecus affinis_6.jpg,Othiini,Othiini,"[('Paederini', 6.9198478e-08), ('Xantholinini', 8.3106861e-06), ('Othiini', 0.99999154)]"
6,images_tribe/Othiini/Atrecus affinis_7.jpg,Othiini,Othiini,"[('Staphylinini', 6.1223271e-09), ('Xantholinini', 1.3835615e-08), ('Othiini', 1.0)]"
7,images_tribe/Othiini/Atrecus affinis_8.jpg,Othiini,Othiini,"[('Staphylinini', 5.6006389e-08), ('Xantholinini', 3.2648632e-07), ('Othiini', 0.99999964)]"
8,images_tribe/Othiini/Atrecus affinis_9.jpg,Othiini,Othiini,"[('Staphylinini', 5.6603611e-08), ('Xantholinini', 9.176587e-08), ('Othiini', 0.99999988)]"
9,images_tribe/Othiini/Atrecus longiceps_2.jpg,Othiini,Othiini,"[('Staphylinini', 1.7512712e-05), ('Xantholinini', 1.8357892e-05), ('Othiini', 0.99996161)]"
10,images_tribe/Othiini/Atrecus longiceps_3.jpg,Othiini,Othiini,"[('Xantholinini', 0.00011568118), ('Staphylinini', 0.00028991859), ('Othiini', 0.99952412)]"
11,images_tribe/Othiini/Atrecus longiceps_4.jpg,Othiini,Othiini,"[('Staphylinini', 0.00016578418), ('Xantholinini', 0.00024753273), ('Othiini', 0.99958593)]"
12,images_tribe/Othiini/Atrecus longiceps_5.jpg,Othiini,Othiini,"[('Staphylinini', 1.2367773e-06), ('Xantholinini', 3.2422254e-06), ('Othiini', 0.99999535)]"
13,images_tribe/Othiini/Atrecus longiceps_6.jpg,Othiini,Othiini,"[('Xantholinini', 2.6413832e-06), ('Staphylinini', 8.0742266e-06), ('Othiini', 0.99998844)]"
14,images_tribe/Othiini/Othius angustus_10.jpg,Othiini,Othiini,"[('Paederini', 4.5091036e-07), ('Xantholinini', 6.7413771e-06), ('Othiini', 0.99999273)]"
15,images_tribe/Othiini/Othius angustus_11.jpg,Othiini,Othiini,"[('Paederini', 2.8583091e-07), ('Xantholinini', 5.1893107e-07), ('Othiini', 0.99999905)]"
16,images_tribe/Othiini/Othius angustus_12.jpg,Othiini,Othiini,"[('Staphylinini', 8.8145896e-08), ('Xantholinini', 1.4651674e-07), ('Othiini', 0.99999976)]"
17,images_tribe/Othiini/Othius angustus_13.jpg,Othiini,Othiini,"[('Paederini', 1.9520236e-07), ('Xantholinini', 2.2224788e-06), ('Othiini', 0.99999738)]"
18,images_tribe/Othiini/Othius angustus_14.jpg,Othiini,Othiini,"[('Staphylinini', 1.9217454e-05), ('Paederini', 0.00014965277), ('Othiini', 0.99981409)]"
19,images_tribe/Othiini/Othius angustus_15.jpg,Othiini,Othiini,"[('Xantholinini', 4.1266929e-08), ('Paederini', 1.0155831e-07), ('Othiini', 0.99999988)]"
20,images_tribe/Othiini/Othius angustus_16.jpg,Othiini,Othiini,"[('Staphylinini', 0.00070283801), ('Xantholinini', 0.00078372378), ('Othiini', 0.99845147)]"
21,images_tribe/Othiini/Othius angustus_17.jpg,Othiini,Othiini,"[('Paederini', 1.8038779e-08), ('Xantholinini', 3.1434311e-08), ('Othiini', 1.0)]"
22,images_tribe/Othiini/Othius angustus_18.jpg,Othiini,Othiini,"[('Paederini', 0.012188497), ('Staphylinini', 0.043118961), ('Othiini', 0.94375533)]"
23,images_tribe/Othiini/Othius angustus_19.jpg,Othiini,Othiini,"[('Paederini', 2.5588043e-09), ('Xantholinini', 7.3533535e-09), ('Othiini', 1.0)]"
24,images_tribe/Othiini/Othius angustus_20.jpg,Othiini,Othiini,"[('Xantholinini', 1.8728866e-06), ('Staphylinini', 1.8641185e-05), ('Othiini', 0.99997866)]"
25,images_tribe/Othiini/Othius angustus_21.jpg,Othiini,Othiini,"[('Paederini', 4.1805038e-07), ('Xantholinini', 6.9311618e-06), ('Othiini', 0.99999249)]"
26,images_tribe/Othiini/Othius angustus_22.jpg,Othiini,Othiini,"[('Paederini', 0.0076705134), ('Xantholinini', 0.32343215), ('Othiini', 0.66867083)]"
27,images_tribe/Othiini/Othius angustus_23.jpg,Othiini,Othiini,"[('Paederini', 0.00062611996), ('Xantholinini', 0.014009772), ('Othiini', 0.98519278)]"
28,images_tribe/Othiini/Othius angustus_24.jpg,Othiini,Othiini,"[('Xantholinini', 6.8034965e-06), ('Paederini', 3.1053543e-05), ('Othiini', 0.99995732)]"
29,images_tribe/Othiini/Othius angustus_25.jpg,Othiini,Othiini,"[('Paederini', 3.4056793e-08), ('Xantholinini', 8.3831857e-08), ('Othiini', 0.99999988)]"
30,images_tribe/Othiini/Othius angustus_26.jpg,Othiini,Othiini,"[('Staphylinini', 1.4397078e-05), ('Paederini', 3.9955055e-05), ('Othiini', 0.99993503)]"
31,images_tribe/Othiini/Othius angustus_9.jpg,Othiini,Othiini,"[('Paederini', 6.217337e-07), ('Xantholinini', 2.6260254e-06), ('Othiini', 0.99999666)]"
32,images_tribe/Othiini/Othius punctulatus_10.jpg,Othiini,Othiini,"[('Paederini', 2.0024232e-05), ('Xantholinini', 7.360545e-05), ('Othiini', 0.9999007)]"
33,images_tribe/Othiini/Othius punctulatus_11.jpg,Othiini,Othiini,"[('Staphylinini', 7.6724073e-06), ('Paederini', 1.1386252e-05), ('Othiini', 0.99997854)]"
34,images_tribe/Othiini/Othius punctulatus_12.jpg,Othiini,Othiini,"[('Xantholinini', 2.0163133e-08), ('Paederini', 3.0030662e-08), ('Othiini', 1.0)]"
35,images_tribe/Othiini/Othius punctulatus_13.jpg,Othiini,Othiini,"[('Xantholinini', 3.6385813e-06), ('Paederini', 5.2196569e-06), ('Othiini', 0.99999094)]"
36,images_tribe/Othiini/Othius punctulatus_14.jpg,Othiini,Othiini,"[('Staphylinini', 2.4891541e-08), ('Xantholinini', 7.5842159e-08), ('Othiini', 0.99999988)]"
37,images_tribe/Othiini/Othius punctulatus_15.jpg,Othiini,Othiini,"[('Xantholinini', 4.5692593e-07), ('Staphylinini', 6.3689941e-07), ('Othiini', 0.99999893)]"
38,images_tribe/Othiini/Othius punctulatus_5.jpg,Othiini,Othiini,"[('Paederini', 1.4989639e-05), ('Staphylinini', 2.4702143e-05), ('Othiini', 0.9999572)]"
39,images_tribe/Othiini/Othius punctulatus_6.jpg,Othiini,Othiini,"[('Paederini', 5.9147439e-08), ('Xantholinini', 9.9826401e-08), ('Othiini', 0.99999988)]"
40,images_tribe/Othiini/Othius punctulatus_7.jpg,Othiini,Othiini,"[('Paederini', 3.2968568e-09), ('Xantholinini', 4.322758e-08), ('Othiini', 1.0)]"
41,images_tribe/Othiini/Othius punctulatus_8.jpg,Othiini,Othiini,"[('Paederini', 3.8668677e-09), ('Xantholinini', 3.0205122e-08), ('Othiini', 1.0)]"
42,images_tribe/Othiini/Othius punctulatus_9.jpg,Othiini,Othiini,"[('Paederini', 0.00051378825), ('Staphylinini', 0.00065907353), ('Othiini', 0.99882394)]"
43,images_tribe/Othiini/Othius subuliformis_10.jpg,Othiini,Othiini,"[('Paederini', 4.6476154e-05), ('Xantholinini', 0.0012290592), ('Othiini', 0.99871039)]"
44,images_tribe/Othiini/Othius subuliformis_11.jpg,Othiini,Othiini,"[('Paederini', 6.474877e-07), ('Xantholinini', 1.0667299e-06), ('Othiini', 0.99999809)]"
45,images_tribe/Othiini/Othius subuliformis_12.jpg,Othiini,Othiini,"[('Xantholinini', 1.0017143e-07), ('Paederini', 1.1794077e-07), ('Othiini', 0.99999976)]"
46,images_tribe/Othiini/Othius subuliformis_13.jpg,Othiini,Othiini,"[('Paederini', 7.8531377e-07), ('Staphylinini', 8.8762084e-07), ('Othiini', 0.99999797)]"
47,images_tribe/Othiini/Othius subuliformis_14.jpg,Othiini,Othiini,"[('Paederini', 6.703182e-08), ('Xantholinini', 1.2466693e-06), ('Othiini', 0.99999857)]"
48,images_tribe/Othiini/Othius subuliformis_15.jpg,Othiini,Othiini,"[('Xantholinini', 0.028891768), ('Paederini', 0.075505786), ('Othiini', 0.8954199)]"
49,images_tribe/Othiini/Othius subuliformis_5.jpg,Othiini,Othiini,"[('Xantholinini', 6.8221414e-07), ('Staphylinini', 2.0387261e-06), ('Othiini', 0.99999654)]"
50,images_tribe/Othiini/Othius subuliformis_6.jpg,Othiini,Othiini,"[('Paederini', 2.4100142e-08), ('Xantholinini', 4.7769781e-08), ('Othiini', 1.0)]"
51,images_tribe/Othiini/Othius subuliformis_7.jpg,Othiini,Othiini,"[('Staphylinini', 0.0074703824), ('Paederini', 0.34416735), ('Othiini', 0.64144844)]"
52,images_tribe/Othiini/Othius subuliformis_8.jpg,Othiini,Othiini,"[('Xantholinini', 0.0001980994), ('Paederini', 0.00039642272), ('Othiini', 0.99940062)]"
53,images_tribe/Othiini/Othius subuliformis_9.jpg,Othiini,Othiini,"[('Paederini', 2.314928e-06), ('Xantholinini', 1.0157679e-05), ('Othiini', 0.99998617)]"
54,images_tribe/Paederini/Achenium humile_10.jpg,Paederini,Paederini,"[('Othiini', 4.2108926e-08), ('Staphylinini', 4.2362387e-07), ('Paederini', 0.99999952)]"
55,images_tribe/Paederini/Achenium humile_11.jpg,Paederini,Paederini,"[('Othiini', 8.1405727e-07), ('Staphylinini', 1.6259058e-06), ('Paederini', 0.9999975)]"
56,images_tribe/Paederini/Achenium humile_4.jpg,Paederini,Paederini,"[('Othiini', 9.8431269e-07), ('Staphylinini', 9.0749681e-06), ('Paederini', 0.99998999)]"
57,images_tribe/Paederini/Achenium humile_5.jpg,Paederini,Paederini,"[('Othiini', 1.6977765e-08), ('Staphylinini', 1.5043136e-07), ('Paederini', 0.99999988)]"
58,images_tribe/Paederini/Achenium humile_6.jpg,Paederini,Paederini,"[('Staphylinini', 6.328363e-07), ('Othiini', 1.0959707e-06), ('Paederini', 0.99999821)]"
59,images_tribe/Paederini/Achenium humile_7.jpg,Paederini,Paederini,"[('Othiini', 2.290775e-07), ('Staphylinini', 5.2967511e-07), ('Paederini', 0.99999917)]"
60,images_tribe/Paederini/Achenium humile_8.jpg,Paederini,Paederini,"[('Othiini', 5.5428279e-07), ('Staphylinini', 7.4561227e-05), ('Paederini', 0.99992478)]"
61,images_tribe/Paederini/Achenium humile_9.jpg,Paederini,Paederini,"[('Othiini', 1.5363531e-07), ('Staphylinini', 2.3205641e-06), ('Paederini', 0.9999975)]"
62,images_tribe/Paederini/Astenus gracilis_10.jpg,Paederini,Paederini,"[('Xantholinini', 7.1651829e-07), ('Staphylinini', 1.8396924e-05), ('Paederini', 0.99998081)]"
63,images_tribe/Paederini/Astenus gracilis_11.jpg,Paederini,Paederini,"[('Xantholinini', 5.0481162e-07), ('Staphylinini', 4.7060261e-05), ('Paederini', 0.99995244)]"
64,images_tribe/Paederini/Astenus gracilis_12.jpg,Paederini,Paederini,"[('Xantholinini', 3.5005303e-06), ('Staphylinini', 5.7952202e-06), ('Paederini', 0.9999907)]"
65,images_tribe/Paederini/Astenus gracilis_13.jpg,Paederini,Paederini,"[('Xantholinini', 4.0215528e-10), ('Staphylinini', 7.7796415e-07), ('Paederini', 0.99999917)]"
66,images_tribe/Paederini/Astenus gracilis_14.jpg,Paederini,Paederini,"[('Xantholinini', 8.9778656e-09), ('Staphylinini', 2.1364583e-07), ('Paederini', 0.99999976)]"
67,images_tribe/Paederini/Astenus gracilis_15.jpg,Paederini,Paederini,"[('Xantholinini', 1.5921691e-08), ('Staphylinini', 1.7750145e-06), ('Paederini', 0.99999821)]"
68,images_tribe/Paederini/Astenus gracilis_16.jpg,Paederini,Paederini,"[('Xantholinini', 1.4144893e-09), ('Staphylinini', 1.2208234e-08), ('Paederini', 1.0)]"
69,images_tribe/Paederini/Astenus gracilis_17.jpg,Paederini,Paederini,"[('Xantholinini', 8.1770082e-07), ('Staphylinini', 1.046643e-05), ('Paederini', 0.99998868)]"
70,images_tribe/Paederini/Astenus gracilis_18.jpg,Paederini,Paederini,"[('Xantholinini', 2.6791957e-08), ('Staphylinini', 6.2987442e-06), ('Paederini', 0.99999368)]"
71,images_tribe/Paederini/Astenus gracilis_19.jpg,Paederini,Paederini,"[('Xantholinini', 1.6968089e-07), ('Staphylinini', 9.7653046e-06), ('Paederini', 0.99999011)]"
72,images_tribe/Paederini/Astenus gracilis_20.jpg,Paederini,Paederini,"[('Othiini', 5.2294943e-08), ('Staphylinini', 9.6539532e-07), ('Paederini', 0.99999893)]"
73,images_tribe/Paederini/Astenus gracilis_21.jpg,Paederini,Paederini,"[('Xantholinini', 2.0662978e-09), ('Staphylinini', 2.5403685e-07), ('Paederini', 0.99999976)]"
74,images_tribe/Paederini/Astenus gracilis_22.jpg,Paederini,Paederini,"[('Xantholinini', 7.4847876e-06), ('Staphylinini', 1.1457106e-05), ('Paederini', 0.99998021)]"
75,images_tribe/Paederini/Astenus gracilis_23.jpg,Paederini,Paederini,"[('Xantholinini', 3.7190206e-09), ('Staphylinini', 8.0583263e-08), ('Paederini', 0.99999988)]"
76,images_tribe/Paederini/Astenus gracilis_24.jpg,Paederini,Paederini,"[('Xantholinini', 6.4879394e-08), ('Staphylinini', 1.4124659e-07), ('Paederini', 0.99999976)]"
77,images_tribe/Paederini/Astenus gracilis_25.jpg,Paederini,Paederini,"[('Othiini', 7.1704399e-11), ('Staphylinini', 2.9437335e-09), ('Paederini', 1.0)]"
78,images_tribe/Paederini/Astenus gracilis_26.jpg,Paederini,Paederini,"[('Xantholinini', 9.3415811e-06), ('Staphylinini', 0.0012547966), ('Paederini', 0.99873489)]"
79,images_tribe/Paederini/Astenus gracilis_27.jpg,Paederini,Paederini,"[('Xantholinini', 3.2919439e-07), ('Staphylinini', 2.1165924e-06), ('Paederini', 0.99999738)]"
80,images_tribe/Paederini/Astenus gracilis_9.jpg,Paederini,Paederini,"[('Xantholinini', 3.1438907e-07), ('Staphylinini', 1.8934854e-05), ('Paederini', 0.99998069)]"
81,images_tribe/Paederini/Astenus immacullatus_13.jpg,Paederini,Paederini,"[('Othiini', 3.5098901e-07), ('Staphylinini', 5.3216093e-07), ('Paederini', 0.99999881)]"
82,images_tribe/Paederini/Astenus immacullatus_14.jpg,Paederini,Paederini,"[('Xantholinini', 1.1544093e-08), ('Staphylinini', 4.5873904e-08), ('Paederini', 1.0)]"
83,images_tribe/Paederini/Astenus immacullatus_15.jpg,Paederini,Paederini,"[('Xantholinini', 7.2321406e-08), ('Staphylinini', 1.1944081e-06), ('Paederini', 0.99999869)]"
84,images_tribe/Paederini/Astenus immacullatus_16.jpg,Paederini,Paederini,"[('Othiini', 1.6953963e-10), ('Staphylinini', 2.6358899e-08), ('Paederini', 1.0)]"
85,images_tribe/Paederini/Astenus immacullatus_17.jpg,Paederini,Paederini,"[('Xantholinini', 2.2061256e-07), ('Staphylinini', 2.7240496e-06), ('Paederini', 0.9999969)]"
86,images_tribe/Paederini/Astenus immacullatus_18.jpg,Paederini,Paederini,"[('Xantholinini', 2.2642533e-08), ('Staphylinini', 3.9161837e-06), ('Paederini', 0.99999607)]"
87,images_tribe/Paederini/Astenus immacullatus_19.jpg,Paederini,Paederini,"[('Xantholinini', 3.2321573e-08), ('Staphylinini', 8.0429987e-07), ('Paederini', 0.99999917)]"
88,images_tribe/Paederini/Astenus immacullatus_20.jpg,Paederini,Paederini,"[('Xantholinini', 5.8656799e-09), ('Staphylinini', 7.8767464e-08), ('Paederini', 0.99999988)]"
89,images_tribe/Paederini/Astenus immacullatus_21.jpg,Paederini,Paederini,"[('Xantholinini', 1.3844873e-09), ('Staphylinini', 3.148045e-08), ('Paederini', 1.0)]"
90,images_tribe/Paederini/Astenus immacullatus_22.jpg,Paederini,Paederini,"[('Xantholinini', 4.6752516e-06), ('Staphylinini', 1.5924632e-05), ('Paederini', 0.99997914)]"
91,images_tribe/Paederini/Astenus immacullatus_23.jpg,Paederini,Paederini,"[('Othiini', 1.905881e-09), ('Staphylinini', 3.2771595e-08), ('Paederini', 1.0)]"
