,Filename,Label,Prediction1,Prediction3
0,images_genus/Lobrathium/Lobrathium multipunctum_11.jpg,Lobrathium,Lathrobium,"[('Medon', 3.4573328e-05), ('Lobrathium', 0.001642967), ('Lathrobium', 0.99830151)]"
1,images_genus/Lobrathium/Lobrathium multipunctum_12.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 0.027865252), ('Achenium', 0.078332499), ('Lobrathium', 0.89280593)]"
2,images_genus/Lobrathium/Lobrathium multipunctum_13.jpg,Lobrathium,Lobrathium,"[('Achenium', 1.3933445e-05), ('Lathrobium', 0.00036158809), ('Lobrathium', 0.99962401)]"
3,images_genus/Lobrathium/Lobrathium multipunctum_14.jpg,Lobrathium,Lobrathium,"[('Achenium', 8.6140062e-06), ('Lathrobium', 0.0015161585), ('Lobrathium', 0.99847513)]"
4,images_genus/Lobrathium/Lobrathium multipunctum_15.jpg,Lobrathium,Lathrobium,"[('Neobisnius', 0.0027759401), ('Lobrathium', 0.17267679), ('Lathrobium', 0.82161766)]"
5,images_genus/Lobrathium/Lobrathium multipunctum_16.jpg,Lobrathium,Lobrathium,"[('Othius', 0.0002281371), ('Lathrobium', 0.043133061), ('Lobrathium', 0.95645708)]"
6,images_genus/Lobrathium/Lobrathium multipunctum_17.jpg,Lobrathium,Lathrobium,"[('Othius', 0.0010793385), ('Lobrathium', 0.036077816), ('Lathrobium', 0.96174484)]"
7,images_genus/Lobrathium/Lobrathium multipunctum_18.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.00024345073), ('Lathrobium', 0.0059287357), ('Lobrathium', 0.9938153)]"
8,images_genus/Lobrathium/Lobrathium multipunctum_19.jpg,Lobrathium,Lathrobium,"[('Medon', 0.0037831154), ('Lobrathium', 0.44222355), ('Lathrobium', 0.55283642)]"
9,images_genus/Lobrathium/Lobrathium multipunctum_20.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 0.017811187), ('Achenium', 0.063119084), ('Lobrathium', 0.91880906)]"
10,images_genus/Lobrathium/Lobrathium multipunctum_21.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.011356913), ('Lathrobium', 0.43709704), ('Lobrathium', 0.54429442)]"
11,images_genus/Lobrathium/Lobrathium multipunctum_22.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.00041545596), ('Lathrobium', 0.14335173), ('Lobrathium', 0.85620052)]"
12,images_genus/Lobrathium/Lobrathium multipunctum_23.jpg,Lobrathium,Achenium,"[('Lobrathium', 0.087457299), ('Lathrobium', 0.20061398), ('Achenium', 0.71176815)]"
13,images_genus/Lobrathium/Lobrathium multipunctum_24.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.01622686), ('Lathrobium', 0.098912254), ('Lobrathium', 0.88483858)]"
14,images_genus/Lobrathium/Lobrathium multipunctum_25.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.00040066763), ('Lathrobium', 0.30269599), ('Lobrathium', 0.69684887)]"
15,images_genus/Lobrathium/Lobrathium multipunctum_26.jpg,Lobrathium,Lathrobium,"[('Achenium', 0.00015407366), ('Lobrathium', 0.037574597), ('Lathrobium', 0.96222752)]"
16,images_genus/Lobrathium/Lobrathium multipunctum_27.jpg,Lobrathium,Achenium,"[('Lathrobium', 0.14111909), ('Lobrathium', 0.38452971), ('Achenium', 0.47005442)]"
17,images_genus/Lobrathium/Lobrathium multipunctum_28.jpg,Lobrathium,Achenium,"[('Lobrathium', 0.0046974439), ('Lathrobium', 0.030656761), ('Achenium', 0.96425426)]"
18,images_genus/Lobrathium/Lobrathium multipunctum_29.jpg,Lobrathium,Lathrobium,"[('Achenium', 0.00024676335), ('Lobrathium', 0.24323685), ('Lathrobium', 0.75625658)]"
19,images_genus/Lobrathium/Lobrathium multipunctum_30.jpg,Lobrathium,Lobrathium,"[('Achenium', 2.8215106e-06), ('Lathrobium', 0.025109714), ('Lobrathium', 0.97488743)]"
20,images_genus/Lobrathium/Lobrathium multipunctum_31.jpg,Lobrathium,Lathrobium,"[('Philonthus', 0.0025459335), ('Ochthephilum', 0.0028767062), ('Lathrobium', 0.98629433)]"
21,images_genus/Lobrathium/Lobrathium multipunctum_32.jpg,Lobrathium,Lobrathium,"[('Achenium', 0.0035352611), ('Lathrobium', 0.16096935), ('Lobrathium', 0.83507401)]"
22,images_genus/Achenium/Achenium humile_10.jpg,Achenium,Achenium,"[('Lobrathium', 1.279501e-06), ('Medon', 1.3304399e-06), ('Achenium', 0.99999607)]"
23,images_genus/Achenium/Achenium humile_11.jpg,Achenium,Achenium,"[('Lobrathium', 1.5984349e-05), ('Lathrobium', 0.00010095639), ('Achenium', 0.9998827)]"
24,images_genus/Achenium/Achenium humile_4.jpg,Achenium,Achenium,"[('Lobrathium', 2.8923146e-06), ('Lathrobium', 1.917207e-05), ('Achenium', 0.99997783)]"
