,Filename,Label,Prediction1,Prediction3
0,images_species/Achenium humile/Achenium humile_10.jpg,Achenium humile,Achenium humile,"[('Gyrohypnus fracticornis', 1.2112177e-10), ('Xantholinus laevigatus', 9.7576158e-10), ('Achenium humile', 1.0)]"
1,images_species/Achenium humile/Achenium humile_11.jpg,Achenium humile,Achenium humile,"[('Quedius cinctus', 4.7908726e-09), ('Xantholinus laevigatus', 1.7528327e-08), ('Achenium humile', 1.0)]"
2,images_species/Achenium humile/Achenium humile_4.jpg,Achenium humile,Achenium humile,"[('Quedius cinctus', 4.4688914e-08), ('Xantholinus laevigatus', 7.6923435e-08), ('Achenium humile', 0.99999976)]"
3,images_species/Achenium humile/Achenium humile_5.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 0.00017178032), ('Lathrobium geminum', 0.00053532561), ('Achenium humile', 0.99901855)]"
4,images_species/Achenium humile/Achenium humile_6.jpg,Achenium humile,Achenium humile,"[('Atrecus longiceps', 7.4326607e-08), ('Xantholinus laevigatus', 5.6548106e-06), ('Achenium humile', 0.99999428)]"
5,images_species/Achenium humile/Achenium humile_7.jpg,Achenium humile,Achenium humile,"[('Medon castaneus', 1.0536903e-05), ('Xantholinus laevigatus', 9.0740832e-05), ('Achenium humile', 0.99989665)]"
6,images_species/Achenium humile/Achenium humile_8.jpg,Achenium humile,Achenium humile,"[('Quedius brevis', 4.4048389e-07), ('Xantholinus laevigatus', 5.4970878e-05), ('Achenium humile', 0.99994397)]"
7,images_species/Achenium humile/Achenium humile_9.jpg,Achenium humile,Achenium humile,"[('Lathrobium brunnipes', 0.00088053162), ('Lathrobium geminum', 0.0010198927), ('Achenium humile', 0.99800676)]"
8,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_10.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 8.1012571e-05), ('Acylophorus wagenschieberi', 0.00080374663), ('Acylophorus glaberrimus', 0.9988752)]"
9,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_11.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Euryporus picipes', 0.0019475792), ('Quedius curtipennis', 0.0085593434), ('Acylophorus glaberrimus', 0.98887283)]"
10,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_12.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 0.0032276358), ('Quedius umbrinus', 0.0087346192), ('Acylophorus glaberrimus', 0.98588085)]"
11,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_13.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 0.00045157675), ('Quedius umbrinus', 0.0004630608), ('Acylophorus glaberrimus', 0.9984498)]"
12,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_14.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Euryporus picipes', 0.00023239171), ('Quedius curtipennis', 0.00026804607), ('Acylophorus glaberrimus', 0.99936527)]"
13,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_15.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 0.00018002419), ('Acylophorus wagenschieberi', 0.0014342004), ('Acylophorus glaberrimus', 0.99830389)]"
14,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_16.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 0.0047571491), ('Acylophorus wagenschieberi', 0.026471527), ('Acylophorus glaberrimus', 0.96857321)]"
15,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_17.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 0.00073398068), ('Quedius fuliginosus', 0.0009306033), ('Acylophorus glaberrimus', 0.997881)]"
16,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_6.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 0.0066895522), ('Acylophorus wagenschieberi', 0.09834557), ('Acylophorus glaberrimus', 0.89465153)]"
17,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_7.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 0.00012808063), ('Acylophorus wagenschieberi', 0.0042312504), ('Acylophorus glaberrimus', 0.99562645)]"
18,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_8.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 0.000325234), ('Quedius fuliginosus', 0.00035218472), ('Acylophorus glaberrimus', 0.99920326)]"
19,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_9.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 3.2747103e-06), ('Acylophorus wagenschieberi', 2.7812164e-05), ('Acylophorus glaberrimus', 0.9999665)]"
20,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_10.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 4.5163893e-06), ('Philonthus nigrita', 1.9345707e-05), ('Acylophorus wagenschieberi', 0.9999702)]"
21,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_11.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Quedius semiobscurus', 1.100403e-06), ('Euryporus picipes', 0.0078626815), ('Acylophorus wagenschieberi', 0.99213588)]"
22,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_4.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 3.4218108e-06), ('Quedius semiobscurus', 1.4732367e-05), ('Acylophorus wagenschieberi', 0.9999789)]"
23,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_5.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 7.2893067e-07), ('Euryporus picipes', 0.0011372541), ('Acylophorus wagenschieberi', 0.99886191)]"
24,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_6.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 1.9887324e-05), ('Euryporus picipes', 0.0011519641), ('Acylophorus wagenschieberi', 0.99880862)]"
25,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_7.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Quedius maurorufus', 1.2604279e-06), ('Euryporus picipes', 4.6066234e-05), ('Acylophorus wagenschieberi', 0.99995172)]"
26,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_8.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 4.4796043e-06), ('Philonthus nigrita', 1.4094136e-05), ('Acylophorus wagenschieberi', 0.99997747)]"
27,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_9.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Quedius semiobscurus', 7.962888e-06), ('Euryporus picipes', 8.2858169e-05), ('Acylophorus wagenschieberi', 0.99990475)]"
28,images_species/Astenus gracilis/Astenus gracilis_10.jpg,Astenus gracilis,Astenus gracilis,"[('Astenus pulchellus', 0.017752688), ('Astenus lyonessius', 0.046038054), ('Astenus gracilis', 0.92016947)]"
29,images_species/Astenus gracilis/Astenus gracilis_11.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus gracilis', 0.017278304), ('Astenus lyonessius', 0.023223884), ('Astenus pulchellus', 0.9521088)]"
30,images_species/Astenus gracilis/Astenus gracilis_12.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.0041060294), ('Astenus gracilis', 0.021774694), ('Astenus pulchellus', 0.97151858)]"
31,images_species/Astenus gracilis/Astenus gracilis_13.jpg,Astenus gracilis,Astenus lyonessius,"[('Lathrobium rufipenne', 0.0026250079), ('Astenus gracilis', 0.35197476), ('Astenus lyonessius', 0.63626784)]"
32,images_species/Astenus gracilis/Astenus gracilis_14.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 0.030113244), ('Astenus gracilis', 0.17784013), ('Astenus pulchellus', 0.77095747)]"
33,images_species/Astenus gracilis/Astenus gracilis_15.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus immacullatus', 0.17211677), ('Astenus procerus', 0.216089), ('Astenus pulchellus', 0.26298541)]"
34,images_species/Astenus gracilis/Astenus gracilis_16.jpg,Astenus gracilis,Astenus lyonessius,"[('Neobisnius villosulus', 0.00092881295), ('Astenus gracilis', 0.027160985), ('Astenus lyonessius', 0.97080541)]"
35,images_species/Astenus gracilis/Astenus gracilis_17.jpg,Astenus gracilis,Astenus gracilis,"[('Astenus pulchellus', 0.032888677), ('Astenus lyonessius', 0.45737001), ('Astenus gracilis', 0.50366682)]"
36,images_species/Astenus gracilis/Astenus gracilis_18.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.011466024), ('Astenus gracilis', 0.29428041), ('Astenus lyonessius', 0.69334435)]"
37,images_species/Astenus gracilis/Astenus gracilis_19.jpg,Astenus gracilis,Astenus gracilis,"[('Astenus pulchellus', 0.00081204937), ('Astenus lyonessius', 0.48103094), ('Astenus gracilis', 0.51665097)]"
38,images_species/Astenus gracilis/Astenus gracilis_20.jpg,Astenus gracilis,Astenus lyonessius,"[('Rugilus orbiculatus', 1.1243003e-05), ('Astenus gracilis', 0.0001106982), ('Astenus lyonessius', 0.99986815)]"
39,images_species/Astenus gracilis/Astenus gracilis_21.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 0.025754223), ('Astenus gracilis', 0.028261971), ('Astenus lyonessius', 0.94108194)]"
40,images_species/Astenus gracilis/Astenus gracilis_22.jpg,Astenus gracilis,Astenus lyonessius,"[('Neobisnius villosulus', 0.00037975755), ('Astenus gracilis', 0.0024541041), ('Astenus lyonessius', 0.9963361)]"
41,images_species/Astenus gracilis/Astenus gracilis_23.jpg,Astenus gracilis,Astenus gracilis,"[('Sunius melanocephalus', 0.0088189598), ('Astenus lyonessius', 0.43404344), ('Astenus gracilis', 0.53660321)]"
42,images_species/Astenus gracilis/Astenus gracilis_24.jpg,Astenus gracilis,Astenus lyonessius,"[('Astenus pulchellus', 2.4464314e-05), ('Astenus gracilis', 0.013927341), ('Astenus lyonessius', 0.98593837)]"
43,images_species/Astenus gracilis/Astenus gracilis_25.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus gracilis', 0.11820309), ('Astenus lyonessius', 0.18229313), ('Astenus pulchellus', 0.54323459)]"
44,images_species/Astenus gracilis/Astenus gracilis_26.jpg,Astenus gracilis,Astenus lyonessius,"[('Rugilus orbiculatus', 4.3418648e-05), ('Astenus gracilis', 0.0014771282), ('Astenus lyonessius', 0.99835521)]"
45,images_species/Astenus gracilis/Astenus gracilis_27.jpg,Astenus gracilis,Astenus lyonessius,"[('Lathrobium rufipenne', 0.0094551416), ('Astenus gracilis', 0.12477058), ('Astenus lyonessius', 0.86319423)]"
46,images_species/Astenus gracilis/Astenus gracilis_9.jpg,Astenus gracilis,Astenus gracilis,"[('Astenus pulchellus', 0.047572959), ('Astenus procerus', 0.11235392), ('Astenus gracilis', 0.78562838)]"
47,images_species/Astenus immacullatus/Astenus immacullatus_13.jpg,Astenus immacullatus,Astenus immacullatus,"[('Scopaeus sulcicollis', 4.7532462e-06), ('Rugilus erichsoni', 6.3147322e-06), ('Astenus immacullatus', 0.99998534)]"
48,images_species/Astenus immacullatus/Astenus immacullatus_14.jpg,Astenus immacullatus,Astenus immacullatus,"[('Scopaeus sulcicollis', 2.1138545e-05), ('Rugilus erichsoni', 4.2636213e-05), ('Astenus immacullatus', 0.99992037)]"
49,images_species/Astenus immacullatus/Astenus immacullatus_15.jpg,Astenus immacullatus,Astenus immacullatus,"[('Rugilus erichsoni', 4.0827896e-07), ('Scopaeus sulcicollis', 8.2581022e-07), ('Astenus immacullatus', 0.99999809)]"
50,images_species/Astenus immacullatus/Astenus immacullatus_16.jpg,Astenus immacullatus,Astenus immacullatus,"[('Scopaeus sulcicollis', 3.3706467e-06), ('Rugilus erichsoni', 7.0165352e-06), ('Astenus immacullatus', 0.99998653)]"
51,images_species/Astenus immacullatus/Astenus immacullatus_17.jpg,Astenus immacullatus,Astenus immacullatus,"[('Scopaeus sulcicollis', 0.0003994373), ('Rugilus erichsoni', 0.014104128), ('Astenus immacullatus', 0.98536807)]"
52,images_species/Astenus immacullatus/Astenus immacullatus_18.jpg,Astenus immacullatus,Astenus immacullatus,"[('Rugilus erichsoni', 1.1857906e-05), ('Scopaeus sulcicollis', 1.5177302e-05), ('Astenus immacullatus', 0.99996972)]"
53,images_species/Astenus immacullatus/Astenus immacullatus_19.jpg,Astenus immacullatus,Astenus immacullatus,"[('Rugilus erichsoni', 1.8880464e-05), ('Scopaeus sulcicollis', 0.00030018482), ('Astenus immacullatus', 0.99967813)]"
54,images_species/Astenus immacullatus/Astenus immacullatus_20.jpg,Astenus immacullatus,Astenus immacullatus,"[('Scopaeus sulcicollis', 3.0920764e-06), ('Rugilus erichsoni', 6.127008e-06), ('Astenus immacullatus', 0.99999022)]"
55,images_species/Astenus immacullatus/Astenus immacullatus_21.jpg,Astenus immacullatus,Astenus immacullatus,"[('Scopaeus sulcicollis', 1.6540187e-06), ('Rugilus erichsoni', 1.2491541e-05), ('Astenus immacullatus', 0.99998462)]"
56,images_species/Astenus immacullatus/Astenus immacullatus_22.jpg,Astenus immacullatus,Astenus immacullatus,"[('Scopaeus sulcicollis', 0.00020147614), ('Rugilus erichsoni', 0.0039235381), ('Astenus immacullatus', 0.99580538)]"
57,images_species/Astenus immacullatus/Astenus immacullatus_23.jpg,Astenus immacullatus,Astenus immacullatus,"[('Rugilus erichsoni', 3.0162955e-06), ('Scopaeus sulcicollis', 5.7594275e-06), ('Astenus immacullatus', 0.99999046)]"
58,images_species/Astenus immacullatus/Astenus immacullatus_24.jpg,Astenus immacullatus,Astenus immacullatus,"[('Quedius auricomus', 1.7173461e-05), ('Rugilus erichsoni', 4.2574542e-05), ('Astenus immacullatus', 0.999933)]"
59,images_species/Astenus immacullatus/Astenus immacullatus_25.jpg,Astenus immacullatus,Astenus immacullatus,"[('Rugilus erichsoni', 1.8596437e-06), ('Scopaeus sulcicollis', 4.3459308e-06), ('Astenus immacullatus', 0.99999237)]"
60,images_species/Astenus immacullatus/Astenus immacullatus_26.jpg,Astenus immacullatus,Astenus immacullatus,"[('Rugilus erichsoni', 6.33323e-05), ('Astenus lyonessius', 8.4082938e-05), ('Astenus immacullatus', 0.99983323)]"
61,images_species/Astenus immacullatus/Astenus immacullatus_27.jpg,Astenus immacullatus,Astenus immacullatus,"[('Astenus procerus', 1.6394824e-06), ('Astenus lyonessius', 0.00010207251), ('Astenus immacullatus', 0.99989498)]"
62,images_species/Astenus immacullatus/Astenus immacullatus_28.jpg,Astenus immacullatus,Astenus immacullatus,"[('Astenus lyonessius', 4.2316879e-06), ('Rugilus erichsoni', 5.0408585e-06), ('Astenus immacullatus', 0.99998856)]"
63,images_species/Astenus immacullatus/Astenus immacullatus_29.jpg,Astenus immacullatus,Astenus immacullatus,"[('Ochthephilum fracticorne', 1.5664527e-06), ('Astenus lyonessius', 0.00015918705), ('Astenus immacullatus', 0.99983728)]"
