class,f1_score,precision,recall,support
Achenium,0.0,0.0,0.0,0.0
Astenus,0.0,0.0,0.0,0.0
Bisnius,0.21,0.12,1.0,6.0
Gabrius,1.0,1.0,1.0,7.0
Lathrobium,0.27,1.0,0.15,196.0
Leptacinus,0.0,0.0,0.0,0.0
Lobrathium,0.0,0.0,0.0,0.0
Neobisnius,0.08,0.04,1.0,6.0
Ocypus,0.0,0.0,0.0,0.0
Othius,0.0,0.0,0.0,0.0
Philonthus,0.87,1.0,0.77,192.0
Platydracus,0.5,1.0,0.33,9.0
Quedius,1.0,1.0,1.0,18.0
Rugilus,1.0,1.0,1.0,10.0
Scopaeus,0.11,0.07,0.25,8.0
Staphylinus,0.0,0.0,0.0,0.0
Tasgius,0.79,1.0,0.65,17.0
Tetartopeus,1.0,1.0,1.0,8.0
