predicted_genus,real_species,correct_prediction,real_genus,filepath
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_0.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_1.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_10.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_100.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_101.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_102.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_103.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_104.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_105.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_106.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_107.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_108.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_109.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_11.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_22.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_23.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_24.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_25.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_26.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_27.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_28.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_29.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_3.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_30.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_31.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_32.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_33.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_34.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_36.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_37.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_38.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_39.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_4.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_40.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_41.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_42.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_43.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_44.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_45.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_46.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_47.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_48.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_5.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_50.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_51.jpg
