predicted_genus,real_species,correct_prediction,real_genus,filepath
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_0.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_1.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_10.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_100.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_101.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_102.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_103.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_104.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_105.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_106.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_107.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_108.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_109.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_11.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_22.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_23.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_24.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_25.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_26.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_27.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_28.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_29.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_3.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_30.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_31.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_32.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_33.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_34.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_36.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_37.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_38.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_39.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_4.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_40.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_41.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_42.jpg
Bisnius,Philonthus umbratilis,False,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_43.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_44.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_45.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_46.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_47.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_48.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_5.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_50.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_51.jpg
Philonthus,Philonthus umbratilis,True,Philonthus,../../../images/cutout_species/Philonthus umbratilis/Philonthus umbratilis_52.jpg
