predicted_genus,real_species,correct_prediction,real_genus,filepath
Bisnius,Bisnius nigriventris,True,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_0.jpg
Bisnius,Bisnius nigriventris,True,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_1.jpg
Bisnius,Bisnius nigriventris,True,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_2.jpg
Bisnius,Bisnius nigriventris,True,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_3.jpg
Bisnius,Bisnius nigriventris,True,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_4.jpg
Bisnius,Bisnius nigriventris,True,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_5.jpg
Gabrius,Gabrius piliger,True,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_0.jpg
Gabrius,Gabrius piliger,True,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_1.jpg
Gabrius,Gabrius piliger,True,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_2.jpg
Gabrius,Gabrius piliger,True,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_3.jpg
Gabrius,Gabrius piliger,True,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_4.jpg
Gabrius,Gabrius piliger,True,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_5.jpg
Gabrius,Gabrius piliger,True,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_6.jpg
Lathrobium,Lathrobium castaneipenne,True,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_0.jpg
Lathrobium,Lathrobium castaneipenne,True,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_1.jpg
Lathrobium,Lathrobium castaneipenne,True,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_2.jpg
Lobrathium,Lathrobium castaneipenne,False,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_3.jpg
Lathrobium,Lathrobium castaneipenne,True,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_4.jpg
Lathrobium,Lathrobium castaneipenne,True,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_5.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_0.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_1.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_10.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_100.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_101.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_102.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_103.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_104.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_105.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_106.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_107.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_108.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_109.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_11.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_111.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_112.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_113.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_114.jpg
Scopaeus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_115.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_116.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_117.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_118.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_119.jpg
Neobisnius,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_12.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_120.jpg
Lathrobium,Lathrobium longulum,True,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_121.jpg
Astenus,Lathrobium longulum,False,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_122.jpg
