,Filename,Label,Prediction1,Prediction3
0,images_species/Lobrathium/Lobrathium multipunctum_102.jpg,Lobrathium,Lobrathium,"[('Achenium', 1.5889949e-05), ('Lathrobium', 0.00040447077), ('Lobrathium', 0.99956805)]"
1,images_species/Lobrathium/Lobrathium multipunctum_104.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 1.3957859e-08), ('Medon', 4.2120597e-08), ('Lobrathium', 1.0)]"
2,images_species/Lobrathium/Lobrathium multipunctum_107.jpg,Lobrathium,Lobrathium,"[('Medon', 6.9438166e-10), ('Atrecus', 1.0670936e-09), ('Lobrathium', 1.0)]"
3,images_species/Lobrathium/Lobrathium multipunctum_108.jpg,Lobrathium,Lobrathium,"[('Astenus', 7.7090881e-08), ('Rugilus', 7.9483563e-08), ('Lobrathium', 0.99999976)]"
4,images_species/Lobrathium/Lobrathium multipunctum_11.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 0.00042534474), ('Medon', 0.038562346), ('Lobrathium', 0.96095437)]"
5,images_species/Lobrathium/Lobrathium multipunctum_112.jpg,Lobrathium,Lobrathium,"[('Medon', 7.1481892e-09), ('Rugilus', 1.4963407e-08), ('Lobrathium', 1.0)]"
6,images_species/Lobrathium/Lobrathium multipunctum_12.jpg,Lobrathium,Lobrathium,"[('Rugilus', 3.3881108e-07), ('Medon', 1.899332e-06), ('Lobrathium', 0.99999726)]"
7,images_species/Lobrathium/Lobrathium multipunctum_13.jpg,Lobrathium,Lobrathium,"[('Atrecus', 2.8472523e-11), ('Medon', 1.3162178e-09), ('Lobrathium', 1.0)]"
8,images_species/Lobrathium/Lobrathium multipunctum_17.jpg,Lobrathium,Lobrathium,"[('Medon', 8.697159e-07), ('Lathrobium', 1.9688184e-06), ('Lobrathium', 0.99999702)]"
9,images_species/Lobrathium/Lobrathium multipunctum_26.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 1.9033499e-07), ('Medon', 2.7946228e-07), ('Lobrathium', 0.9999994)]"
10,images_species/Lobrathium/Lobrathium multipunctum_34.jpg,Lobrathium,Lobrathium,"[('Scopaeus', 1.7405196e-08), ('Medon', 2.5651289e-08), ('Lobrathium', 1.0)]"
11,images_species/Lobrathium/Lobrathium multipunctum_36.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 8.9060643e-09), ('Medon', 1.240924e-08), ('Lobrathium', 1.0)]"
12,images_species/Lobrathium/Lobrathium multipunctum_40.jpg,Lobrathium,Lobrathium,"[('Scopaeus', 1.8124638e-10), ('Medon', 9.1174174e-10), ('Lobrathium', 1.0)]"
13,images_species/Lobrathium/Lobrathium multipunctum_46.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 8.9696016e-08), ('Medon', 2.2336133e-06), ('Lobrathium', 0.99999762)]"
14,images_species/Lobrathium/Lobrathium multipunctum_51.jpg,Lobrathium,Lobrathium,"[('Rugilus', 1.5223117e-09), ('Medon', 1.7918691e-08), ('Lobrathium', 1.0)]"
