class,f1_score,precision,recall,support
Achenium humile,1.0,1.0,1.0,8.0
Acylophorus glaberrimus,1.0,1.0,1.0,12.0
Acylophorus wagenschieberi,1.0,1.0,1.0,8.0
Astenus gracilis,0.58,0.48,0.74,19.0
Astenus immacullatus,1.0,1.0,1.0,26.0
Astenus lyonessius,0.52,0.75,0.4,30.0
Astenus procerus,0.86,0.92,0.8,15.0
Astenus pulchellus,0.86,0.77,0.96,25.0
Atrecus affinis,1.0,1.0,1.0,9.0
Atrecus longiceps,1.0,1.0,1.0,5.0
Bisnius cephalotes,0.87,0.8,0.94,35.0
Bisnius fimetarius,0.93,0.96,0.9,60.0
Bisnius nitidulus,0.97,0.93,1.0,28.0
Bisnius parcus,0.93,0.88,1.0,7.0
Bisnius pseudoparcus,1.0,1.0,1.0,5.0
Bisnius puella,0.93,0.88,1.0,7.0
Bisnius subuliformis,0.96,0.93,1.0,13.0
Cafius xantholoma,0.99,0.98,1.0,58.0
Creophilus maxillosus,0.94,1.0,0.89,9.0
Dinothenarus pubescens,1.0,1.0,1.0,8.0
Emus hirtus,1.0,1.0,1.0,4.0
Erichsonius cinerascens,1.0,1.0,1.0,36.0
Euryporus picipes,1.0,1.0,1.0,8.0
Gabrius appendiculatus,0.72,0.69,0.75,12.0
Gabrius austriacus,0.55,0.6,0.5,6.0
Gabrius breviventer,0.57,0.45,0.76,17.0
Gabrius exiguus,0.5,1.0,0.33,3.0
Gabrius keysianus,0.88,0.88,0.88,8.0
Gabrius nigritulus,0.14,0.67,0.08,26.0
Gabrius osseticus,0.96,0.93,1.0,13.0
Gabrius splendidulus,0.84,0.73,1.0,19.0
Gabrius trossulus,0.95,0.91,1.0,10.0
Gauropterus fulgidus,0.97,0.93,1.0,14.0
Gyrohypnus angustatus,0.46,0.75,0.33,9.0
Gyrohypnus atratus,0.95,0.91,1.0,10.0
Gyrohypnus fracticornis,0.67,0.75,0.6,15.0
Gyrohypnus punctulatus,0.67,0.69,0.65,17.0
Heterothops binotatus,0.67,0.57,0.8,15.0
Heterothops dissimilis,0.22,0.5,0.14,7.0
Heterothops minutus,0.73,0.8,0.67,6.0
Heterothops niger,1.0,1.0,1.0,9.0
Heterothops praevius,0.91,0.91,0.91,11.0
Heterothops quadripunctulus,0.92,0.86,1.0,12.0
Heterothops stiglundbergi,1.0,1.0,1.0,3.0
Lathrobium brunnipes,0.96,0.98,0.95,58.0
Lathrobium dilutum,1.0,1.0,1.0,2.0
Lathrobium elongatum,0.83,0.78,0.9,48.0
Lathrobium fovulum,0.93,1.0,0.86,29.0
Lathrobium geminum,0.52,0.78,0.39,18.0
Lathrobium impressum,0.95,0.98,0.93,54.0
Lathrobium pallidum,0.78,0.64,1.0,9.0
Lathrobium rufipenne,0.98,0.96,1.0,22.0
Leptacinus batychrus,0.59,0.83,0.45,22.0
Leptacinus formicetorum,0.8,0.67,1.0,8.0
Leptacinus intermedius,0.63,0.46,1.0,6.0
Leptacinus pusillus,0.67,0.56,0.83,6.0
Lithocharis nigriceps,1.0,1.0,1.0,16.0
Lithocharis ochracea,0.99,1.0,0.97,39.0
Lobrathium multipunctum,0.93,0.91,0.95,22.0
Medon apicalis,0.92,0.86,1.0,12.0
Medon brunneus,1.0,1.0,1.0,16.0
Medon castaneus,0.95,0.9,1.0,9.0
Medon ripicola,0.93,1.0,0.88,16.0
Megalinus glabratus,1.0,1.0,1.0,7.0
Bisnius sordidus,0.88,0.87,0.9,50.0
Gabronthus thermarum,1.0,1.0,1.0,5.0
Lathrobium fulvipenne,0.93,0.92,0.94,49.0
