,Filename,Label,Prediction1,Prediction3
30,images_species/Astenus gracilis/Astenus gracilis_12.jpg,Astenus gracilis,Astenus pulchellus,"[('Scopaeus laevigatus', 8.7160873e-07), ('Astenus gracilis', 0.00034935775), ('Astenus pulchellus', 0.99964857)]"
33,images_species/Astenus gracilis/Astenus gracilis_15.jpg,Astenus gracilis,Astenus pulchellus,"[('Astenus lyonessius', 3.5897167e-05), ('Astenus gracilis', 0.0055051693), ('Astenus pulchellus', 0.99444652)]"
38,images_species/Astenus gracilis/Astenus gracilis_20.jpg,Astenus gracilis,Astenus lyonessius,"[('Rugilus orbiculatus', 2.5708005e-08), ('Astenus gracilis', 1.1910728e-07), ('Astenus lyonessius', 0.99999988)]"
42,images_species/Astenus gracilis/Astenus gracilis_24.jpg,Astenus gracilis,Astenus lyonessius,"[('Rugilus orbiculatus', 7.5171069e-09), ('Astenus gracilis', 3.3548386e-05), ('Astenus lyonessius', 0.9999665)]"
44,images_species/Astenus gracilis/Astenus gracilis_26.jpg,Astenus gracilis,Astenus lyonessius,"[('Rugilus orbiculatus', 8.6167747e-06), ('Astenus gracilis', 0.001945268), ('Astenus lyonessius', 0.99804485)]"
73,images_species/Astenus lyonessius/Astenus lyonessius_15.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.0018448092), ('Astenus lyonessius', 0.34627539), ('Astenus gracilis', 0.65180379)]"
74,images_species/Astenus lyonessius/Astenus lyonessius_16.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus lyonessius', 0.0013514607), ('Astenus pulchellus', 0.070102237), ('Astenus gracilis', 0.92772788)]"
75,images_species/Astenus lyonessius/Astenus lyonessius_17.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.00047965097), ('Astenus lyonessius', 0.021702131), ('Astenus gracilis', 0.97780848)]"
79,images_species/Astenus lyonessius/Astenus lyonessius_21.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.00023973794), ('Astenus lyonessius', 0.0031943119), ('Astenus gracilis', 0.99655759)]"
80,images_species/Astenus lyonessius/Astenus lyonessius_22.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.0082351407), ('Astenus lyonessius', 0.012624439), ('Astenus gracilis', 0.97894567)]"
81,images_species/Astenus lyonessius/Astenus lyonessius_23.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus procerus', 0.0022985199), ('Astenus pulchellus', 0.0062439744), ('Astenus gracilis', 0.99138474)]"
82,images_species/Astenus lyonessius/Astenus lyonessius_24.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus lyonessius', 0.00063959602), ('Astenus pulchellus', 0.0083995136), ('Astenus gracilis', 0.99095786)]"
83,images_species/Astenus lyonessius/Astenus lyonessius_25.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus lyonessius', 0.25019169), ('Astenus pulchellus', 0.32036093), ('Astenus gracilis', 0.42928436)]"
84,images_species/Astenus lyonessius/Astenus lyonessius_26.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.00074732571), ('Astenus lyonessius', 0.10156906), ('Astenus gracilis', 0.89767534)]"
85,images_species/Astenus lyonessius/Astenus lyonessius_27.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus gracilis', 0.030474424), ('Neobisnius villosulus', 0.15325937), ('Astenus pulchellus', 0.81095082)]"
86,images_species/Astenus lyonessius/Astenus lyonessius_28.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.00090046035), ('Astenus lyonessius', 0.23338334), ('Astenus gracilis', 0.76560825)]"
88,images_species/Astenus lyonessius/Astenus lyonessius_30.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.0033904747), ('Astenus lyonessius', 0.070000447), ('Astenus gracilis', 0.92643905)]"
91,images_species/Astenus lyonessius/Astenus lyonessius_33.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.0012727897), ('Astenus lyonessius', 0.47036561), ('Astenus gracilis', 0.52819604)]"
92,images_species/Astenus lyonessius/Astenus lyonessius_34.jpg,Astenus lyonessius,Astenus gracilis,"[('Scopaeus laevigatus', 0.00020843367), ('Astenus pulchellus', 0.11433632), ('Astenus gracilis', 0.88515407)]"
93,images_species/Astenus lyonessius/Astenus lyonessius_35.jpg,Astenus lyonessius,Astenus procerus,"[('Astenus gracilis', 0.078995079), ('Astenus pulchellus', 0.37528178), ('Astenus procerus', 0.52428347)]"
94,images_species/Astenus lyonessius/Astenus lyonessius_36.jpg,Astenus lyonessius,Astenus pulchellus,"[('Astenus lyonessius', 2.6211577e-05), ('Astenus gracilis', 0.027487149), ('Astenus pulchellus', 0.97244543)]"
95,images_species/Astenus lyonessius/Astenus lyonessius_37.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 7.3345138e-05), ('Astenus lyonessius', 0.0012644273), ('Astenus gracilis', 0.99866176)]"
98,images_species/Astenus lyonessius/Astenus lyonessius_40.jpg,Astenus lyonessius,Astenus gracilis,"[('Astenus pulchellus', 0.00047600933), ('Astenus lyonessius', 0.47850606), ('Astenus gracilis', 0.5210169)]"
112,images_species/Astenus procerus/Astenus procerus_19.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus immacullatus', 0.0032179193), ('Astenus procerus', 0.15163672), ('Astenus pulchellus', 0.84446728)]"
115,images_species/Astenus procerus/Astenus procerus_7.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus procerus', 0.00010216006), ('Astenus gracilis', 0.00012644449), ('Astenus pulchellus', 0.9997701)]"
116,images_species/Astenus procerus/Astenus procerus_8.jpg,Astenus procerus,Astenus pulchellus,"[('Astenus procerus', 5.0369032e-05), ('Astenus gracilis', 7.4870848e-05), ('Astenus pulchellus', 0.99987447)]"
123,images_species/Astenus pulchellus/Astenus pulchellus_17.jpg,Astenus pulchellus,Astenus lyonessius,"[('Astenus gracilis', 0.0096776672), ('Astenus pulchellus', 0.19975665), ('Astenus lyonessius', 0.7900604)]"
161,images_species/Bisnius cephalotes/Bisnius cephalotes_21.jpg,Bisnius cephalotes,Bisnius sordidus,"[('Philonthus concinnus', 0.00022173511), ('Bisnius cephalotes', 0.00059661811), ('Bisnius sordidus', 0.99889541)]"
180,images_species/Bisnius cephalotes/Bisnius cephalotes_40.jpg,Bisnius cephalotes,Bisnius parcus,"[('Cafius xantholoma', 0.00053350371), ('Bisnius cephalotes', 0.42636871), ('Bisnius parcus', 0.57273811)]"
236,images_species/Bisnius fimetarius/Bisnius fimetarius_74.jpg,Bisnius fimetarius,Bisnius cephalotes,"[('Philonthus rufipes', 0.0033213983), ('Rugilus rufipes', 0.013574566), ('Bisnius cephalotes', 0.98279232)]"
237,images_species/Bisnius fimetarius/Bisnius fimetarius_75.jpg,Bisnius fimetarius,Bisnius sordidus,"[('Bisnius cephalotes', 0.004702427), ('Bisnius fimetarius', 0.19538726), ('Bisnius sordidus', 0.79982889)]"
243,images_species/Bisnius fimetarius/Bisnius fimetarius_81.jpg,Bisnius fimetarius,Philonthus quisquiliarius,"[('Bisnius sordidus', 6.3039319e-05), ('Bisnius cephalotes', 0.00014296659), ('Philonthus quisquiliarius', 0.99971205)]"
247,images_species/Bisnius fimetarius/Bisnius fimetarius_85.jpg,Bisnius fimetarius,Philonthus albipes,"[('Gabrius nigritulus', 1.57952e-05), ('Philonthus debilis', 0.00011282686), ('Philonthus albipes', 0.99984336)]"
250,images_species/Bisnius fimetarius/Bisnius fimetarius_88.jpg,Bisnius fimetarius,Bisnius cephalotes,"[('Bisnius sordidus', 0.0068318578), ('Bisnius fimetarius', 0.023285484), ('Bisnius cephalotes', 0.96925062)]"
251,images_species/Bisnius fimetarius/Bisnius fimetarius_89.jpg,Bisnius fimetarius,Bisnius subuliformis,"[('Bisnius fimetarius', 0.0031920467), ('Gabrius splendidulus', 0.04181153), ('Bisnius subuliformis', 0.95459104)]"
374,images_species/Creophilus maxillosus/Creophilus maxillosus_5.jpg,Creophilus maxillosus,Velleius dilatatus,"[('Ocypus olens', 0.0449671), ('Creophilus maxillosus', 0.35168692), ('Velleius dilatatus', 0.58891088)]"
436,images_species/Gabrius appendiculatus/Gabrius appendiculatus_11.jpg,Gabrius appendiculatus,Gabrius austriacus,"[('Gabrius breviventer', 0.073659673), ('Gabrius appendiculatus', 0.20880723), ('Gabrius austriacus', 0.71147937)]"
440,images_species/Gabrius appendiculatus/Gabrius appendiculatus_15.jpg,Gabrius appendiculatus,Gabrius breviventer,"[('Gabrius austriacus', 0.02212709), ('Gabrius appendiculatus', 0.35930905), ('Gabrius breviventer', 0.61219233)]"
441,images_species/Gabrius appendiculatus/Gabrius appendiculatus_16.jpg,Gabrius appendiculatus,Leptacinus pusillus,"[('Leptacinus intermedius', 0.053886447), ('Rugilus erichsoni', 0.083630674), ('Leptacinus pusillus', 0.68572468)]"
447,images_species/Gabrius austriacus/Gabrius austriacus_3.jpg,Gabrius austriacus,Gabrius breviventer,"[('Gabrius appendiculatus', 0.0001296844), ('Gabrius austriacus', 0.008724154), ('Gabrius breviventer', 0.99092555)]"
