,Filename,Label,Prediction1,Prediction3
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus cognatus', 0.1843195), ('Philonthus succicola', 0.19622317), ('Philonthus tenuicornis', 0.20756955)]"
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus tenuicornis', 0.09990205), ('Philonthus cognatus', 0.1394995), ('Philonthus succicola', 0.5450853)]"
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus succicola', 0.10220373), ('Philonthus addendus', 0.14188263), ('Philonthus politus', 0.63522464)]"
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus addendus', 0.081063844), ('Philonthus succicola', 0.107159965), ('Philonthus politus', 0.669556)]"
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus marginatus', 0.065886594), ('Philonthus fumarius', 0.18232296), ('Philonthus tenuicornis', 0.25666508)]"
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 0.081375554), ('Philonthus succicola', 0.12359026), ('Philonthus tenuicornis', 0.5999668)]"
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus laminatus', 0.13368551), ('Philonthus tenuicornis', 0.1599646), ('Philonthus succicola', 0.21913207)]"
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus fumarius', 0.11653983), ('Philonthus succicola', 0.25132507), ('Philonthus tenuicornis', 0.43232894)]"
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus addendus', 0.09059175), ('Philonthus succicola', 0.42660493), ('Philonthus politus', 0.4527193)]"
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus punctus', 0.08779888), ('Philonthus tenuicornis', 0.12889232), ('Philonthus succicola', 0.2734538)]"
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_23.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus splendens', 0.15955557), ('Philonthus succicola', 0.2961907), ('Philonthus tenuicornis', 0.47466815)]"
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_24.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus succicola', 0.042888746), ('Philonthus splendens', 0.057805907), ('Philonthus politus', 0.8668199)]"
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_25.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus fumarius', 0.112177655), ('Philonthus marginatus', 0.12385511), ('Philonthus tenuicornis', 0.38616607)]"
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_26.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus addendus', 0.08630898), ('Philonthus succicola', 0.3301249), ('Philonthus politus', 0.5576554)]"
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_27.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus addendus', 0.037855767), ('Philonthus succicola', 0.2717311), ('Philonthus politus', 0.59642756)]"
15,images_species/Philonthus tenuicornis/Philonthus tenuicornis_28.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus addendus', 0.17504102), ('Philonthus rectangulus', 0.22086895), ('Philonthus politus', 0.28747585)]"
16,images_species/Philonthus tenuicornis/Philonthus tenuicornis_29.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 0.035359073), ('Philonthus succicola', 0.28589314), ('Philonthus tenuicornis', 0.42894527)]"
17,images_species/Philonthus tenuicornis/Philonthus tenuicornis_30.jpg,Philonthus tenuicornis,Philonthus atratus,"[('Philonthus succicola', 0.052522063), ('Philonthus mannerheimi', 0.08383898), ('Philonthus atratus', 0.6243788)]"
18,images_species/Philonthus tenuicornis/Philonthus tenuicornis_31.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus cognatus', 0.16260912), ('Philonthus tenuicornis', 0.23733701), ('Philonthus succicola', 0.28490996)]"
19,images_species/Philonthus tenuicornis/Philonthus tenuicornis_32.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus cognatus', 0.2603103), ('Philonthus tenuicornis', 0.2705209), ('Philonthus succicola', 0.32401037)]"
20,images_species/Philonthus tenuicornis/Philonthus tenuicornis_33.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus intermedius', 0.051667005), ('Ocypus fuscatus', 0.06619306), ('Philonthus tenuicornis', 0.52672076)]"
21,images_species/Philonthus tenuicornis/Philonthus tenuicornis_34.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus laminatus', 0.09822473), ('Philonthus succicola', 0.11997061), ('Philonthus tenuicornis', 0.2698056)]"
22,images_species/Philonthus tenuicornis/Philonthus tenuicornis_35.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus atratus', 0.009060998), ('Philonthus succicola', 0.043910097), ('Philonthus tenuicornis', 0.90532076)]"
23,images_species/Philonthus tenuicornis/Philonthus tenuicornis_36.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 0.06406763), ('Philonthus succicola', 0.28761107), ('Philonthus tenuicornis', 0.4494478)]"
24,images_species/Philonthus tenuicornis/Philonthus tenuicornis_37.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus mannerheimi', 0.19837542), ('Philonthus cognatus', 0.21344721), ('Philonthus tenuicornis', 0.2184323)]"
25,images_species/Philonthus tenuicornis/Philonthus tenuicornis_38.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus laminatus', 0.088533245), ('Philonthus cognatus', 0.13175304), ('Philonthus tenuicornis', 0.48599854)]"
