,Filename,Label,Prediction1,Prediction3
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 8.2389444e-05), ('Philonthus succicola', 0.0018093331), ('Philonthus tenuicornis', 0.99804074)]"
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus decorus', 0.008408132), ('Philonthus corvinus', 0.02904267), ('Philonthus tenuicornis', 0.9603534)]"
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus tenuicornis', 0.0006696197), ('Cafius xantholoma', 0.28871858), ('Philonthus politus', 0.7101938)]"
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Philonthus carbonarius,"[('Philonthus concinnus', 0.04168525), ('Philonthus longicornis', 0.077246316), ('Philonthus carbonarius', 0.8522615)]"
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus rufipes', 0.0003729622), ('Philonthus decorus', 0.02580974), ('Philonthus tenuicornis', 0.97359294)]"
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus decorus', 0.00031643416), ('Cafius xantholoma', 0.0005846462), ('Philonthus tenuicornis', 0.9985592)]"
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Bisnius puella', 0.0007789359), ('Philonthus laminatus', 0.046126187), ('Philonthus tenuicornis', 0.95117897)]"
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus furcifer', 0.007885471), ('Philonthus corvinus', 0.01694957), ('Philonthus tenuicornis', 0.9618172)]"
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Bisnius sordidus,"[('Philonthus atratus', 0.0034021365), ('Philonthus politus', 0.22792146), ('Bisnius sordidus', 0.7638932)]"
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Cafius xantholoma', 0.0033298517), ('Philonthus decorus', 0.061533652), ('Philonthus tenuicornis', 0.93506444)]"
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_23.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.02230635), ('Philonthus politus', 0.053252753), ('Philonthus tenuicornis', 0.924379)]"
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_24.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Philonthus politus', 0.012314052), ('Philonthus carbonarius', 0.012490899), ('Philonthus addendus', 0.9724)]"
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_25.jpg,Philonthus tenuicornis,Quedius mesomelinus,"[('Philonthus rufipes', 0.029751342), ('Philonthus decorus', 0.27179074), ('Quedius mesomelinus', 0.6758729)]"
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_26.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.09367234), ('Philonthus politus', 0.12912084), ('Philonthus tenuicornis', 0.76920944)]"
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_27.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Bisnius sordidus', 0.010032332), ('Philonthus carbonarius', 0.035952386), ('Philonthus addendus', 0.9471872)]"
15,images_species/Philonthus tenuicornis/Philonthus tenuicornis_28.jpg,Philonthus tenuicornis,Quedius maurus,"[('Philonthus decorus', 0.014346833), ('Philonthus tenuicornis', 0.36816248), ('Quedius maurus', 0.6155785)]"
16,images_species/Philonthus tenuicornis/Philonthus tenuicornis_29.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Philonthus politus', 0.025379883), ('Philonthus succicola', 0.08174933), ('Philonthus addendus', 0.8924425)]"
