,Filename,Label,Prediction1,Prediction3
0,images_species/Achenium humile/Achenium humile_10.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 7.6690732e-10), ('Gyrohypnus fracticornis', 8.1607909e-10), ('Achenium humile', 1.0)]"
1,images_species/Achenium humile/Achenium humile_11.jpg,Achenium humile,Achenium humile,"[('Lathrobium geminum', 2.558443e-09), ('Lathrobium pallidum', 5.5357261e-09), ('Achenium humile', 1.0)]"
2,images_species/Achenium humile/Achenium humile_4.jpg,Achenium humile,Achenium humile,"[('Lathrobium brunnipes', 3.1786456e-09), ('Lathrobium geminum', 1.8940174e-08), ('Achenium humile', 1.0)]"
3,images_species/Achenium humile/Achenium humile_5.jpg,Achenium humile,Achenium humile,"[('Lathrobium brunnipes', 0.0001069041), ('Lathrobium pallidum', 0.0083565731), ('Achenium humile', 0.99149829)]"
4,images_species/Achenium humile/Achenium humile_6.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 4.8851042e-08), ('Lathrobium pallidum', 1.7024335e-07), ('Achenium humile', 0.99999976)]"
5,images_species/Achenium humile/Achenium humile_7.jpg,Achenium humile,Achenium humile,"[('Medon castaneus', 9.6217391e-06), ('Lathrobium pallidum', 3.9741815e-05), ('Achenium humile', 0.9999423)]"
6,images_species/Achenium humile/Achenium humile_8.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 7.9258875e-09), ('Gyrohypnus fracticornis', 1.0418104e-08), ('Achenium humile', 1.0)]"
7,images_species/Achenium humile/Achenium humile_9.jpg,Achenium humile,Achenium humile,"[('Lathrobium geminum', 5.5668999e-05), ('Lathrobium pallidum', 0.024925334), ('Achenium humile', 0.97490227)]"
8,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_10.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Euryporus picipes', 1.4560133e-06), ('Acylophorus wagenschieberi', 4.7956582e-06), ('Acylophorus glaberrimus', 0.99999177)]"
9,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_11.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Heterothops niger', 4.696069e-06), ('Philonthus jurgans', 2.7781727e-05), ('Acylophorus glaberrimus', 0.99996066)]"
10,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_12.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus jurgans', 6.326135e-06), ('Acylophorus wagenschieberi', 0.00014657238), ('Acylophorus glaberrimus', 0.99984384)]"
11,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_13.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus jurgans', 3.0121613e-05), ('Acylophorus wagenschieberi', 0.00017477007), ('Acylophorus glaberrimus', 0.99978381)]"
