,Filename,Label,Prediction1,Prediction3
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus laminatus', 0.00023981868), ('Philonthus addendus', 0.0025733933), ('Philonthus tenuicornis', 0.9971432)]"
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus tenuicornis', 0.026124433), ('Philonthus addendus', 0.07110261), ('Philonthus succicola', 0.9025943)]"
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus addendus', 0.007126415), ('Bisnius puella', 0.12214425), ('Philonthus politus', 0.86933213)]"
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Philonthus ebeninus', 0.0002269012), ('Philonthus tenuicornis', 0.0009824889), ('Philonthus addendus', 0.9987488)]"
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 9.552614e-07), ('Philonthus rufipes', 2.5721536e-06), ('Philonthus tenuicornis', 0.9999949)]"
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.011969803), ('Bisnius puella', 0.17217845), ('Philonthus tenuicornis', 0.8045931)]"
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Philonthus laminatus,"[('Quedius lateralis', 0.00038721933), ('Philonthus tenuicornis', 0.04180731), ('Philonthus laminatus', 0.9575947)]"
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 0.017203186), ('Philonthus laminatus', 0.19029127), ('Philonthus tenuicornis', 0.7725069)]"
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Bisnius puella', 0.18532464), ('Philonthus tenuicornis', 0.24323113), ('Philonthus addendus', 0.30966678)]"
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Bisnius puella', 0.028466355), ('Philonthus politus', 0.050508495), ('Philonthus tenuicornis', 0.8981331)]"
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_23.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus atratus', 0.000586876), ('Philonthus succicola', 0.3005804), ('Philonthus tenuicornis', 0.6979486)]"
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_24.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Philonthus ebeninus', 0.013300198), ('Philonthus tenuicornis', 0.04211271), ('Philonthus addendus', 0.92215073)]"
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_25.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus rectangulus', 0.024147144), ('Philonthus addendus', 0.08440295), ('Philonthus tenuicornis', 0.8839151)]"
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_26.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.0011088123), ('Bisnius puella', 0.0021157989), ('Philonthus tenuicornis', 0.99609035)]"
