,Filename,Label,Prediction1,Prediction3
0,images_species/Achenium humile/Achenium humile_10.jpg,Achenium humile,Achenium humile,"[('Quedius truncicola', 2.6400988e-07), ('Xantholinus laevigatus', 5.2750715e-07), ('Achenium humile', 0.99999857)]"
1,images_species/Achenium humile/Achenium humile_11.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 2.2621565e-05), ('Quedius truncicola', 2.5278141e-05), ('Achenium humile', 0.99988627)]"
2,images_species/Achenium humile/Achenium humile_4.jpg,Achenium humile,Achenium humile,"[('Atrecus longiceps', 1.9116271e-06), ('Xantholinus laevigatus', 8.1752178e-06), ('Achenium humile', 0.99998188)]"
3,images_species/Achenium humile/Achenium humile_5.jpg,Achenium humile,Achenium humile,"[('Lathrobium fovulum', 1.4630827e-05), ('Xantholinus laevigatus', 0.0010790812), ('Achenium humile', 0.9987883)]"
4,images_species/Achenium humile/Achenium humile_6.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 0.00090651301), ('Lathrobium pallidum', 0.0017534818), ('Achenium humile', 0.99645716)]"
5,images_species/Achenium humile/Achenium humile_7.jpg,Achenium humile,Achenium humile,"[('Atrecus longiceps', 3.6506091e-05), ('Xantholinus laevigatus', 6.8352056e-05), ('Achenium humile', 0.99985743)]"
6,images_species/Achenium humile/Achenium humile_8.jpg,Achenium humile,Achenium humile,"[('Gyrohypnus fracticornis', 2.7102137e-06), ('Xantholinus laevigatus', 1.1659669e-05), ('Achenium humile', 0.99997354)]"
7,images_species/Achenium humile/Achenium humile_9.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 0.00073717785), ('Lathrobium pallidum', 0.0053559248), ('Achenium humile', 0.99207264)]"
8,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_10.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Paederidus ruficollis', 0.00010106761), ('Acylophorus wagenschieberi', 0.011706374), ('Acylophorus glaberrimus', 0.98802501)]"
9,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_11.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 7.8173201e-05), ('Philonthus nigrita', 0.00062457769), ('Acylophorus glaberrimus', 0.99894899)]"
10,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_12.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 6.8056215e-06), ('Acylophorus wagenschieberi', 0.00017888332), ('Acylophorus glaberrimus', 0.99979764)]"
11,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_13.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 3.0080781e-05), ('Philonthus nigrita', 0.0001703258), ('Acylophorus glaberrimus', 0.99979395)]"
12,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_14.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 2.8358513e-06), ('Acylophorus wagenschieberi', 3.4368793e-06), ('Acylophorus glaberrimus', 0.99998879)]"
13,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_15.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 1.2767101e-05), ('Acylophorus wagenschieberi', 0.00031636041), ('Acylophorus glaberrimus', 0.99966788)]"
14,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_16.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus carbonarius', 0.0022119614), ('Philonthus varians', 0.0057485313), ('Acylophorus glaberrimus', 0.99051964)]"
15,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_17.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Heterothops niger', 0.00044435833), ('Philonthus nigrita', 0.0019410802), ('Acylophorus glaberrimus', 0.99617165)]"
16,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_6.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 1.3530416e-05), ('Acylophorus wagenschieberi', 3.1610914e-05), ('Acylophorus glaberrimus', 0.99992943)]"
17,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_7.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus varians', 0.00027590449), ('Philonthus parvicornis', 0.0011763143), ('Acylophorus glaberrimus', 0.99781442)]"
18,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_8.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus carbonarius', 0.00016654732), ('Paederidus ruficollis', 0.00019032475), ('Acylophorus glaberrimus', 0.99891198)]"
