,Filename,Label,Prediction1,Prediction3
0,images_species/Achenium humile/Achenium humile_10.jpg,Achenium humile,Achenium humile,"[('Emus hirtus', 1.4019987e-10), ('Heterothops minutus', 1.7926828e-08), ('Achenium humile', 1.0)]"
1,images_species/Achenium humile/Achenium humile_11.jpg,Achenium humile,Achenium humile,"[('Quedius brevis', 4.82758e-10), ('Heterothops minutus', 1.5830029e-08), ('Achenium humile', 1.0)]"
2,images_species/Achenium humile/Achenium humile_4.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 5.3721222e-11), ('Heterothops minutus', 1.5753162e-08), ('Achenium humile', 1.0)]"
3,images_species/Achenium humile/Achenium humile_5.jpg,Achenium humile,Achenium humile,"[('Heterothops minutus', 8.3884444e-08), ('Lathrobium pallidum', 2.2374081e-06), ('Achenium humile', 0.99999762)]"
4,images_species/Achenium humile/Achenium humile_6.jpg,Achenium humile,Achenium humile,"[('Lathrobium pallidum', 1.4197222e-09), ('Heterothops minutus', 9.2769472e-09), ('Achenium humile', 1.0)]"
5,images_species/Achenium humile/Achenium humile_7.jpg,Achenium humile,Achenium humile,"[('Medon brunneus', 4.7970843e-08), ('Lathrobium pallidum', 1.6328779e-06), ('Achenium humile', 0.99999833)]"
6,images_species/Achenium humile/Achenium humile_8.jpg,Achenium humile,Achenium humile,"[('Xantholinus laevigatus', 9.4669366e-09), ('Heterothops minutus', 3.4329742e-07), ('Achenium humile', 0.99999964)]"
7,images_species/Achenium humile/Achenium humile_9.jpg,Achenium humile,Achenium humile,"[('Heterothops minutus', 6.3782166e-09), ('Lathrobium pallidum', 6.9657762e-07), ('Achenium humile', 0.99999928)]"
8,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_10.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 5.9576239e-05), ('Euryporus picipes', 7.9639067e-05), ('Acylophorus glaberrimus', 0.99982327)]"
9,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_11.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Euryporus picipes', 1.1928767e-06), ('Acylophorus wagenschieberi', 1.2873508e-06), ('Acylophorus glaberrimus', 0.99999452)]"
10,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_12.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus nigrita', 1.8776194e-05), ('Philonthus varians', 0.00030639957), ('Acylophorus glaberrimus', 0.99959522)]"
11,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_13.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 0.00078157755), ('Philonthus varians', 0.0017807387), ('Acylophorus glaberrimus', 0.99696296)]"
12,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_14.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 4.8985538e-07), ('Quedius fuliginosus', 3.195142e-06), ('Acylophorus glaberrimus', 0.99999535)]"
13,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_15.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus corvinus', 2.8757372e-06), ('Philonthus jurgans', 5.7688521e-06), ('Acylophorus glaberrimus', 0.99998236)]"
