,Filename,Label,Prediction1,Prediction3
0,images_species/Achenium humile/Achenium humile_10.jpg,Achenium humile,Achenium humile,"[('Lathrobium pallidum', 2.9103913e-07), ('Lathrobium dilutum', 9.0147546e-07), ('Achenium humile', 0.99999845)]"
1,images_species/Achenium humile/Achenium humile_11.jpg,Achenium humile,Achenium humile,"[('Lathrobium pallidum', 2.4770457e-06), ('Lathrobium fovulum', 0.0002032278), ('Achenium humile', 0.99979168)]"
2,images_species/Achenium humile/Achenium humile_4.jpg,Achenium humile,Achenium humile,"[('Lathrobium fulvipenne', 2.874767e-06), ('Lathrobium geminum', 1.3098589e-05), ('Achenium humile', 0.9999826)]"
3,images_species/Achenium humile/Achenium humile_5.jpg,Achenium humile,Achenium humile,"[('Lathrobium pallidum', 0.00022496513), ('Lathrobium fulvipenne', 0.0012949998), ('Achenium humile', 0.99841785)]"
4,images_species/Achenium humile/Achenium humile_6.jpg,Achenium humile,Achenium humile,"[('Lathrobium geminum', 0.0013907409), ('Lathrobium pallidum', 0.0025772934), ('Achenium humile', 0.99479163)]"
5,images_species/Achenium humile/Achenium humile_7.jpg,Achenium humile,Achenium humile,"[('Lathrobium dilutum', 0.00017598836), ('Lathrobium pallidum', 0.00018868626), ('Achenium humile', 0.99947685)]"
6,images_species/Achenium humile/Achenium humile_8.jpg,Achenium humile,Achenium humile,"[('Lathrobium fulvipenne', 1.4649825e-07), ('Lathrobium geminum', 2.0212651e-07), ('Achenium humile', 0.99999952)]"
7,images_species/Achenium humile/Achenium humile_9.jpg,Achenium humile,Achenium humile,"[('Lathrobium pallidum', 0.0015464157), ('Lathrobium fovulum', 0.0024659578), ('Achenium humile', 0.99452728)]"
8,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_10.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius curtipennis', 5.7182242e-05), ('Philonthus mannerheimi', 0.0023466495), ('Acylophorus glaberrimus', 0.99755484)]"
9,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_11.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius umbrinus', 1.0589683e-06), ('Philonthus jurgans', 3.5106546e-06), ('Acylophorus glaberrimus', 0.99999392)]"
10,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_12.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 5.3487443e-06), ('Heterothops niger', 8.1168773e-06), ('Acylophorus glaberrimus', 0.99997926)]"
11,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_13.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus jurgans', 2.7003458e-07), ('Acylophorus wagenschieberi', 6.7579763e-06), ('Acylophorus glaberrimus', 0.99999237)]"
12,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_14.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius fuliginosus', 2.1276809e-09), ('Acylophorus wagenschieberi', 5.2835976e-09), ('Acylophorus glaberrimus', 1.0)]"
13,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_15.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Quedius fuliginosus', 5.5799555e-06), ('Acylophorus wagenschieberi', 1.904386e-05), ('Acylophorus glaberrimus', 0.99996471)]"
14,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_16.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus cognatus', 0.00079085358), ('Acylophorus wagenschieberi', 0.0015832351), ('Acylophorus glaberrimus', 0.99742562)]"
15,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_17.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 1.791758e-05), ('Philonthus cognatus', 2.7025213e-05), ('Acylophorus glaberrimus', 0.99993455)]"
16,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_6.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 0.0013730148), ('Philonthus cognatus', 0.13228445), ('Acylophorus glaberrimus', 0.865794)]"
17,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_7.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Acylophorus wagenschieberi', 0.0011896204), ('Philonthus parvicornis', 0.0018260659), ('Acylophorus glaberrimus', 0.99692267)]"
18,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_8.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Philonthus cognatus', 1.2059235e-06), ('Philonthus mannerheimi', 2.5480167e-06), ('Acylophorus glaberrimus', 0.99999475)]"
19,images_species/Acylophorus glaberrimus/Acylophorus glaberrimus_9.jpg,Acylophorus glaberrimus,Acylophorus glaberrimus,"[('Euryporus picipes', 3.8151043e-07), ('Quedius fuliginosus', 2.2792092e-05), ('Acylophorus glaberrimus', 0.99997663)]"
20,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_10.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 1.4107121e-05), ('Acylophorus glaberrimus', 0.00041635125), ('Acylophorus wagenschieberi', 0.99955958)]"
21,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_11.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Quedius semiobscurus', 0.000215755), ('Acylophorus glaberrimus', 0.0013204201), ('Acylophorus wagenschieberi', 0.99840409)]"
22,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_4.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 0.00030971819), ('Quedius semiobscurus', 0.0014482714), ('Acylophorus wagenschieberi', 0.9982273)]"
23,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_5.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 0.00013609818), ('Acylophorus glaberrimus', 0.00015856864), ('Acylophorus wagenschieberi', 0.9997043)]"
24,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_6.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Euryporus picipes', 0.10491627), ('Philonthus cognatus', 0.12413998), ('Acylophorus wagenschieberi', 0.74313563)]"
25,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_7.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 0.0063038981), ('Euryporus picipes', 0.029609034), ('Acylophorus wagenschieberi', 0.96119773)]"
26,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_8.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 7.4127049e-05), ('Euryporus picipes', 0.00014468016), ('Acylophorus wagenschieberi', 0.99973422)]"
27,images_species/Acylophorus wagenschieberi/Acylophorus wagenschieberi_9.jpg,Acylophorus wagenschieberi,Acylophorus wagenschieberi,"[('Acylophorus glaberrimus', 3.1449588e-05), ('Quedius semiobscurus', 6.900922e-05), ('Acylophorus wagenschieberi', 0.99989879)]"
