,Filename,Label,Prediction1,Prediction3
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.0007830759), ('Philonthus succicola', 0.014183332), ('Philonthus tenuicornis', 0.9846598)]"
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.0013038944), ('Philonthus splendens', 0.0014347355), ('Philonthus tenuicornis', 0.99715555)]"
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Velleius dilatatus', 0.0070606433), ('Philonthus succicola', 0.09804046), ('Philonthus tenuicornis', 0.8915477)]"
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus mannerheimi', 0.0005675398), ('Philonthus addendus', 0.0032051862), ('Philonthus tenuicornis', 0.99507564)]"
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus splendens', 5.4187968e-08), ('Euryporus picipes', 4.027089e-06), ('Philonthus tenuicornis', 0.9999956)]"
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.00012383983), ('Philonthus splendens', 0.00040400375), ('Philonthus tenuicornis', 0.99945325)]"
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Velleius dilatatus', 0.006808893), ('Philonthus succicola', 0.006920248), ('Philonthus tenuicornis', 0.9823235)]"
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Euryporus picipes', 0.014841874), ('Philonthus decorus', 0.051308416), ('Philonthus tenuicornis', 0.9077763)]"
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus tenuicornis', 0.10478799), ('Philonthus addendus', 0.12824379), ('Philonthus succicola', 0.7290089)]"
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.1783914), ('Tasgius melanarius', 0.25413936), ('Philonthus tenuicornis', 0.36457878)]"
