,Filename,Label,Prediction1,Prediction3
0,images_genus/Lobrathium/Lobrathium multipunctum_11.jpg,Lobrathium,Lobrathium,"[('Xantholinus', 0.0006754201), ('Lathrobium', 0.011718129), ('Lobrathium', 0.98758262)]"
1,images_genus/Lobrathium/Lobrathium multipunctum_12.jpg,Lobrathium,Lobrathium,"[('Remus', 3.4861426e-07), ('Nudobius', 0.00015194541), ('Lobrathium', 0.99984658)]"
2,images_genus/Lobrathium/Lobrathium multipunctum_13.jpg,Lobrathium,Lobrathium,"[('Neobisnius', 2.4003709e-08), ('Atrecus', 6.2648745e-08), ('Lobrathium', 0.99999988)]"
3,images_genus/Lobrathium/Lobrathium multipunctum_14.jpg,Lobrathium,Lobrathium,"[('Rugilus', 3.3356248e-08), ('Lathrobium', 3.6012466e-08), ('Lobrathium', 0.99999988)]"
4,images_genus/Lobrathium/Lobrathium multipunctum_15.jpg,Lobrathium,Lobrathium,"[('Tetartopeus', 1.8342452e-06), ('Lathrobium', 0.00036625774), ('Lobrathium', 0.99962819)]"
5,images_genus/Lobrathium/Lobrathium multipunctum_16.jpg,Lobrathium,Lobrathium,"[('Rugilus', 9.5719237e-08), ('Medon', 2.3893287e-07), ('Lobrathium', 0.99999952)]"
6,images_genus/Lobrathium/Lobrathium multipunctum_17.jpg,Lobrathium,Lobrathium,"[('Atrecus', 1.337103e-06), ('Lathrobium', 3.1235622e-06), ('Lobrathium', 0.99999249)]"
7,images_genus/Lobrathium/Lobrathium multipunctum_18.jpg,Lobrathium,Lobrathium,"[('Rugilus', 9.7047509e-11), ('Atrecus', 6.702725e-10), ('Lobrathium', 1.0)]"
8,images_genus/Lobrathium/Lobrathium multipunctum_19.jpg,Lobrathium,Lobrathium,"[('Xantholinus', 0.0027106195), ('Lathrobium', 0.0035374628), ('Lobrathium', 0.99287647)]"
9,images_genus/Lobrathium/Lobrathium multipunctum_20.jpg,Lobrathium,Lobrathium,"[('Achenium', 2.0426836e-07), ('Lathrobium', 2.6445825e-06), ('Lobrathium', 0.99999642)]"
10,images_genus/Lobrathium/Lobrathium multipunctum_21.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 1.251166e-10), ('Atrecus', 1.4200843e-10), ('Lobrathium', 1.0)]"
11,images_genus/Lobrathium/Lobrathium multipunctum_22.jpg,Lobrathium,Lobrathium,"[('Achenium', 3.9113561e-06), ('Lathrobium', 0.00051622826), ('Lobrathium', 0.99947518)]"
12,images_genus/Lobrathium/Lobrathium multipunctum_23.jpg,Lobrathium,Lobrathium,"[('Rugilus', 2.8854105e-08), ('Neobisnius', 5.590416e-08), ('Lobrathium', 0.99999988)]"
13,images_genus/Lobrathium/Lobrathium multipunctum_24.jpg,Lobrathium,Lobrathium,"[('Atrecus', 2.6859126e-10), ('Neobisnius', 2.7095201e-10), ('Lobrathium', 1.0)]"
14,images_genus/Lobrathium/Lobrathium multipunctum_25.jpg,Lobrathium,Lobrathium,"[('Rugilus', 9.8515551e-09), ('Neobisnius', 1.6556474e-08), ('Lobrathium', 1.0)]"
15,images_genus/Lobrathium/Lobrathium multipunctum_26.jpg,Lobrathium,Lobrathium,"[('Medon', 2.7626338e-06), ('Lathrobium', 2.1361491e-05), ('Lobrathium', 0.99997509)]"
16,images_genus/Lobrathium/Lobrathium multipunctum_27.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 7.9246036e-08), ('Neobisnius', 1.5893231e-07), ('Lobrathium', 0.99999964)]"
