,Filename,Label,Prediction1,Prediction3
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 4.4576256e-05), ('Philonthus addendus', 9.805969e-05), ('Philonthus tenuicornis', 0.999826)]"
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.005356906), ('Philonthus succicola', 0.20704934), ('Philonthus tenuicornis', 0.7866382)]"
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Quedius levicollis', 0.00038493838), ('Philonthus succicola', 0.00057031924), ('Philonthus tenuicornis', 0.9987375)]"
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus ebeninus', 0.00012731446), ('Philonthus addendus', 0.008551166), ('Philonthus tenuicornis', 0.99128413)]"
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 5.1044324e-08), ('Philonthus fumarius', 8.25564e-08), ('Philonthus tenuicornis', 0.99999976)]"
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus carbonarius', 8.197358e-07), ('Philonthus succicola', 7.907835e-06), ('Philonthus tenuicornis', 0.99999094)]"
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 2.3046108e-05), ('Quedius lateralis', 4.5917575e-05), ('Philonthus tenuicornis', 0.9999143)]"
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus decorus', 3.5062335e-06), ('Ocypus brunnipes', 2.4373134e-05), ('Philonthus tenuicornis', 0.99996114)]"
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Bisnius puella', 0.04208927), ('Philonthus addendus', 0.21050213), ('Philonthus succicola', 0.71647316)]"
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 0.0023196295), ('Bisnius puella', 0.1664964), ('Philonthus tenuicornis', 0.83033013)]"
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_23.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus corvinus', 8.075e-09), ('Philonthus succicola', 9.576082e-06), ('Philonthus tenuicornis', 0.99999046)]"
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_24.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Philonthus mannerheimi', 0.034969494), ('Philonthus tenuicornis', 0.16580169), ('Philonthus addendus', 0.77034134)]"
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_25.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.0007807436), ('Philonthus rufipes', 0.0011741527), ('Philonthus tenuicornis', 0.9965481)]"
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_26.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.001746554), ('Bisnius puella', 0.0048842165), ('Philonthus tenuicornis', 0.992953)]"
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_27.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.0093981195), ('Philonthus addendus', 0.01564218), ('Philonthus tenuicornis', 0.971447)]"
15,images_species/Philonthus tenuicornis/Philonthus tenuicornis_28.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Philonthus rectangulus', 0.009368632), ('Philonthus tenuicornis', 0.38142994), ('Philonthus addendus', 0.6035308)]"
16,images_species/Philonthus tenuicornis/Philonthus tenuicornis_29.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 1.8759695e-07), ('Quedius cinctus', 5.2499144e-07), ('Philonthus tenuicornis', 0.9999988)]"
17,images_species/Philonthus tenuicornis/Philonthus tenuicornis_30.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus atratus', 8.617092e-11), ('Philonthus punctus', 4.7843957e-10), ('Philonthus tenuicornis', 1.0)]"
18,images_species/Philonthus tenuicornis/Philonthus tenuicornis_31.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 5.3033684e-05), ('Philonthus splendens', 5.9048925e-05), ('Philonthus tenuicornis', 0.99986863)]"
19,images_species/Philonthus tenuicornis/Philonthus tenuicornis_32.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 7.059798e-05), ('Philonthus addendus', 0.00019169357), ('Philonthus tenuicornis', 0.9997147)]"
20,images_species/Philonthus tenuicornis/Philonthus tenuicornis_33.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus splendens', 1.7172563e-06), ('Philonthus punctus', 4.601738e-06), ('Philonthus tenuicornis', 0.9999937)]"
21,images_species/Philonthus tenuicornis/Philonthus tenuicornis_34.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus decorus', 3.4717053e-05), ('Philonthus tenuicornis', 0.023352949), ('Philonthus succicola', 0.97650576)]"
22,images_species/Philonthus tenuicornis/Philonthus tenuicornis_35.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus splendens', 4.5085835e-06), ('Philonthus succicola', 7.502606e-05), ('Philonthus tenuicornis', 0.99991786)]"
23,images_species/Philonthus tenuicornis/Philonthus tenuicornis_36.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 5.3406e-09), ('Philonthus succicola', 8.694546e-09), ('Philonthus tenuicornis', 1.0)]"
24,images_species/Philonthus tenuicornis/Philonthus tenuicornis_37.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus addendus', 0.001176804), ('Philonthus tenuicornis', 0.15419385), ('Philonthus succicola', 0.84394014)]"
25,images_species/Philonthus tenuicornis/Philonthus tenuicornis_38.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Bisnius puella', 2.480835e-07), ('Philonthus succicola', 8.828577e-05), ('Philonthus tenuicornis', 0.99991107)]"
26,images_species/Philonthus tenuicornis/Philonthus tenuicornis_39.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.09647689), ('Philonthus mannerheimi', 0.14139873), ('Philonthus tenuicornis', 0.6043323)]"
27,images_species/Paederidus ruficollis/Paederidus ruficollis_24.jpg,Paederidus ruficollis,Paederidus ruficollis,"[('Paederus fuscipes', 6.258101e-07), ('Philonthus cognatus', 3.1765655e-06), ('Paederidus ruficollis', 0.9999962)]"
28,images_species/Paederidus ruficollis/Paederidus ruficollis_25.jpg,Paederidus ruficollis,Paederidus ruficollis,"[('Philonthus corruscus', 3.1805325e-08), ('Philonthus cognatus', 3.1101297e-07), ('Paederidus ruficollis', 0.99999964)]"
29,images_species/Paederidus ruficollis/Paederidus ruficollis_26.jpg,Paederidus ruficollis,Paederidus ruficollis,"[('Paederus fuscipes', 1.4880867e-06), ('Philonthus cognatus', 4.4527034e-05), ('Paederidus ruficollis', 0.9999504)]"
30,images_species/Paederidus ruficollis/Paederidus ruficollis_27.jpg,Paederidus ruficollis,Paederidus ruficollis,"[('Philonthus nitidicollis', 4.4490482e-09), ('Paederus littoralis', 1.12791945e-07), ('Paederidus ruficollis', 0.9999999)]"
31,images_species/Paederidus ruficollis/Paederidus ruficollis_28.jpg,Paederidus ruficollis,Paederidus ruficollis,"[('Philonthus punctus', 2.5458041e-06), ('Ocypus ophthalmicus', 3.2388857e-06), ('Paederidus ruficollis', 0.99998903)]"
32,images_species/Paederidus ruficollis/Paederidus ruficollis_29.jpg,Paederidus ruficollis,Paederidus ruficollis,"[('Euryporus picipes', 3.071357e-08), ('Paederus littoralis', 4.677404e-08), ('Paederidus ruficollis', 0.9999999)]"
