class,f1_score,precision,recall,support
Philonthus tenuicornis,0.49,0.36,0.78,27.0
Paederidus ruficollis,1.0,1.0,1.0,49.0
Philonthus splendens,0.93,0.92,0.94,35.0
Pseudomedon obscurellus,1.0,1.0,1.0,29.0
Staphylinus erythropterus,0.93,1.0,0.88,8.0
Lobrathium multipunctum,0.85,0.94,0.77,22.0
Philonthus nitidicollis,0.67,1.0,0.5,2.0
Xantholinus dvoraki,0.78,0.64,1.0,7.0
Lathrobium geminum,0.63,0.65,0.61,18.0
Paederus riparius,0.97,0.98,0.96,56.0
Heterothops praevius,0.92,0.85,1.0,11.0
Gabrius osseticus,0.8,0.83,0.77,13.0
Philonthus carbonarius,0.81,0.91,0.73,71.0
Quedius semiaeneus,0.78,0.64,1.0,9.0
Cafius xantholoma,0.99,0.98,1.0,58.0
Othius punctulatus,0.95,1.0,0.91,11.0
Heterothops binotatus,0.65,0.55,0.8,15.0
Philonthus succicola,0.59,0.73,0.5,44.0
Philonthus rectangulus,0.89,0.8,1.0,16.0
Ocypus ophthalmicus,0.8,1.0,0.67,6.0
Quedius maurorufus,0.8,0.92,0.71,17.0
Quedius suturalis,0.94,0.89,1.0,16.0
Ontholestes tessellatus,0.93,0.88,1.0,7.0
Bisnius subuliformis,0.96,0.93,1.0,13.0
Philonthus lepidus,0.88,0.85,0.92,12.0
Heterothops quadripunctulus,0.78,0.82,0.75,12.0
Philonthus addendus,0.42,0.83,0.28,18.0
Quedius auricomus,0.96,0.92,1.0,12.0
Philonthus punctus,0.86,1.0,0.75,8.0
Quedius levicollis,0.62,1.0,0.44,9.0
Ocypus olens,0.91,0.83,1.0,5.0
Ocypus aeneocephalus,1.0,1.0,1.0,9.0
Ochthephilum fracticorne,0.94,0.97,0.92,37.0
Quedius scitus,0.95,0.9,1.0,9.0
Philonthus mannerheimi,0.6,0.47,0.82,11.0
Acylophorus wagenschieberi,1.0,1.0,1.0,8.0
Astenus immacullatus,1.0,1.0,1.0,26.0
Quedius brevicornis,0.8,0.83,0.77,13.0
Quedius fuliginosus,0.9,0.87,0.93,14.0
Tetartopeus terminatus,0.91,0.93,0.89,45.0
Platydracus fulvipes,0.92,1.0,0.86,7.0
Philonthus cruentatus,0.8,0.67,1.0,8.0
Quedius scintillans,0.85,0.93,0.78,18.0
Megalinus glabratus,0.93,0.88,1.0,7.0
Heterothops niger,0.89,0.89,0.89,9.0
Quedius lateralis,0.96,1.0,0.92,12.0
Philonthus corruscus,1.0,1.0,1.0,4.0
Tasgius morsitans,1.0,1.0,1.0,9.0
Medon ripicola,0.64,0.89,0.5,16.0
Gyrohypnus punctulatus,0.5,0.86,0.35,17.0
