,Filename,Label,Prediction1,Prediction3
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus decorus', 0.0126902545), ('Philonthus succicola', 0.014354757), ('Philonthus tenuicornis', 0.9702186)]"
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 6.5958564e-05), ('Euryporus picipes', 6.9490154e-05), ('Philonthus tenuicornis', 0.9998198)]"
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.0012854948), ('Philonthus politus', 0.006981523), ('Philonthus tenuicornis', 0.9884682)]"
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 0.0013124272), ('Philonthus addendus', 0.008288106), ('Philonthus tenuicornis', 0.9899058)]"
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus marginatus', 0.0029078156), ('Euryporus picipes', 0.014721912), ('Philonthus tenuicornis', 0.9716727)]"
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 3.740521e-07), ('Philonthus succicola', 1.1873507e-06), ('Philonthus tenuicornis', 0.9999975)]"
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.00022820219), ('Philonthus addendus', 0.0024036511), ('Philonthus tenuicornis', 0.9967553)]"
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus decorus', 0.00080660987), ('Philonthus succicola', 0.015968911), ('Philonthus tenuicornis', 0.9810775)]"
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus succicola', 0.2446931), ('Philonthus addendus', 0.34544367), ('Philonthus politus', 0.39537534)]"
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.0017476385), ('Euryporus picipes', 0.0102098165), ('Philonthus tenuicornis', 0.9787693)]"
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_23.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus rectangulus', 9.240195e-06), ('Euryporus picipes', 1.8795552e-05), ('Philonthus tenuicornis', 0.99993706)]"
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_24.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus tenuicornis', 0.012242085), ('Philonthus addendus', 0.33035815), ('Philonthus politus', 0.6443293)]"
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_25.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.0021389897), ('Philonthus rectangulus', 0.0023536752), ('Philonthus tenuicornis', 0.9890693)]"
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_26.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus decorus', 0.032598138), ('Philonthus succicola', 0.058791976), ('Philonthus tenuicornis', 0.87520593)]"
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_27.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus addendus', 0.17877394), ('Philonthus tenuicornis', 0.37850162), ('Philonthus politus', 0.40095186)]"
