class,f1_score,precision,recall,support
Philonthus tenuicornis,0.92,0.92,0.92,13.0
Paederidus ruficollis,1.0,1.0,1.0,24.0
Philonthus splendens,1.0,1.0,1.0,17.0
Pseudomedon obscurellus,0.97,0.93,1.0,14.0
Staphylinus erythropterus,1.0,1.0,1.0,4.0
Lobrathium multipunctum,0.96,0.92,1.0,11.0
Philonthus nitidicollis,0.0,0.0,0.0,1.0
Xantholinus dvoraki,0.86,0.75,1.0,3.0
Lathrobium geminum,0.78,0.64,1.0,9.0
Paederus riparius,1.0,1.0,1.0,28.0
Heterothops praevius,0.8,0.8,0.8,5.0
Gabrius osseticus,1.0,1.0,1.0,6.0
Philonthus carbonarius,0.97,0.95,1.0,35.0
Quedius semiaeneus,0.86,1.0,0.75,4.0
Cafius xantholoma,1.0,1.0,1.0,29.0
Othius punctulatus,1.0,1.0,1.0,5.0
Heterothops binotatus,0.62,0.67,0.57,7.0
Philonthus succicola,0.95,0.95,0.95,22.0
Philonthus rectangulus,0.82,0.78,0.88,8.0
Ocypus ophthalmicus,1.0,1.0,1.0,3.0
Quedius maurorufus,0.88,0.88,0.88,8.0
Quedius suturalis,0.94,0.89,1.0,8.0
Ontholestes tessellatus,0.86,0.75,1.0,3.0
Bisnius subuliformis,0.92,0.86,1.0,6.0
Philonthus lepidus,1.0,1.0,1.0,6.0
Heterothops quadripunctulus,1.0,1.0,1.0,6.0
Philonthus addendus,0.82,0.88,0.78,9.0
Quedius auricomus,1.0,1.0,1.0,6.0
Philonthus punctus,0.33,0.5,0.25,4.0
Quedius levicollis,0.89,0.8,1.0,4.0
Ocypus olens,1.0,1.0,1.0,2.0
Ocypus aeneocephalus,0.73,0.57,1.0,4.0
Ochthephilum fracticorne,1.0,1.0,1.0,18.0
Quedius scitus,1.0,1.0,1.0,4.0
Philonthus mannerheimi,1.0,1.0,1.0,5.0
Acylophorus wagenschieberi,1.0,1.0,1.0,4.0
Astenus immacullatus,1.0,1.0,1.0,13.0
Quedius brevicornis,0.8,1.0,0.67,6.0
Quedius fuliginosus,0.93,0.88,1.0,7.0
Tetartopeus terminatus,0.98,0.96,1.0,22.0
Platydracus fulvipes,1.0,1.0,1.0,3.0
Philonthus cruentatus,1.0,1.0,1.0,4.0
Quedius scintillans,1.0,1.0,1.0,9.0
Megalinus glabratus,1.0,1.0,1.0,3.0
Heterothops niger,0.89,0.8,1.0,4.0
Quedius lateralis,1.0,1.0,1.0,6.0
Philonthus corruscus,1.0,1.0,1.0,2.0
Tasgius morsitans,1.0,1.0,1.0,4.0
Medon ripicola,0.93,1.0,0.88,8.0
Gyrohypnus punctulatus,0.86,1.0,0.75,8.0
Quedius cinctus,1.0,1.0,1.0,7.0
Philonthus longicornis,0.8,0.86,0.75,8.0
Astenus gracilis,0.63,0.6,0.67,9.0
Lathrobium brunnipes,0.95,0.96,0.93,29.0
Bisnius pseudoparcus,0.57,0.4,1.0,2.0
Quedius infuscatus,1.0,1.0,1.0,2.0
Quedius maurus,1.0,1.0,1.0,5.0
Quedius persimilis,0.8,1.0,0.67,6.0
Gabrius breviventer,0.84,0.73,1.0,8.0
Scopaeus minutus,0.9,0.82,1.0,9.0
Bisnius sordidus,0.94,0.96,0.92,25.0
Ocypus nitens,0.8,0.67,1.0,6.0
Tasgius melanarius,0.57,1.0,0.4,5.0
Gauropterus fulgidus,1.0,1.0,1.0,7.0
Xantholinus gallicus,0.0,0.0,0.0,1.0
Gabrius nigritulus,0.0,0.0,0.0,13.0
Philonthus marginatus,1.0,1.0,1.0,16.0
Philonthus rubripennis,1.0,1.0,1.0,8.0
Lathrobium fulvipenne,0.96,0.96,0.96,24.0
Sunius bicolor,0.95,0.9,1.0,9.0
Tasgius globulifer,0.57,0.4,1.0,2.0
Astenus procerus,0.92,1.0,0.86,7.0
Gabrius appendiculatus,0.71,0.55,1.0,6.0
Philonthus rufipes,0.0,0.0,0.0,6.0
Quedius boops,0.67,0.5,1.0,3.0
Quedius cruentus,0.89,0.89,0.89,9.0
Velleius dilatatus,1.0,1.0,1.0,2.0
Neobisnius lathrobioides,1.0,1.0,1.0,15.0
Quedius fulvicollis,1.0,1.0,1.0,1.0
Medon brunneus,1.0,1.0,1.0,8.0
Philonthus jurgans,0.5,0.5,0.5,4.0
Scopaeus sulcicollis,0.86,1.0,0.75,8.0
Philonthus quisquiliarius,0.91,1.0,0.83,6.0
Gyrohypnus angustatus,0.89,0.8,1.0,4.0
Staphylinus caesareus,1.0,1.0,1.0,2.0
Quedius xanthopus,0.9,0.9,0.9,10.0
Lithocharis ochracea,1.0,1.0,1.0,19.0
Bisnius parcus,0.8,1.0,0.67,3.0
Philonthus binotatus,0.4,0.33,0.5,2.0
Quedius nigrocaeruleus,0.8,0.67,1.0,2.0
Pseudomedon obsoletus,1.0,1.0,1.0,6.0
Philonthus varians,0.8,1.0,0.67,6.0
Gyrohypnus atratus,0.89,1.0,0.8,5.0
Ontholestes murinus,1.0,1.0,1.0,5.0
Xantholinus laevigatus,0.67,0.67,0.67,3.0
Philonthus corvinus,0.53,0.36,1.0,4.0
Quedius semiobscurus,0.89,0.8,1.0,4.0
Heterothops stiglundbergi,1.0,1.0,1.0,1.0
Philonthus concinnus,0.73,1.0,0.57,7.0
Philonthus nigrita,1.0,1.0,1.0,5.0
Nudobius lentus,0.93,0.88,1.0,7.0
Philonthus debilis,0.91,0.83,1.0,10.0
Lithocharis nigriceps,1.0,1.0,1.0,8.0
Philonthus furcifer,0.0,0.0,0.0,4.0
Philonthus confinis,0.67,0.5,1.0,1.0
Bisnius cephalotes,0.91,0.89,0.94,17.0
Philonthus fumarius,1.0,1.0,1.0,8.0
Lathrobium rufipenne,0.96,0.92,1.0,11.0
Ocypus picipennis,0.89,1.0,0.8,5.0
Astenus lyonessius,0.81,0.92,0.73,15.0
Ocypus brunnipes,1.0,1.0,1.0,5.0
Rugilus erichsoni,0.89,1.0,0.8,15.0
Atrecus affinis,1.0,1.0,1.0,4.0
Bisnius nitidulus,0.96,1.0,0.93,14.0
Scopaeus laevigatus,1.0,1.0,1.0,1.0
Philonthus parvicornis,0.75,0.75,0.75,4.0
Philonthus politus,0.98,0.96,1.0,25.0
Othius angustus,0.67,0.83,0.56,9.0
Philonthus ventralis,0.89,1.0,0.8,5.0
Heterothops minutus,0.86,0.75,1.0,3.0
Philonthus micans,0.8,1.0,0.67,9.0
Quedius nitipennis,0.77,1.0,0.62,8.0
Acylophorus glaberrimus,1.0,1.0,1.0,6.0
Medon apicalis,0.92,0.86,1.0,6.0
Leptacinus formicetorum,0.8,0.67,1.0,4.0
Gyrohypnus fracticornis,0.8,0.75,0.86,7.0
Gabrius keysianus,0.67,1.0,0.5,4.0
Tetartopeus quadratus,0.97,1.0,0.94,17.0
Philonthus salinus,0.92,0.86,1.0,6.0
Philonthus albipes,0.93,0.93,0.93,15.0
Leptacinus intermedius,0.86,0.75,1.0,3.0
Staphylinus dimidiaticornis,1.0,1.0,1.0,2.0
Euryporus picipes,1.0,1.0,1.0,4.0
Philonthus nitidus,1.0,1.0,1.0,16.0
Quedius boopoides,0.75,0.6,1.0,3.0
