,Filename,Label,Prediction1,Prediction3
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.00046662154), ('Philonthus addendus', 0.0010565621), ('Philonthus tenuicornis', 0.9980445)]"
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.02299509), ('Philonthus succicola', 0.122233145), ('Philonthus tenuicornis', 0.84910405)]"
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Bisnius puella', 0.0001004706), ('Philonthus addendus', 0.00033978268), ('Philonthus tenuicornis', 0.99949014)]"
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus carbonarius', 0.00031995942), ('Philonthus addendus', 0.045903943), ('Philonthus tenuicornis', 0.9534418)]"
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus rufipes', 0.00012776873), ('Philonthus carbonarius', 0.006262844), ('Philonthus tenuicornis', 0.9935694)]"
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 4.4080743e-08), ('Bisnius puella', 1.3830474e-07), ('Philonthus tenuicornis', 0.99999976)]"
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 1.3158764e-06), ('Philonthus addendus', 1.886869e-05), ('Philonthus tenuicornis', 0.9999784)]"
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus rectangulus', 9.228446e-06), ('Bisnius puella', 0.0002621043), ('Philonthus tenuicornis', 0.9996958)]"
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 0.00150079), ('Philonthus addendus', 0.09030087), ('Philonthus tenuicornis', 0.9071783)]"
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Bisnius puella', 0.010151715), ('Philonthus succicola', 0.03153518), ('Philonthus tenuicornis', 0.9475995)]"
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_23.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 6.772342e-08), ('Philonthus ebeninus', 1.4908468e-07), ('Philonthus tenuicornis', 0.99999964)]"
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_24.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus carbonarius', 0.0008776492), ('Philonthus addendus', 0.4363591), ('Philonthus tenuicornis', 0.56246233)]"
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_25.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus ebeninus', 1.0916978e-05), ('Philonthus addendus', 1.9186735e-05), ('Philonthus tenuicornis', 0.99996424)]"
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_26.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 0.0016034878), ('Bisnius puella', 0.0023285816), ('Philonthus tenuicornis', 0.9950355)]"
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_27.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Philonthus politus', 0.0004480213), ('Philonthus tenuicornis', 0.25040126), ('Philonthus addendus', 0.748933)]"
15,images_species/Philonthus tenuicornis/Philonthus tenuicornis_28.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Bisnius puella', 0.00015050982), ('Philonthus addendus', 0.004958963), ('Philonthus tenuicornis', 0.99479705)]"
16,images_species/Philonthus tenuicornis/Philonthus tenuicornis_29.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus rufipes', 1.5477237e-07), ('Philonthus addendus', 2.0434337e-07), ('Philonthus tenuicornis', 0.9999993)]"
17,images_species/Philonthus tenuicornis/Philonthus tenuicornis_30.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus atratus', 0.0019518178), ('Philonthus succicola', 0.002968601), ('Philonthus tenuicornis', 0.99422556)]"
18,images_species/Philonthus tenuicornis/Philonthus tenuicornis_31.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Bisnius puella', 2.0244735e-09), ('Philonthus addendus', 5.1712175e-07), ('Philonthus tenuicornis', 0.9999995)]"
19,images_species/Philonthus tenuicornis/Philonthus tenuicornis_32.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus atratus', 5.8010196e-06), ('Philonthus addendus', 0.00021053024), ('Philonthus tenuicornis', 0.99978083)]"
20,images_species/Philonthus tenuicornis/Philonthus tenuicornis_33.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 1.223497e-05), ('Philonthus atratus', 1.4240144e-05), ('Philonthus tenuicornis', 0.99996495)]"
21,images_species/Philonthus tenuicornis/Philonthus tenuicornis_34.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus politus', 0.0031824687), ('Philonthus tenuicornis', 0.013254839), ('Philonthus succicola', 0.983185)]"
22,images_species/Philonthus tenuicornis/Philonthus tenuicornis_35.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 6.4186007e-10), ('Bisnius puella', 2.2813161e-08), ('Philonthus tenuicornis', 1.0)]"
