class,f1_score,precision,recall,support
Philonthus tenuicornis,0.0,0.0,0.0,27.0
Paederidus ruficollis,0.0,0.0,0.0,48.0
Philonthus splendens,0.0,0.0,0.0,34.0
Pseudomedon obscurellus,0.0,0.0,0.0,29.0
Staphylinus erythropterus,0.0,0.0,0.0,7.0
Lobrathium multipunctum,0.0,0.0,0.0,22.0
Philonthus nitidicollis,0.0,0.0,0.0,2.0
Xantholinus dvoraki,0.0,0.0,0.0,7.0
Lathrobium geminum,0.0,0.0,0.0,17.0
Paederus riparius,0.0,0.0,0.0,55.0
Heterothops praevius,0.0,0.0,0.0,11.0
Gabrius osseticus,0.0,0.0,0.0,12.0
Philonthus carbonarius,0.0,0.0,0.0,71.0
Quedius semiaeneus,0.0,0.0,0.0,9.0
Cafius xantholoma,0.0,0.0,0.0,58.0
Othius punctulatus,0.0,0.0,0.0,11.0
Heterothops binotatus,0.0,0.0,0.0,15.0
Philonthus succicola,0.0,0.0,0.0,44.0
Philonthus rectangulus,0.0,0.0,0.0,16.0
Ocypus ophthalmicus,0.0,0.0,0.0,6.0
Quedius maurorufus,0.0,0.0,0.0,17.0
Quedius suturalis,0.0,0.0,0.0,15.0
Ontholestes tessellatus,0.0,0.0,0.0,7.0
Bisnius subuliformis,0.0,0.0,0.0,13.0
Philonthus lepidus,0.0,0.0,0.0,12.0
Heterothops quadripunctulus,0.0,0.0,0.0,12.0
Philonthus addendus,0.0,0.0,0.0,17.0
Quedius auricomus,0.0,0.0,0.0,12.0
Philonthus punctus,0.0,0.0,0.0,8.0
Quedius levicollis,0.0,0.0,0.0,9.0
Ocypus olens,0.0,0.0,0.0,5.0
Ocypus aeneocephalus,0.0,0.0,0.0,9.0
Ochthephilum fracticorne,0.0,0.0,0.0,37.0
Quedius scitus,0.0,0.0,0.0,9.0
Philonthus mannerheimi,0.0,0.0,0.0,11.0
Acylophorus wagenschieberi,0.0,0.0,0.0,8.0
Astenus immacullatus,0.0,0.0,0.0,26.0
Quedius brevicornis,0.0,0.0,0.0,13.0
Quedius fuliginosus,0.06,0.03,0.93,14.0
Tetartopeus terminatus,0.0,0.0,0.0,44.0
Platydracus fulvipes,0.0,0.0,0.0,7.0
Philonthus cruentatus,0.0,0.0,0.0,8.0
Quedius scintillans,0.0,0.0,0.0,18.0
Megalinus glabratus,0.0,0.0,0.0,7.0
Heterothops niger,0.0,0.0,0.0,9.0
Quedius lateralis,0.0,0.0,0.0,12.0
Philonthus corruscus,0.0,0.0,0.0,4.0
Tasgius morsitans,0.0,0.0,0.0,9.0
Medon ripicola,0.0,0.0,0.0,16.0
Gyrohypnus punctulatus,0.0,0.0,0.0,16.0
Quedius cinctus,0.0,0.0,0.0,14.0
Philonthus longicornis,0.0,0.0,0.0,16.0
Astenus gracilis,0.0,0.0,0.0,18.0
Lathrobium brunnipes,0.0,0.0,0.0,57.0
Bisnius pseudoparcus,0.0,0.0,0.0,5.0
Quedius infuscatus,0.0,0.0,0.0,3.0
Quedius maurus,0.0,0.0,0.0,10.0
Quedius persimilis,0.0,0.0,0.0,11.0
Gabrius breviventer,0.0,0.0,0.0,17.0
Scopaeus minutus,0.0,0.0,0.0,19.0
Bisnius sordidus,0.0,0.0,0.0,50.0
Ocypus nitens,0.0,0.0,0.0,13.0
Tasgius melanarius,0.0,0.0,0.0,11.0
Gauropterus fulgidus,0.0,0.0,0.0,14.0
Xantholinus gallicus,0.0,0.0,0.0,2.0
Gabrius nigritulus,0.0,0.0,0.0,25.0
Philonthus marginatus,0.0,0.0,0.0,32.0
Philonthus rubripennis,0.0,0.0,0.0,16.0
Lathrobium fulvipenne,0.0,0.0,0.0,48.0
Sunius bicolor,0.0,0.0,0.0,18.0
Tasgius globulifer,0.0,0.0,0.0,5.0
Astenus procerus,0.0,0.0,0.0,15.0
Gabrius appendiculatus,0.0,0.0,0.0,12.0
Philonthus rufipes,0.0,0.0,0.0,12.0
Quedius boops,0.0,0.0,0.0,7.0
Quedius cruentus,0.0,0.0,0.0,19.0
Velleius dilatatus,0.0,0.0,0.0,5.0
Neobisnius lathrobioides,0.0,0.0,0.0,30.0
Quedius fulvicollis,0.0,0.0,0.0,2.0
Medon brunneus,0.0,0.0,0.0,16.0
Philonthus jurgans,0.0,0.0,0.0,7.0
Scopaeus sulcicollis,0.0,0.0,0.0,17.0
Philonthus quisquiliarius,0.0,0.0,0.0,13.0
Gyrohypnus angustatus,0.0,0.0,0.0,9.0
Staphylinus caesareus,0.0,0.0,0.0,5.0
Quedius xanthopus,0.0,0.0,0.0,20.0
Lithocharis ochracea,0.0,0.0,0.0,38.0
Bisnius parcus,0.0,0.0,0.0,7.0
Philonthus binotatus,0.0,0.0,0.0,4.0
Quedius nigrocaeruleus,0.0,0.0,0.0,3.0
Pseudomedon obsoletus,0.0,0.0,0.0,12.0
Philonthus varians,0.0,0.0,0.0,13.0
Gyrohypnus atratus,0.0,0.0,0.0,10.0
Ontholestes murinus,0.0,0.0,0.0,11.0
Xantholinus laevigatus,0.0,0.0,0.0,6.0
Philonthus corvinus,0.0,0.0,0.0,7.0
Quedius semiobscurus,0.0,0.0,0.0,8.0
Heterothops stiglundbergi,0.0,0.0,0.0,3.0
Philonthus concinnus,0.0,0.0,0.0,14.0
Philonthus nigrita,0.0,0.0,0.0,11.0
Nudobius lentus,0.0,0.0,0.0,14.0
Philonthus debilis,0.0,0.0,0.0,19.0
Lithocharis nigriceps,0.0,0.0,0.0,16.0
Philonthus furcifer,0.0,0.0,0.0,7.0
Philonthus confinis,0.0,0.0,0.0,3.0
Bisnius cephalotes,0.0,0.0,0.0,34.0
Philonthus fumarius,0.0,0.0,0.0,16.0
Lathrobium rufipenne,0.0,0.0,0.0,22.0
Ocypus picipennis,0.0,0.0,0.0,10.0
Astenus lyonessius,0.0,0.0,0.0,29.0
Ocypus brunnipes,0.0,0.0,0.0,11.0
Rugilus erichsoni,0.0,0.0,0.0,31.0
Atrecus affinis,0.0,0.0,0.0,9.0
Bisnius nitidulus,0.0,0.0,0.0,28.0
Scopaeus laevigatus,0.0,0.0,0.0,2.0
Philonthus parvicornis,0.0,0.0,0.0,9.0
Philonthus politus,0.0,0.0,0.0,50.0
Othius angustus,0.0,0.0,0.0,18.0
Philonthus ventralis,0.0,0.0,0.0,11.0
Heterothops minutus,0.0,0.0,0.0,6.0
Philonthus micans,0.0,0.0,0.0,18.0
Quedius nitipennis,0.0,0.0,0.0,16.0
Acylophorus glaberrimus,0.0,0.0,0.0,11.0
Medon apicalis,0.0,0.0,0.0,12.0
Leptacinus formicetorum,0.0,0.0,0.0,8.0
Gyrohypnus fracticornis,0.0,0.0,0.0,15.0
Gabrius keysianus,0.0,0.0,0.0,8.0
Tetartopeus quadratus,0.0,0.0,0.0,34.0
Philonthus salinus,0.0,0.0,0.0,13.0
Philonthus albipes,0.0,0.0,0.0,30.0
Leptacinus intermedius,0.0,0.0,0.0,5.0
Staphylinus dimidiaticornis,0.0,0.0,0.0,3.0
Euryporus picipes,0.0,0.0,0.0,7.0
Philonthus nitidus,0.0,0.0,0.0,32.0
Quedius boopoides,0.0,0.0,0.0,6.0
Tasgius ater,0.0,0.0,0.0,7.0
Leptacinus batychrus,0.0,0.0,0.0,22.0
Gabrius austriacus,0.0,0.0,0.0,5.0
Philonthus decorus,0.0,0.0,0.0,44.0
Quedius fumatus,0.0,0.0,0.0,15.0
Xantholinus linearis,0.0,0.0,0.0,12.0
Philonthus atratus,0.0,0.0,0.0,33.0
Phacophallus parumpunctatus,0.0,0.0,0.0,6.0
