predicted_genus,real_genus,filepath,correct_prediction,real_species
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_43.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_152.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_39.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_83.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_25.jpg,True,Lathrobium longulum
Scopaeus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_133.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_44.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_57.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_112.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_87.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_90.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_106.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_164.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_24.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_49.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_101.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_88.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_121.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_10.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_68.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_19.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_111.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_55.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_6.jpg,True,Lathrobium longulum
