predicted_genus,real_genus,filepath,correct_prediction,real_species
Bisnius,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_4.jpg,True,Bisnius nigriventris
Bisnius,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_0.jpg,True,Bisnius nigriventris
Bisnius,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_1.jpg,True,Bisnius nigriventris
Bisnius,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_3.jpg,True,Bisnius nigriventris
Bisnius,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_5.jpg,True,Bisnius nigriventris
Bisnius,Bisnius,../../../images/cutout_species/Bisnius nigriventris/Bisnius nigriventris_2.jpg,True,Bisnius nigriventris
Bisnius,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_0.jpg,False,Gabrius piliger
Bisnius,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_5.jpg,False,Gabrius piliger
Bisnius,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_6.jpg,False,Gabrius piliger
Bisnius,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_4.jpg,False,Gabrius piliger
Bisnius,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_2.jpg,False,Gabrius piliger
Bisnius,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_3.jpg,False,Gabrius piliger
Bisnius,Gabrius,../../../images/cutout_species/Gabrius piliger/Gabrius piliger_1.jpg,False,Gabrius piliger
Rugilus,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_1.jpg,False,Lathrobium castaneipenne
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_3.jpg,True,Lathrobium castaneipenne
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_5.jpg,True,Lathrobium castaneipenne
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_2.jpg,True,Lathrobium castaneipenne
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_0.jpg,True,Lathrobium castaneipenne
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium castaneipenne/Lathrobium castaneipenne_4.jpg,True,Lathrobium castaneipenne
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_43.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_152.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_39.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_83.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_25.jpg,True,Lathrobium longulum
Scopaeus,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_133.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_44.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_57.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_112.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_87.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_90.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_106.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_164.jpg,True,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_24.jpg,True,Lathrobium longulum
Neobisnius,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_49.jpg,False,Lathrobium longulum
Lathrobium,Lathrobium,../../../images/cutout_species/Lathrobium longulum/Lathrobium longulum_101.jpg,True,Lathrobium longulum
