,Filename,Label,Prediction1,Prediction3a,Prediction3a_prob,Prediction3b,Prediction3b_prob,Prediction3c,Prediction3c_prob
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_104.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus tenuicornis,1.2151061e-06,Paederidus ruficollis,1.3727786e-06,Heterothops quadripunctulus,0.9999968
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_109.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus addendus,3.1508694e-06,Philonthus rectangulus,3.777284e-06,Heterothops quadripunctulus,0.999985
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_118.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus mannerheimi,9.818726e-06,Ocypus aeneocephalus,5.7298534e-05,Heterothops quadripunctulus,0.99992776
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_130.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus addendus,3.0407518e-06,Philonthus rectangulus,3.0890667e-06,Heterothops quadripunctulus,0.999992
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_131.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus mannerheimi,3.0356125e-07,Ocypus aeneocephalus,4.275174e-06,Heterothops quadripunctulus,0.99999464
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_133.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus rectangulus,1.5510986e-07,Ocypus aeneocephalus,3.3920713e-07,Heterothops quadripunctulus,0.9999993
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_138.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus rectangulus,3.5174996e-06,Philonthus addendus,4.8454863e-06,Heterothops quadripunctulus,0.9999887
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus rectangulus,5.6444975e-07,Ocypus aeneocephalus,1.7433696e-06,Heterothops quadripunctulus,0.99999666
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_32.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Ocypus aeneocephalus,3.7006465e-08,Philonthus rectangulus,5.0300237e-08,Heterothops quadripunctulus,0.9999999
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_33.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus mannerheimi,8.609028e-07,Paederidus ruficollis,8.773703e-07,Heterothops quadripunctulus,0.9999963
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_43.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Paederidus ruficollis,3.8469935e-07,Philonthus mannerheimi,9.19818e-07,Heterothops quadripunctulus,0.99999785
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_46.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Paederidus ruficollis,2.0337731e-07,Ocypus aeneocephalus,1.3689788e-06,Heterothops quadripunctulus,0.99999833
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_48.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus addendus,2.0805074e-07,Philonthus rectangulus,3.383447e-07,Heterothops quadripunctulus,0.9999989
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_53.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Ocypus aeneocephalus,3.6771087e-07,Philonthus mannerheimi,5.175071e-07,Heterothops quadripunctulus,0.9999987
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_68.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus tenuicornis,2.938124e-06,Quedius fuliginosus,7.994034e-06,Heterothops quadripunctulus,0.9999851
15,images_species/Philonthus tenuicornis/Philonthus tenuicornis_69.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus rectangulus,9.2052636e-07,Philonthus addendus,1.0618306e-06,Heterothops quadripunctulus,0.99999714
16,images_species/Philonthus tenuicornis/Philonthus tenuicornis_71.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Paederidus ruficollis,1.1798293e-06,Philonthus addendus,1.2005951e-06,Heterothops quadripunctulus,0.9999962
17,images_species/Philonthus tenuicornis/Philonthus tenuicornis_73.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus rectangulus,0.00013574316,Quedius fuliginosus,0.3299588,Heterothops quadripunctulus,0.6696788
18,images_species/Philonthus tenuicornis/Philonthus tenuicornis_76.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus addendus,1.5889087e-05,Quedius fuliginosus,2.3374852e-05,Heterothops quadripunctulus,0.9999361
19,images_species/Philonthus tenuicornis/Philonthus tenuicornis_77.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Philonthus mannerheimi,3.6805492e-08,Paederidus ruficollis,9.8917944e-08,Heterothops quadripunctulus,0.99999976
20,images_species/Philonthus tenuicornis/Philonthus tenuicornis_79.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Ocypus ophthalmicus,9.846236e-07,Philonthus tenuicornis,1.5217068e-06,Heterothops quadripunctulus,0.9999949
21,images_species/Philonthus tenuicornis/Philonthus tenuicornis_81.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Paederidus ruficollis,4.141494e-06,Philonthus addendus,1.0312786e-05,Heterothops quadripunctulus,0.99998105
22,images_species/Philonthus tenuicornis/Philonthus tenuicornis_83.jpg,Philonthus tenuicornis,Heterothops quadripunctulus,Ocypus aeneocephalus,2.6946766e-06,Quedius fuliginosus,3.6936615e-06,Heterothops quadripunctulus,0.9999845
