,Filename,Label,Prediction1,Prediction3a,Prediction3a_prob,Prediction3b,Prediction3b_prob,Prediction3c,Prediction3c_prob
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_104.jpg,Philonthus tenuicornis,Philonthus addendus,Philonthus politus,0.15114972,Philonthus tenuicornis,0.17347755,Philonthus addendus,0.55862737
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_109.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Quedius levicollis,1.2898748e-07,Philonthus succicola,1.8731214e-07,Philonthus tenuicornis,0.99999964
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_118.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus succicola,0.016790655,Philonthus politus,0.19953084,Philonthus tenuicornis,0.77342016
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_130.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus furcifer,0.0013190873,Philonthus punctus,0.0028009336,Philonthus tenuicornis,0.9929254
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_131.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus succicola,0.00013777571,Philonthus politus,0.0052164514,Philonthus tenuicornis,0.9945879
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_133.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus addendus,0.01966891,Philonthus carbonarius,0.090594925,Philonthus tenuicornis,0.8876226
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_138.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus ebeninus,0.00031366872,Bisnius puella,0.026632197,Philonthus tenuicornis,0.97259516
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,0.00014002976,Bisnius puella,0.0014452144,Philonthus tenuicornis,0.9981694
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_32.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus carbonarius,2.7153928e-06,Philonthus addendus,2.7242063e-06,Philonthus tenuicornis,0.99999344
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_33.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus splendens,0.049695566,Philonthus succicola,0.067915745,Philonthus tenuicornis,0.8763035
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_43.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus succicola,0.0033886402,Philonthus splendens,0.0047442196,Philonthus tenuicornis,0.98925763
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_46.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus punctus,9.333007e-05,Philonthus succicola,0.0028203556,Philonthus tenuicornis,0.99685234
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_48.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus carbonarius,2.815627e-07,Philonthus addendus,3.2032356e-06,Philonthus tenuicornis,0.99999607
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_53.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus rectangulus,9.243083e-06,Philonthus addendus,0.0003787653,Philonthus tenuicornis,0.999605
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_68.jpg,Philonthus tenuicornis,Philonthus addendus,Philonthus ebeninus,0.19675983,Philonthus carbonarius,0.3463642,Philonthus addendus,0.35418493
15,images_species/Philonthus tenuicornis/Philonthus tenuicornis_69.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus rufipes,1.8568882e-07,Bisnius puella,1.9268847e-07,Philonthus tenuicornis,0.9999995
16,images_species/Philonthus tenuicornis/Philonthus tenuicornis_71.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,4.356449e-05,Philonthus succicola,9.371135e-05,Philonthus tenuicornis,0.9998286
17,images_species/Philonthus tenuicornis/Philonthus tenuicornis_73.jpg,Philonthus tenuicornis,Philonthus mannerheimi,Philonthus politus,0.03624721,Philonthus addendus,0.12644294,Philonthus mannerheimi,0.7879573
18,images_species/Philonthus tenuicornis/Philonthus tenuicornis_76.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus rufipes,2.899519e-09,Quedius levicollis,2.8292566e-06,Philonthus tenuicornis,0.99999714
19,images_species/Philonthus tenuicornis/Philonthus tenuicornis_77.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,5.1415813e-05,Philonthus succicola,0.0013711047,Philonthus tenuicornis,0.99856275
20,images_species/Philonthus tenuicornis/Philonthus tenuicornis_79.jpg,Philonthus tenuicornis,Philonthus politus,Philonthus tenuicornis,0.00013418215,Philonthus succicola,0.0006759671,Philonthus politus,0.9989485
21,images_species/Philonthus tenuicornis/Philonthus tenuicornis_81.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus addendus,9.4887815e-07,Philonthus splendens,1.07355745e-05,Philonthus tenuicornis,0.999987
22,images_species/Philonthus tenuicornis/Philonthus tenuicornis_83.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus punctus,1.7893211e-05,Bisnius puella,2.6530892e-05,Philonthus tenuicornis,0.999941
23,images_species/Philonthus tenuicornis/Philonthus tenuicornis_87.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Acylophorus wagenschieberi,4.152123e-08,Philonthus carbonarius,8.510461e-08,Philonthus tenuicornis,0.9999999
24,images_species/Philonthus tenuicornis/Philonthus tenuicornis_90.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus addendus,4.614934e-05,Philonthus splendens,0.00010613007,Philonthus tenuicornis,0.9998344
25,images_species/Philonthus tenuicornis/Philonthus tenuicornis_93.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus punctus,0.0021240644,Philonthus addendus,0.003371893,Philonthus tenuicornis,0.9943045
26,images_species/Philonthus tenuicornis/Philonthus tenuicornis_98.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus succicola,4.3443876e-08,Philonthus politus,3.417269e-07,Philonthus tenuicornis,0.99999964
