class,f1_score,precision,recall,support
Philonthus fumarius,0.9,0.93,0.88,16.0
Philonthus addendus,0.27,0.25,0.29,17.0
Philonthus albipes,0.78,0.69,0.9,30.0
Philonthus alpinus,0.0,0.0,0.0,4.0
Philonthus atratus,0.6,0.63,0.58,33.0
Philonthus binotatus,0.18,0.14,0.25,4.0
Philonthus carbonarius,0.33,0.93,0.2,71.0
Philonthus cognatus,0.91,0.91,0.9,69.0
Philonthus concinnus,0.0,0.0,0.0,14.0
Philonthus confinis,0.5,1.0,0.33,3.0
Philonthus corruscus,1.0,1.0,1.0,4.0
Philonthus corvinus,0.0,0.0,0.0,7.0
Philonthus cruentatus,0.47,0.31,1.0,8.0
Philonthus debilis,0.51,0.56,0.47,19.0
Philonthus decorus,0.8,0.89,0.73,44.0
Philonthus discoideus,0.7,0.54,1.0,19.0
Philonthus ebeninus,0.0,0.0,0.0,6.0
Philonthus furcifer,0.22,0.5,0.14,7.0
Philonthus intermedius,0.77,0.83,0.71,14.0
Philonthus jurgans,0.0,0.0,0.0,7.0
Philonthus laminatus,0.65,0.5,0.91,34.0
Philonthus lepidus,0.88,0.85,0.92,12.0
Philonthus longicornis,0.12,1.0,0.06,16.0
Philonthus mannerheimi,0.43,1.0,0.27,11.0
Philonthus marginatus,0.91,0.91,0.91,32.0
Philonthus micans,0.43,1.0,0.28,18.0
Philonthus micantoides,0.5,0.4,0.67,3.0
Philonthus nigrita,0.62,1.0,0.45,11.0
Philonthus nitidicollis,0.0,0.0,0.0,2.0
Philonthus nitidus,1.0,1.0,1.0,32.0
Philonthus parvicornis,0.36,0.31,0.44,9.0
Philonthus politus,0.4,0.5,0.34,50.0
Philonthus punctus,0.22,1.0,0.12,8.0
Philonthus quisquiliarius,0.52,0.5,0.54,13.0
Philonthus rectangulus,1.0,1.0,1.0,16.0
Philonthus rubripennis,0.91,0.88,0.94,16.0
Philonthus rufipes,0.47,0.8,0.33,12.0
Philonthus salinus,0.85,0.85,0.85,13.0
Philonthus sanguinolentus,0.67,0.82,0.56,16.0
Philonthus splendens,0.54,0.37,1.0,34.0
Philonthus succicola,0.64,0.48,0.95,44.0
Philonthus tenuicornis,0.54,0.56,0.52,27.0
Philonthus varians,0.22,0.17,0.31,13.0
Philonthus ventralis,0.78,0.75,0.82,11.0
micro avg,0.63,0.63,0.63,849.0
