,Filename,Label,Prediction1,Prediction3
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_104.jpg,Philonthus tenuicornis,Philonthus mannerheimi,"[('Philonthus cognatus', 0.15843867), ('Philonthus decorus', 0.28089336), ('Philonthus mannerheimi', 0.34007764)]"
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_109.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus corvinus', 1.6999626e-05), ('Philonthus succicola', 3.0772135e-05), ('Philonthus tenuicornis', 0.99992144)]"
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_118.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus binotatus', 0.0029267985), ('Philonthus succicola', 0.27947438), ('Philonthus tenuicornis', 0.71480036)]"
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_130.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus punctus', 3.1830696e-05), ('Philonthus succicola', 7.561986e-05), ('Philonthus tenuicornis', 0.9998343)]"
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_131.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.012072996), ('Philonthus politus', 0.2944367), ('Philonthus tenuicornis', 0.6921827)]"
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_133.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 4.436981e-09), ('Philonthus corvinus', 5.6610605e-09), ('Philonthus tenuicornis', 1.0)]"
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_138.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus binotatus', 0.0006961246), ('Philonthus ebeninus', 0.0012830839), ('Philonthus tenuicornis', 0.9963911)]"
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 0.0010755038), ('Philonthus addendus', 0.013080781), ('Philonthus tenuicornis', 0.98489326)]"
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_32.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 4.807653e-08), ('Philonthus politus', 5.1311204e-08), ('Philonthus tenuicornis', 0.99999976)]"
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_33.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 0.0022276056), ('Philonthus succicola', 0.018112767), ('Philonthus tenuicornis', 0.97786194)]"
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_43.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 0.013602586), ('Philonthus succicola', 0.031888243), ('Philonthus tenuicornis', 0.9500548)]"
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_46.jpg,Philonthus tenuicornis,Philonthus succicola,"[('Philonthus nitidus', 0.0005037811), ('Philonthus tenuicornis', 0.37978268), ('Philonthus succicola', 0.618721)]"
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_48.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 1.4072096e-07), ('Philonthus addendus', 1.2706856e-06), ('Philonthus tenuicornis', 0.99999857)]"
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_53.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus politus', 6.877465e-05), ('Philonthus addendus', 0.013134743), ('Philonthus tenuicornis', 0.9867207)]"
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_68.jpg,Philonthus tenuicornis,Philonthus punctus,"[('Philonthus ebeninus', 0.0020034204), ('Philonthus addendus', 0.009617229), ('Philonthus punctus', 0.9835217)]"
15,images_species/Philonthus tenuicornis/Philonthus tenuicornis_69.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus furcifer', 1.6111455e-08), ('Philonthus rufipes', 4.655899e-08), ('Philonthus tenuicornis', 0.9999999)]"
16,images_species/Philonthus tenuicornis/Philonthus tenuicornis_71.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus addendus', 5.20235e-07), ('Philonthus succicola', 1.035278e-06), ('Philonthus tenuicornis', 0.9999975)]"
17,images_species/Philonthus tenuicornis/Philonthus tenuicornis_73.jpg,Philonthus tenuicornis,Philonthus addendus,"[('Philonthus rectangulus', 0.003107487), ('Philonthus politus', 0.025557663), ('Philonthus addendus', 0.96383923)]"
18,images_species/Philonthus tenuicornis/Philonthus tenuicornis_76.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 1.1573857e-07), ('Philonthus laminatus', 1.1667804e-07), ('Philonthus tenuicornis', 0.99999964)]"
19,images_species/Philonthus tenuicornis/Philonthus tenuicornis_77.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus succicola', 0.010259649), ('Philonthus politus', 0.023652436), ('Philonthus tenuicornis', 0.95450133)]"
20,images_species/Philonthus tenuicornis/Philonthus tenuicornis_79.jpg,Philonthus tenuicornis,Philonthus politus,"[('Philonthus tenuicornis', 0.060444925), ('Philonthus succicola', 0.38774413), ('Philonthus politus', 0.49982196)]"
