class,f1_score,precision,recall,support
Creophilus,0.95,0.9,1.0,9.0
Velleius,1.0,1.0,1.0,5.0
Megalinus,1.0,1.0,1.0,7.0
Dinothenarus,1.0,1.0,1.0,8.0
Sunius,1.0,1.0,1.0,41.0
Platydracus,1.0,1.0,1.0,21.0
Atrecus,0.88,1.0,0.79,14.0
Paederidus,1.0,1.0,1.0,48.0
Achenium,1.0,1.0,1.0,8.0
Othius,0.98,0.95,1.0,40.0
Staphylinus,1.0,1.0,1.0,15.0
Ontholestes,0.97,1.0,0.94,18.0
Tasgius,0.97,0.97,0.97,32.0
Rugilus,0.99,0.98,1.0,138.0
Gyrohypnus,1.0,1.0,1.0,50.0
Leptacinus,0.99,0.98,1.0,41.0
Neobisnius,0.99,1.0,0.97,37.0
Gabrius,0.99,1.0,0.98,111.0
Euryporus,1.0,1.0,1.0,7.0
Cafius,1.0,1.0,1.0,58.0
Scopaeus,0.99,0.97,1.0,38.0
Gauropterus,1.0,1.0,1.0,14.0
Nudobius,0.93,0.93,0.93,14.0
Lathrobium,1.0,1.0,0.99,284.0
Remus,1.0,1.0,1.0,24.0
Philonthus,0.99,0.99,1.0,849.0
Acylophorus,1.0,1.0,1.0,19.0
Erichsonius,1.0,1.0,1.0,36.0
Astenus,1.0,1.0,0.99,113.0
Ochthephilum,0.99,0.97,1.0,39.0
Medon,0.99,0.98,1.0,53.0
Bisnius,0.96,0.98,0.95,203.0
Lobrathium,0.98,0.96,1.0,22.0
Lithocharis,0.99,1.0,0.98,54.0
Ocypus,0.98,0.98,0.98,61.0
Phacophallus,0.91,1.0,0.83,6.0
Gabronthus,1.0,1.0,1.0,5.0
Heterothops,0.98,0.97,1.0,63.0
Quedius,1.0,1.0,1.0,431.0
Paederus,1.0,1.0,1.0,121.0
Tetartopeus,1.0,1.0,1.0,78.0
Xantholinus,0.98,1.0,0.96,51.0
Emus,1.0,1.0,1.0,4.0
Pseudomedon,1.0,1.0,1.0,41.0
