correct_prediction,predicted_genus,real_species,real_genus,filepath
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_43.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_152.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_39.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_83.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_25.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_133.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_44.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_57.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_112.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_87.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_90.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_106.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_164.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_24.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_49.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_101.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_88.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_121.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_10.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_68.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_19.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_111.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_55.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_6.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_132.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_114.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_54.jpg
False,Sunius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_141.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_2.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_144.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_96.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_150.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_75.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_110.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_137.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_32.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_18.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_51.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_8.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_46.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_66.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_130.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_102.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_63.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_48.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_23.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_140.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_9.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_91.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_86.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_17.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_40.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_134.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_50.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_73.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_77.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_29.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_131.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_175.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_0.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_127.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_13.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_16.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_174.jpg
False,Neobisnius,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_78.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_31.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_117.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_147.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_151.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_182.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_170.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_135.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_173.jpg
True,Lathrobium,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_119.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_171.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_59.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_7.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_183.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_67.jpg
False,Astenus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_93.jpg
False,Scopaeus,Lathrobium longulum,Lathrobium,../../../images/cutout_416_aspect_images_species/val/Lathrobium longulum/Lathrobium longulum_116.jpg
