correct_prediction,predicted_genus,real_species,real_genus,filepath
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_6.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_28.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_176.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_101.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_147.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_144.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_183.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_4.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_112.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_89.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_32.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_9.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_131.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_103.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_142.jpg
True,Philonthus,Philonthus umbratilis,Philonthus,../../../images/cutout_416_aspect_images_species/val/Philonthus umbratilis/Philonthus umbratilis_180.jpg
