,Filename,Label,Prediction1,Prediction3a,Prediction3a_prob,Prediction3b,Prediction3b_prob,Prediction3c,Prediction3c_prob
0,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_10.jpg,Creophilus,Creophilus,Dinothenarus,3.2372434e-12,Emus,7.596247e-08,Creophilus,0.9999999
1,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_14.jpg,Creophilus,Creophilus,Dinothenarus,6.218677e-14,Emus,2.5849772e-11,Creophilus,1.0
2,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_15.jpg,Creophilus,Creophilus,Dinothenarus,3.9517803e-12,Emus,9.477089e-10,Creophilus,1.0
3,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_18.jpg,Creophilus,Creophilus,Dinothenarus,6.071098e-13,Emus,7.41175e-07,Creophilus,0.9999993
4,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_34.jpg,Creophilus,Creophilus,Dinothenarus,3.2462355e-10,Emus,5.187864e-07,Creophilus,0.9999995
5,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_36.jpg,Creophilus,Creophilus,Dinothenarus,2.139435e-08,Emus,1.723778e-06,Creophilus,0.9999982
6,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_44.jpg,Creophilus,Creophilus,Velleius,1.0927015e-05,Emus,0.12172009,Creophilus,0.8782689
7,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_46.jpg,Creophilus,Creophilus,Ontholestes,1.9522984e-11,Emus,3.345452e-05,Creophilus,0.9999665
8,images_genus_shuffled_aspect_416/Creophilus/Creophilus maxillosus_6.jpg,Creophilus,Creophilus,Dinothenarus,4.6596943e-14,Emus,6.3321374e-07,Creophilus,0.9999994
9,images_genus_shuffled_aspect_416/Velleius/Velleius dilatatus_13.jpg,Velleius,Velleius,Creophilus,1.7058108e-05,Emus,0.00015356485,Velleius,0.99982625
10,images_genus_shuffled_aspect_416/Velleius/Velleius dilatatus_15.jpg,Velleius,Velleius,Creophilus,2.266732e-05,Emus,0.0012526873,Velleius,0.9987129
11,images_genus_shuffled_aspect_416/Velleius/Velleius dilatatus_25.jpg,Velleius,Velleius,Creophilus,1.070988e-05,Emus,6.721034e-05,Velleius,0.9999187
12,images_genus_shuffled_aspect_416/Velleius/Velleius dilatatus_7.jpg,Velleius,Velleius,Quedius,4.9047303e-05,Euryporus,0.00018098323,Velleius,0.9997304
13,images_genus_shuffled_aspect_416/Velleius/Velleius dilatatus_8.jpg,Velleius,Velleius,Creophilus,0.00022544959,Emus,0.044026993,Velleius,0.9557451
14,images_genus_shuffled_aspect_416/Megalinus/Megalinus glabratus_16.jpg,Megalinus,Megalinus,Platydracus,2.4814787e-07,Gauropterus,3.3108445e-06,Megalinus,0.99999607
15,images_genus_shuffled_aspect_416/Megalinus/Megalinus glabratus_18.jpg,Megalinus,Megalinus,Gauropterus,0.00019970459,Nudobius,0.0004007226,Megalinus,0.99937433
16,images_genus_shuffled_aspect_416/Megalinus/Megalinus glabratus_19.jpg,Megalinus,Megalinus,Nudobius,5.642897e-06,Gauropterus,1.8778166e-05,Megalinus,0.99997485
17,images_genus_shuffled_aspect_416/Megalinus/Megalinus glabratus_30.jpg,Megalinus,Megalinus,Xantholinus,6.534067e-06,Nudobius,7.652438e-05,Megalinus,0.9999069
18,images_genus_shuffled_aspect_416/Megalinus/Megalinus glabratus_35.jpg,Megalinus,Megalinus,Platydracus,8.3383345e-09,Gauropterus,0.00011120278,Megalinus,0.9998888
19,images_genus_shuffled_aspect_416/Megalinus/Megalinus glabratus_4.jpg,Megalinus,Megalinus,Nudobius,4.803989e-07,Gauropterus,0.00032855116,Megalinus,0.99967086
20,images_genus_shuffled_aspect_416/Megalinus/Megalinus glabratus_5.jpg,Megalinus,Megalinus,Platydracus,7.729505e-08,Gauropterus,0.020062212,Megalinus,0.9799376
21,images_genus_shuffled_aspect_416/Dinothenarus/Dinothenarus pubescens_13.jpg,Dinothenarus,Dinothenarus,Ontholestes,2.3730267e-05,Creophilus,3.0943433e-05,Dinothenarus,0.9999453
22,images_genus_shuffled_aspect_416/Dinothenarus/Dinothenarus pubescens_18.jpg,Dinothenarus,Dinothenarus,Creophilus,1.4433747e-06,Ontholestes,6.3874695e-06,Dinothenarus,0.99999213
23,images_genus_shuffled_aspect_416/Dinothenarus/Dinothenarus pubescens_22.jpg,Dinothenarus,Dinothenarus,Creophilus,1.3314143e-05,Ontholestes,0.00024892378,Dinothenarus,0.9997377
24,images_genus_shuffled_aspect_416/Dinothenarus/Dinothenarus pubescens_25.jpg,Dinothenarus,Dinothenarus,Creophilus,5.079561e-05,Ontholestes,0.00026728492,Dinothenarus,0.99968195
25,images_genus_shuffled_aspect_416/Dinothenarus/Dinothenarus pubescens_29.jpg,Dinothenarus,Dinothenarus,Creophilus,2.443633e-06,Ontholestes,0.00051333394,Dinothenarus,0.9994842
26,images_genus_shuffled_aspect_416/Dinothenarus/Dinothenarus pubescens_30.jpg,Dinothenarus,Dinothenarus,Ontholestes,1.5079272e-05,Creophilus,2.2496826e-05,Dinothenarus,0.99996245
27,images_genus_shuffled_aspect_416/Dinothenarus/Dinothenarus pubescens_34.jpg,Dinothenarus,Dinothenarus,Creophilus,0.0009709716,Ontholestes,0.021606518,Dinothenarus,0.9774226
