class,f1_score,precision,recall,support
Philonthus tenuicornis,0.84,0.8,0.89,27.0
Paederidus ruficollis,1.0,1.0,1.0,48.0
Philonthus splendens,0.99,1.0,0.97,34.0
Pseudomedon obscurellus,0.98,0.97,1.0,29.0
Staphylinus erythropterus,0.92,1.0,0.86,7.0
Lobrathium multipunctum,0.95,0.95,0.95,22.0
Philonthus nitidicollis,1.0,1.0,1.0,2.0
Xantholinus dvoraki,1.0,1.0,1.0,7.0
Lathrobium geminum,0.8,0.92,0.71,17.0
Paederus riparius,1.0,1.0,1.0,55.0
Heterothops praevius,0.8,0.89,0.73,11.0
Gabrius osseticus,0.96,0.92,1.0,12.0
Philonthus carbonarius,0.87,0.87,0.87,71.0
Quedius semiaeneus,0.8,1.0,0.67,9.0
Cafius xantholoma,0.99,1.0,0.98,58.0
Othius punctulatus,1.0,1.0,1.0,11.0
Heterothops binotatus,0.71,0.63,0.8,15.0
Philonthus succicola,0.86,0.83,0.89,44.0
Philonthus rectangulus,1.0,1.0,1.0,16.0
Ocypus ophthalmicus,1.0,1.0,1.0,6.0
Quedius maurorufus,0.86,0.83,0.88,17.0
Quedius suturalis,0.81,0.92,0.73,15.0
Ontholestes tessellatus,1.0,1.0,1.0,7.0
Bisnius subuliformis,1.0,1.0,1.0,13.0
Philonthus lepidus,0.96,0.92,1.0,12.0
Heterothops quadripunctulus,0.92,0.86,1.0,12.0
Philonthus addendus,0.68,0.58,0.82,17.0
Quedius auricomus,0.96,0.92,1.0,12.0
Philonthus punctus,1.0,1.0,1.0,8.0
Quedius levicollis,1.0,1.0,1.0,9.0
Ocypus olens,1.0,1.0,1.0,5.0
Ocypus aeneocephalus,1.0,1.0,1.0,9.0
Ochthephilum fracticorne,0.99,0.97,1.0,37.0
Quedius scitus,0.9,0.82,1.0,9.0
Philonthus mannerheimi,0.9,1.0,0.82,11.0
Acylophorus wagenschieberi,1.0,1.0,1.0,8.0
Astenus immacullatus,0.92,0.92,0.92,26.0
Quedius brevicornis,0.88,0.92,0.85,13.0
Quedius fuliginosus,0.83,0.8,0.86,14.0
Tetartopeus terminatus,0.97,0.98,0.95,44.0
Platydracus fulvipes,1.0,1.0,1.0,7.0
