,Filename,Label,Prediction1,Prediction3a,Prediction3a_prob,Prediction3b,Prediction3b_prob,Prediction3c,Prediction3c_prob
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_131.jpg,Philonthus tenuicornis,Philonthus politus,Philonthus punctus,0.008296298,Philonthus tenuicornis,0.4266648,Philonthus politus,0.56320727
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_68.jpg,Philonthus tenuicornis,Philonthus addendus,Philonthus atratus,0.021244466,Philonthus carbonarius,0.14387488,Philonthus addendus,0.81320137
17,images_species/Philonthus tenuicornis/Philonthus tenuicornis_73.jpg,Philonthus tenuicornis,Philonthus addendus,Philonthus tenuicornis,0.07267678,Philonthus punctus,0.096248955,Philonthus addendus,0.7438235
102,images_species/Philonthus splendens/Philonthus splendens_75.jpg,Philonthus splendens,Philonthus tenuicornis,Philonthus addendus,0.0063061459999999995,Philonthus succicola,0.00795997,Philonthus tenuicornis,0.98177105
139,images_species/Staphylinus erythropterus/Staphylinus erythropterus_28.jpg,Staphylinus erythropterus,Platydracus stercorarius,Staphylinus caesareus,0.09130075,Staphylinus erythropterus,0.21456754,Platydracus stercorarius,0.6242131
165,images_species/Lobrathium multipunctum/Lobrathium multipunctum_95.jpg,Lobrathium multipunctum,Lathrobium pallidum,Lathrobium dilutum,0.08077233,Lobrathium multipunctum,0.40949768,Lathrobium pallidum,0.48584738
179,images_species/Lathrobium geminum/Lathrobium geminum_29.jpg,Lathrobium geminum,Lathrobium fulvipenne,Lathrobium geminum,0.0046318406,Othius punctulatus,0.006567759,Lathrobium fulvipenne,0.9820806000000001
180,images_species/Lathrobium geminum/Lathrobium geminum_37.jpg,Lathrobium geminum,Lathrobium fulvipenne,Othius punctulatus,0.10849980000000001,Lathrobium geminum,0.20522209,Lathrobium fulvipenne,0.67774564
183,images_species/Lathrobium geminum/Lathrobium geminum_43.jpg,Lathrobium geminum,Lathrobium elongatum,Lathrobium fulvipenne,0.00027365854,Lathrobium geminum,0.16526766,Lathrobium elongatum,0.8343775
185,images_species/Lathrobium geminum/Lathrobium geminum_45.jpg,Lathrobium geminum,Lathrobium fulvipenne,Lathrobium geminum,0.004005608,Othius punctulatus,0.004618533,Lathrobium fulvipenne,0.99132675
189,images_species/Lathrobium geminum/Lathrobium geminum_66.jpg,Lathrobium geminum,Lathrobium elongatum,Lathrobium brunnipes,4.5355428e-05,Lathrobium geminum,0.00014040591,Lathrobium elongatum,0.99971646
250,images_species/Heterothops praevius/Heterothops praevius_33.jpg,Heterothops praevius,Heterothops minutus,Heterothops praevius,0.013845072,Heterothops binotatus,0.1799145,Heterothops minutus,0.7931556
252,images_species/Heterothops praevius/Heterothops praevius_38.jpg,Heterothops praevius,Heterothops binotatus,Heterothops minutus,0.19735414,Heterothops praevius,0.32782704,Heterothops binotatus,0.43142053
257,images_species/Heterothops praevius/Heterothops praevius_51.jpg,Heterothops praevius,Heterothops stiglundbergi,Quedius boops,3.1770447999999997e-06,Heterothops praevius,0.1592199,Heterothops stiglundbergi,0.8407734
274,images_species/Philonthus carbonarius/Philonthus carbonarius_119.jpg,Philonthus carbonarius,Philonthus concinnus,Philonthus ebeninus,0.020834632,Philonthus carbonarius,0.24067383,Philonthus concinnus,0.7339553000000001
275,images_species/Philonthus carbonarius/Philonthus carbonarius_122.jpg,Philonthus carbonarius,Philonthus parvicornis,Philonthus jurgans,0.10056317599999999,Philonthus varians,0.30392107,Philonthus parvicornis,0.5920350000000001
288,images_species/Philonthus carbonarius/Philonthus carbonarius_169.jpg,Philonthus carbonarius,Philonthus longicornis,Philonthus varians,0.02847875,Philonthus carbonarius,0.19344929,Philonthus longicornis,0.77059525
316,images_species/Philonthus carbonarius/Philonthus carbonarius_316.jpg,Philonthus carbonarius,Philonthus quisquiliarius,Philonthus albipes,0.011779406000000001,Philonthus carbonarius,0.39671594,Philonthus quisquiliarius,0.5507234999999999
317,images_species/Philonthus carbonarius/Philonthus carbonarius_320.jpg,Philonthus carbonarius,Philonthus longicornis,Philonthus lepidus,0.017657617,Philonthus carbonarius,0.35274035,Philonthus longicornis,0.6195706
322,images_species/Philonthus carbonarius/Philonthus carbonarius_333.jpg,Philonthus carbonarius,Philonthus addendus,Philonthus carbonarius,0.0029556039,Philonthus tenuicornis,0.21963136,Philonthus addendus,0.77342546
323,images_species/Philonthus carbonarius/Philonthus carbonarius_339.jpg,Philonthus carbonarius,Philonthus parvicornis,Philonthus longicornis,0.0018362313000000001,Philonthus jurgans,0.03465851,Philonthus parvicornis,0.9615598
324,images_species/Philonthus carbonarius/Philonthus carbonarius_342.jpg,Philonthus carbonarius,Philonthus tenuicornis,Philonthus addendus,0.13133213,Philonthus carbonarius,0.28338704,Philonthus tenuicornis,0.5631418
332,images_species/Philonthus carbonarius/Philonthus carbonarius_55.jpg,Philonthus carbonarius,Philonthus albipes,Quedius nitipennis,0.00059557497,Philonthus quisquiliarius,0.008717716,Philonthus albipes,0.9901452
343,images_species/Quedius semiaeneus/Quedius semiaeneus_16.jpg,Quedius semiaeneus,Quedius semiobscurus,Quedius semiaeneus,0.011189735,Quedius nitipennis,0.47927535,Quedius semiobscurus,0.50906134
345,images_species/Quedius semiaeneus/Quedius semiaeneus_20.jpg,Quedius semiaeneus,Quedius nitipennis,Quedius persimilis,0.0096231215,Quedius semiaeneus,0.046900622999999995,Quedius nitipennis,0.9367851
348,images_species/Quedius semiaeneus/Quedius semiaeneus_41.jpg,Quedius semiaeneus,Quedius semiobscurus,Quedius fulvicollis,0.002200542,Quedius semiaeneus,0.0044750855,Quedius semiobscurus,0.9932399
397,images_species/Cafius xantholoma/Cafius xantholoma_293.jpg,Cafius xantholoma,Remus sericeus,Philonthus furcifer,6.509621499999999e-06,Cafius xantholoma,0.22726236,Remus sericeus,0.77273065
431,images_species/Heterothops binotatus/Heterothops binotatus_57.jpg,Heterothops binotatus,Heterothops dissimilis,Heterothops quadripunctulus,0.0204342,Heterothops binotatus,0.20687944,Heterothops dissimilis,0.7672734999999999
432,images_species/Heterothops binotatus/Heterothops binotatus_69.jpg,Heterothops binotatus,Heterothops dissimilis,Heterothops minutus,0.003803877,Heterothops binotatus,0.055301156,Heterothops dissimilis,0.93721074
434,images_species/Heterothops binotatus/Heterothops binotatus_77.jpg,Heterothops binotatus,Heterothops dissimilis,Gabronthus thermarum,0.027500331,Heterothops binotatus,0.06497771,Heterothops dissimilis,0.9062863999999999
435,images_species/Philonthus succicola/Philonthus succicola_102.jpg,Philonthus succicola,Philonthus tenuicornis,Quedius maurus,0.011900371000000002,Philonthus laminatus,0.019367857,Philonthus tenuicornis,0.94490385
