,Filename,Label,Prediction1,Prediction3a,Prediction3a_prob,Prediction3b,Prediction3b_prob,Prediction3c,Prediction3c_prob
0,images_species/Philonthus tenuicornis/Philonthus tenuicornis_104.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus mannerheimi,0.0037415584,Philonthus addendus,0.38456047,Philonthus tenuicornis,0.6052721
1,images_species/Philonthus tenuicornis/Philonthus tenuicornis_109.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus addendus,5.0451126e-06,Bisnius puella,5.4504962e-06,Philonthus tenuicornis,0.9999881
2,images_species/Philonthus tenuicornis/Philonthus tenuicornis_118.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,0.017823856,Philonthus succicola,0.13789816,Philonthus tenuicornis,0.81528115
3,images_species/Philonthus tenuicornis/Philonthus tenuicornis_130.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus punctus,0.019994901,Philonthus binotatus,0.3170754,Philonthus tenuicornis,0.6034648
4,images_species/Philonthus tenuicornis/Philonthus tenuicornis_131.jpg,Philonthus tenuicornis,Philonthus politus,Philonthus punctus,0.008296298,Philonthus tenuicornis,0.4266648,Philonthus politus,0.56320727
5,images_species/Philonthus tenuicornis/Philonthus tenuicornis_133.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus carbonarius,3.4906338e-05,Bisnius puella,0.00013866712,Philonthus tenuicornis,0.9997845
6,images_species/Philonthus tenuicornis/Philonthus tenuicornis_138.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Bisnius puella,0.0023839448,Philonthus addendus,0.0038944846,Philonthus tenuicornis,0.9863675
7,images_species/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus decorus,8.475982e-05,Bisnius puella,0.000109119675,Philonthus tenuicornis,0.9997327
8,images_species/Philonthus tenuicornis/Philonthus tenuicornis_32.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus atratus,0.0032282455,Philonthus addendus,0.02251583,Philonthus tenuicornis,0.9679091
9,images_species/Philonthus tenuicornis/Philonthus tenuicornis_33.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus atratus,0.0020304292,Philonthus succicola,0.0049691447,Philonthus tenuicornis,0.992281
10,images_species/Philonthus tenuicornis/Philonthus tenuicornis_43.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,0.0003547345,Philonthus succicola,0.0045996574,Philonthus tenuicornis,0.9949673
11,images_species/Philonthus tenuicornis/Philonthus tenuicornis_46.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,0.0039245053,Philonthus succicola,0.44062924,Philonthus tenuicornis,0.5441128
12,images_species/Philonthus tenuicornis/Philonthus tenuicornis_48.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus succicola,0.00013535509,Philonthus addendus,0.003995949,Philonthus tenuicornis,0.9958469
13,images_species/Philonthus tenuicornis/Philonthus tenuicornis_53.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus laminatus,0.00078129617,Philonthus addendus,0.0033446678,Philonthus tenuicornis,0.9957396
14,images_species/Philonthus tenuicornis/Philonthus tenuicornis_68.jpg,Philonthus tenuicornis,Philonthus addendus,Philonthus atratus,0.021244466,Philonthus carbonarius,0.14387488,Philonthus addendus,0.81320137
15,images_species/Philonthus tenuicornis/Philonthus tenuicornis_69.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus punctus,1.3430364e-05,Philonthus rufipes,2.0450289e-05,Philonthus tenuicornis,0.9999527
16,images_species/Philonthus tenuicornis/Philonthus tenuicornis_71.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus addendus,0.00018606013,Philonthus succicola,0.004965753,Philonthus tenuicornis,0.99483275
17,images_species/Philonthus tenuicornis/Philonthus tenuicornis_73.jpg,Philonthus tenuicornis,Philonthus addendus,Philonthus tenuicornis,0.07267678,Philonthus punctus,0.096248955,Philonthus addendus,0.7438235
18,images_species/Philonthus tenuicornis/Philonthus tenuicornis_76.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus laminatus,0.0016394285,Quedius mesomelinus,0.0020797655,Philonthus tenuicornis,0.9947636
19,images_species/Philonthus tenuicornis/Philonthus tenuicornis_77.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus succicola,0.0005431934,Philonthus addendus,0.0010381776,Philonthus tenuicornis,0.998231
20,images_species/Philonthus tenuicornis/Philonthus tenuicornis_79.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,0.10437674,Philonthus addendus,0.115933396,Philonthus tenuicornis,0.551604
21,images_species/Philonthus tenuicornis/Philonthus tenuicornis_81.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,0.0059842947,Philonthus addendus,0.009464689,Philonthus tenuicornis,0.97945464
22,images_species/Philonthus tenuicornis/Philonthus tenuicornis_83.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,0.0024762482,Philonthus succicola,0.21555482,Philonthus tenuicornis,0.7763723
23,images_species/Philonthus tenuicornis/Philonthus tenuicornis_87.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus carbonarius,0.003946476,Philonthus rufipes,0.009731035,Philonthus tenuicornis,0.98196733
24,images_species/Philonthus tenuicornis/Philonthus tenuicornis_90.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus addendus,0.018501936,Philonthus splendens,0.32371712,Philonthus tenuicornis,0.63456035
25,images_species/Philonthus tenuicornis/Philonthus tenuicornis_93.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus atratus,4.1772615e-05,Philonthus addendus,0.002702486,Philonthus tenuicornis,0.9972045
26,images_species/Philonthus tenuicornis/Philonthus tenuicornis_98.jpg,Philonthus tenuicornis,Philonthus tenuicornis,Philonthus politus,8.959838e-05,Philonthus succicola,0.0016360194,Philonthus tenuicornis,0.9981668
27,images_species/Paederidus ruficollis/Paederidus ruficollis_100.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus succicola,1.953034e-07,Tetartopeus quadratus,5.8179523e-07,Paederidus ruficollis,0.9999989
28,images_species/Paederidus ruficollis/Paederidus ruficollis_108.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus atratus,1.5787453e-08,Philonthus cognatus,1.6012596e-08,Paederidus ruficollis,1.0
29,images_species/Paederidus ruficollis/Paederidus ruficollis_110.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus cognatus,4.776614e-07,Tetartopeus quadratus,7.850312e-07,Paederidus ruficollis,0.9999976
30,images_species/Paederidus ruficollis/Paederidus ruficollis_121.jpg,Paederidus ruficollis,Paederidus ruficollis,Tetartopeus quadratus,4.730112e-07,Philonthus cognatus,9.367801e-07,Paederidus ruficollis,0.99999833
31,images_species/Paederidus ruficollis/Paederidus ruficollis_126.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus punctus,7.589322e-07,Gauropterus fulgidus,1.9615377e-06,Paederidus ruficollis,0.9999924
32,images_species/Paederidus ruficollis/Paederidus ruficollis_134.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus cognatus,7.4575075e-09,Paederus littoralis,7.9381275e-09,Paederidus ruficollis,1.0
33,images_species/Paederidus ruficollis/Paederidus ruficollis_138.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus fuscipes,6.0315353e-09,Tetartopeus quadratus,4.6844937e-07,Paederidus ruficollis,0.9999995
34,images_species/Paederidus ruficollis/Paederidus ruficollis_142.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus cognatus,3.8694816e-05,Tetartopeus quadratus,0.0003244602,Paederidus ruficollis,0.99961144
35,images_species/Paederidus ruficollis/Paederidus ruficollis_150.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus atratus,2.5434477e-09,Tetartopeus quadratus,1.605973e-08,Paederidus ruficollis,1.0
36,images_species/Paederidus ruficollis/Paederidus ruficollis_153.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus succicola,2.2509377e-07,Tetartopeus quadratus,2.836411e-07,Paederidus ruficollis,0.9999987
37,images_species/Paederidus ruficollis/Paederidus ruficollis_158.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus fuscipes,2.374863e-06,Philonthus cognatus,2.731211e-05,Paederidus ruficollis,0.9999659
38,images_species/Paederidus ruficollis/Paederidus ruficollis_165.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus cognatus,3.4444125e-07,Tetartopeus quadratus,6.331946e-07,Paederidus ruficollis,0.9999987
39,images_species/Paederidus ruficollis/Paederidus ruficollis_179.jpg,Paederidus ruficollis,Paederidus ruficollis,Gabrius nigritulus,2.648356e-06,Philonthus cognatus,6.1902133e-06,Paederidus ruficollis,0.99998415
40,images_species/Paederidus ruficollis/Paederidus ruficollis_181.jpg,Paederidus ruficollis,Paederidus ruficollis,Tetartopeus quadratus,2.7739867e-07,Philonthus cognatus,4.966501e-07,Paederidus ruficollis,0.9999988
41,images_species/Paederidus ruficollis/Paederidus ruficollis_189.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus fuscipes,7.153678e-07,Philonthus atratus,1.1356437e-06,Paederidus ruficollis,0.9999969
42,images_species/Paederidus ruficollis/Paederidus ruficollis_199.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus riparius,1.827775e-08,Philonthus cognatus,7.384489e-08,Paederidus ruficollis,0.9999999
43,images_species/Paederidus ruficollis/Paederidus ruficollis_207.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus cognatus,4.2013844e-06,Tetartopeus quadratus,2.8096434e-05,Paederidus ruficollis,0.9999639
44,images_species/Paederidus ruficollis/Paederidus ruficollis_211.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus littoralis,2.5441234e-06,Rugilus orbiculatus,4.1892963e-06,Paederidus ruficollis,0.99998844
45,images_species/Paederidus ruficollis/Paederidus ruficollis_218.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus riparius,2.7699258e-07,Paederus littoralis,4.8284323e-07,Paederidus ruficollis,0.9999987
46,images_species/Paederidus ruficollis/Paederidus ruficollis_220.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus atratus,2.812115e-07,Philonthus cognatus,5.779005e-06,Paederidus ruficollis,0.99999356
47,images_species/Paederidus ruficollis/Paederidus ruficollis_224.jpg,Paederidus ruficollis,Paederidus ruficollis,Acylophorus glaberrimus,1.05203746e-07,Tetartopeus quadratus,7.874578e-07,Paederidus ruficollis,0.9999988
48,images_species/Paederidus ruficollis/Paederidus ruficollis_227.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus cognatus,3.889304e-07,Tetartopeus quadratus,1.9114052e-06,Paederidus ruficollis,0.9999975
49,images_species/Paederidus ruficollis/Paederidus ruficollis_228.jpg,Paederidus ruficollis,Paederidus ruficollis,Tetartopeus quadratus,0.00021520066,Paederus fuscipes,0.0020130228,Paederidus ruficollis,0.9975555
50,images_species/Paederidus ruficollis/Paederidus ruficollis_229.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus fuscipes,1.671395e-07,Tetartopeus quadratus,5.510249e-07,Paederidus ruficollis,0.9999989
51,images_species/Paederidus ruficollis/Paederidus ruficollis_232.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus nigrita,4.379417e-06,Tetartopeus quadratus,0.00014983707,Paederidus ruficollis,0.999845
52,images_species/Paederidus ruficollis/Paederidus ruficollis_235.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus carbonarius,7.3227324e-07,Philonthus cognatus,1.9430668e-06,Paederidus ruficollis,0.99999547
53,images_species/Paederidus ruficollis/Paederidus ruficollis_237.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus atratus,2.7509777e-06,Tetartopeus quadratus,3.239058e-06,Paederidus ruficollis,0.9999927
54,images_species/Paederidus ruficollis/Paederidus ruficollis_238.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus atratus,3.3676318e-07,Philonthus cognatus,1.1476891e-06,Paederidus ruficollis,0.9999981
55,images_species/Paederidus ruficollis/Paederidus ruficollis_242.jpg,Paederidus ruficollis,Paederidus ruficollis,Rugilus orbiculatus,3.8851027e-07,Paederus littoralis,2.627099e-06,Paederidus ruficollis,0.9999963
56,images_species/Paederidus ruficollis/Paederidus ruficollis_245.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus riparius,9.41682e-08,Philonthus atratus,2.0276939e-07,Paederidus ruficollis,0.9999993
57,images_species/Paederidus ruficollis/Paederidus ruficollis_25.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus cognatus,9.4836093e-07,Tetartopeus quadratus,1.911034e-06,Paederidus ruficollis,0.9999958
58,images_species/Paederidus ruficollis/Paederidus ruficollis_27.jpg,Paederidus ruficollis,Paederidus ruficollis,Tetartopeus quadratus,5.7776607e-08,Paederus fuscipes,2.7636537e-07,Paederidus ruficollis,0.9999995
59,images_species/Paederidus ruficollis/Paederidus ruficollis_39.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus fuscipes,2.5121656e-07,Paederus riparius,2.0180485e-05,Paederidus ruficollis,0.9999794
60,images_species/Paederidus ruficollis/Paederidus ruficollis_41.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus succicola,6.6574465e-08,Paederus fuscipes,1.8726658e-07,Paederidus ruficollis,0.9999995
61,images_species/Paederidus ruficollis/Paederidus ruficollis_49.jpg,Paederidus ruficollis,Paederidus ruficollis,Acylophorus glaberrimus,8.745256e-08,Tetartopeus quadratus,2.4055373e-06,Paederidus ruficollis,0.9999974
62,images_species/Paederidus ruficollis/Paederidus ruficollis_51.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus succicola,2.2946278e-07,Tetartopeus quadratus,2.5401127e-07,Paederidus ruficollis,0.99999917
63,images_species/Paederidus ruficollis/Paederidus ruficollis_52.jpg,Paederidus ruficollis,Paederidus ruficollis,Rugilus rufipes,3.5072271e-06,Paederus littoralis,3.959578e-05,Paederidus ruficollis,0.9999536
64,images_species/Paederidus ruficollis/Paederidus ruficollis_59.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus fuscipes,4.3716945e-08,Acylophorus glaberrimus,7.7853954e-08,Paederidus ruficollis,0.9999999
65,images_species/Paederidus ruficollis/Paederidus ruficollis_64.jpg,Paederidus ruficollis,Paederidus ruficollis,Acylophorus glaberrimus,4.621341e-08,Tetartopeus quadratus,1.0612044e-07,Paederidus ruficollis,0.9999999
66,images_species/Paederidus ruficollis/Paederidus ruficollis_69.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus nigrita,2.4928817e-05,Tetartopeus quadratus,0.0008776604,Paederidus ruficollis,0.999086
67,images_species/Paederidus ruficollis/Paederidus ruficollis_72.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus fuscipes,4.1167854e-07,Tetartopeus quadratus,1.60523e-05,Paederidus ruficollis,0.99998283
68,images_species/Paederidus ruficollis/Paederidus ruficollis_76.jpg,Paederidus ruficollis,Paederidus ruficollis,Paederus littoralis,1.5986338e-07,Tetartopeus quadratus,2.7393003e-07,Paederidus ruficollis,0.9999995
69,images_species/Paederidus ruficollis/Paederidus ruficollis_83.jpg,Paederidus ruficollis,Paederidus ruficollis,Philonthus nigrita,1.0795721e-06,Tetartopeus quadratus,2.0170655e-05,Paederidus ruficollis,0.9999784
