,Filename,Label,Prediction1,Prediction3
0,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Platydracus fulvipes', 0.0005088502), ('Bisnius puella', 0.0005784981), ('Philonthus tenuicornis', 0.9958962)]"
1,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Velleius dilatatus', 0.020921519), ('Ocypus fuscatus', 0.029632969), ('Philonthus tenuicornis', 0.8926293)]"
2,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Ocypus aeneocephalus,"[('Quedius levicollis', 0.19881108), ('Philonthus tenuicornis', 0.2803873), ('Ocypus aeneocephalus', 0.30539697)]"
3,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Quedius levicollis', 0.013254428), ('Velleius dilatatus', 0.06387392), ('Philonthus tenuicornis', 0.85528404)]"
4,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus ebeninus', 0.04248411), ('Quedius maurus', 0.08127655), ('Philonthus tenuicornis', 0.765452)]"
5,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Philonthus rufipes', 0.018823978), ('Philonthus corvinus', 0.028398054), ('Philonthus tenuicornis', 0.9192151)]"
6,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Quedius levicollis,"[('Platydracus fulvipes', 0.064870805), ('Ocypus fuscatus', 0.0757711), ('Quedius levicollis', 0.76629514)]"
7,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Ocypus fuscatus', 0.0024254376), ('Platydracus fulvipes', 0.0058591156), ('Philonthus tenuicornis', 0.9816253)]"
8,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Ocypus fuscatus', 0.07483802), ('Philonthus splendens', 0.19617708), ('Philonthus tenuicornis', 0.48832455)]"
9,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Ocypus fuscatus', 0.008805344), ('Quedius levicollis', 0.012189779), ('Philonthus tenuicornis', 0.95364225)]"
10,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_23.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Ocypus fuscatus', 0.0018235937), ('Tasgius ater', 0.00439299), ('Philonthus tenuicornis', 0.9863983)]"
11,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_24.jpg,Philonthus tenuicornis,Velleius dilatatus,"[('Quedius levicollis', 0.016678138), ('Philonthus tenuicornis', 0.04762927), ('Velleius dilatatus', 0.8669048)]"
12,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_25.jpg,Philonthus tenuicornis,Philonthus tenuicornis,"[('Bisnius puella', 0.02990755), ('Quedius maurus', 0.07131492), ('Philonthus tenuicornis', 0.8526716)]"
13,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_26.jpg,Philonthus tenuicornis,Quedius levicollis,"[('Platydracus fulvipes', 0.17290534), ('Ocypus fuscatus', 0.3039765), ('Quedius levicollis', 0.34364927)]"
