,Filename,Label,Prediction1,Prediction3
0,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_13.jpg,Philonthus tenuicornis,Tasgius ater,"[('Ontholestes murinus', 0.06865132), ('Ocypus ophthalmicus', 0.17981483), ('Tasgius ater', 0.3500663)]"
1,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_14.jpg,Philonthus tenuicornis,Ontholestes murinus,"[('Ocypus ophthalmicus', 0.14818482), ('Tasgius ater', 0.16129613), ('Ontholestes murinus', 0.40550345)]"
2,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_15.jpg,Philonthus tenuicornis,Ocypus ophthalmicus,"[('Ontholestes murinus', 0.11926897), ('Tasgius ater', 0.17370397), ('Ocypus ophthalmicus', 0.2310239)]"
3,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_16.jpg,Philonthus tenuicornis,Ontholestes murinus,"[('Tasgius ater', 0.1527491), ('Ocypus ophthalmicus', 0.16975458), ('Ontholestes murinus', 0.2012166)]"
4,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_17.jpg,Philonthus tenuicornis,Ontholestes murinus,"[('Tasgius ater', 0.12891531), ('Ocypus ophthalmicus', 0.13592084), ('Ontholestes murinus', 0.15702434)]"
5,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_18.jpg,Philonthus tenuicornis,Ocypus ophthalmicus,"[('Tetartopeus quadratus', 0.03875629), ('Tasgius ater', 0.26942968), ('Ocypus ophthalmicus', 0.31282824)]"
6,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_19.jpg,Philonthus tenuicornis,Tasgius ater,"[('Ocypus fuscatus', 0.105657585), ('Ocypus ophthalmicus', 0.11937195), ('Tasgius ater', 0.43112177)]"
7,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_20.jpg,Philonthus tenuicornis,Tasgius ater,"[('Ontholestes murinus', 0.18693005), ('Ocypus ophthalmicus', 0.2202359), ('Tasgius ater', 0.25300744)]"
8,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_21.jpg,Philonthus tenuicornis,Ontholestes murinus,"[('Ocypus nitens', 0.09438085), ('Ocypus ophthalmicus', 0.17176561), ('Ontholestes murinus', 0.40133578)]"
9,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_22.jpg,Philonthus tenuicornis,Tasgius ater,"[('Ocypus ophthalmicus', 0.112831846), ('Ontholestes murinus', 0.13504809), ('Tasgius ater', 0.19044943)]"
10,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_23.jpg,Philonthus tenuicornis,Tasgius ater,"[('Ontholestes murinus', 0.093199246), ('Quedius fuliginosus', 0.11752452), ('Tasgius ater', 0.25368053)]"
11,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_24.jpg,Philonthus tenuicornis,Ontholestes murinus,"[('Tasgius ater', 0.17555746), ('Ocypus nitens', 0.19224901), ('Ontholestes murinus', 0.2791488)]"
12,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_25.jpg,Philonthus tenuicornis,Ontholestes murinus,"[('Ocypus ophthalmicus', 0.14412548), ('Tasgius ater', 0.19718139), ('Ontholestes murinus', 0.31558412)]"
13,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_26.jpg,Philonthus tenuicornis,Tasgius ater,"[('Ocypus fuscatus', 0.045948762), ('Ocypus ophthalmicus', 0.22373798), ('Tasgius ater', 0.62123126)]"
14,images_species_shuffled_aspect_416/Philonthus tenuicornis/Philonthus tenuicornis_27.jpg,Philonthus tenuicornis,Tasgius ater,"[('Ocypus ophthalmicus', 0.12460038), ('Ocypus nitens', 0.12816995), ('Tasgius ater', 0.21607322)]"
