,class,f1_score,avg_pixels
0,Philonthus tenuicornis,0.81,156077
1,Paederidus ruficollis,1.0,85192
2,Philonthus splendens,0.97,208632
3,Pseudomedon obscurellus,0.97,37545
4,Staphylinus erythropterus,0.92,344456
5,Lobrathium multipunctum,0.98,59962
6,Philonthus nitidicollis,1.0,83460
7,Xantholinus dvoraki,0.93,72690
8,Lathrobium geminum,0.73,86077
9,Paederus riparius,1.0,98420
10,Heterothops praevius,0.7,34950
11,Gabrius osseticus,0.96,50993
12,Philonthus carbonarius,0.9,80804
13,Quedius semiaeneus,0.89,75327
14,Cafius xantholoma,1.0,80535
15,Othius punctulatus,1.0,114124
16,Heterothops binotatus,0.73,34950
17,Philonthus succicola,0.86,174992
18,Philonthus rectangulus,1.0,108409
19,Ocypus ophthalmicus,1.0,411914
20,Quedius maurorufus,0.91,62529
21,Quedius suturalis,0.9,68204
22,Ontholestes tessellatus,1.0,465145
23,Bisnius subuliformis,1.0,70916
24,Philonthus lepidus,1.0,70050
25,Heterothops quadripunctulus,0.96,29536
26,Philonthus addendus,0.74,175448
27,Quedius auricomus,1.0,53067
28,Philonthus punctus,0.88,115367
29,Quedius levicollis,1.0,173632
30,Ocypus olens,1.0,836954
31,Ocypus aeneocephalus,1.0,214363
32,Ochthephilum fracticorne,1.0,40479
33,Quedius scitus,0.95,87159
34,Philonthus mannerheimi,0.91,114636
35,Acylophorus wagenschieberi,1.0,93683
36,Astenus immacullatus,0.96,20411
37,Quedius brevicornis,0.88,144901
38,Quedius fuliginosus,0.9,138441
39,Tetartopeus terminatus,0.97,56185
40,Platydracus fulvipes,1.0,276543
41,Philonthus cruentatus,0.84,87019
42,Quedius scintillans,0.85,47511
43,Megalinus glabratus,1.0,147536
44,Heterothops niger,0.94,33248
45,Quedius lateralis,0.96,200636
46,Philonthus corruscus,1.0,112042
47,Tasgius morsitans,1.0,306524
48,Medon ripicola,1.0,47712
49,Gyrohypnus punctulatus,0.76,62062
50,Quedius cinctus,0.93,93387
51,Philonthus longicornis,0.73,92277
52,Astenus gracilis,0.49,17893
53,Lathrobium brunnipes,0.98,86434
54,Bisnius pseudoparcus,0.89,72863
55,Quedius infuscatus,1.0,49359
56,Quedius maurus,0.89,88856
57,Quedius persimilis,0.71,46743
58,Gabrius breviventer,0.73,26743
59,Scopaeus minutus,0.88,12375
60,Bisnius sordidus,0.9,64153
61,Ocypus nitens,0.96,320454
62,Tasgius melanarius,1.0,274440
63,Gauropterus fulgidus,1.0,94916
64,Xantholinus gallicus,0.8,60881
65,Gabrius nigritulus,0.79,27649
66,Philonthus marginatus,1.0,124063
67,Philonthus rubripennis,0.94,56638
68,Lathrobium fulvipenne,0.95,82906
69,Sunius bicolor,0.88,39779
70,Tasgius globulifer,1.0,218087
71,Astenus procerus,0.97,25695
72,Gabrius appendiculatus,0.85,25017
73,Philonthus rufipes,0.86,99538
74,Quedius boops,0.25,45727
75,Quedius cruentus,0.92,96899
76,Velleius dilatatus,1.0,535701
77,Neobisnius lathrobioides,1.0,27052
78,Quedius fulvicollis,1.0,63223
79,Medon brunneus,0.91,46764
80,Philonthus jurgans,0.53,81601
81,Scopaeus sulcicollis,0.81,14122
82,Philonthus quisquiliarius,0.8,73746
83,Gyrohypnus angustatus,0.82,48977
84,Staphylinus caesareus,0.8,547634
85,Quedius xanthopus,0.9,90321
86,Lithocharis ochracea,1.0,40562
87,Bisnius parcus,1.0,95497
88,Philonthus binotatus,0.86,102463
89,Quedius nigrocaeruleus,0.8,127408
90,Pseudomedon obsoletus,0.96,39038
91,Philonthus varians,0.52,78260
92,Gyrohypnus atratus,0.86,42617
93,Ontholestes murinus,1.0,241173
94,Xantholinus laevigatus,0.5,64134
95,Philonthus corvinus,0.8,87290
96,Quedius semiobscurus,0.93,89611
97,Heterothops stiglundbergi,0.86,40384
98,Philonthus concinnus,0.83,75478
99,Philonthus nigrita,1.0,79507
100,Nudobius lentus,1.0,62135
101,Philonthus debilis,0.89,50446
102,Lithocharis nigriceps,0.97,24370
103,Philonthus furcifer,1.0,61351
104,Philonthus confinis,0.5,78606
105,Bisnius cephalotes,0.92,91779
106,Philonthus fumarius,0.97,94831
107,Lathrobium rufipenne,0.93,53372
108,Ocypus picipennis,0.95,297124
109,Astenus lyonessius,0.71,17030
110,Ocypus brunnipes,1.0,253886
111,Rugilus erichsoni,0.92,49075
112,Atrecus affinis,0.94,61106
113,Bisnius nitidulus,1.0,38354
114,Scopaeus laevigatus,0.8,16810
115,Philonthus parvicornis,0.78,64964
116,Philonthus politus,0.83,174416
117,Othius angustus,0.84,42085
118,Philonthus ventralis,0.87,59580
