,class,avg_pixels
0,Leptacinus pusillus,29777
1,Bisnius puella,90449
2,Paederus littoralis,88793
3,Lathrobium pallidum,40011
4,Bisnius sordidus,64153
5,Medon ripicola,47712
6,Othius subuliformis,42923
7,Lathrobium fulvipenne,82906
8,Bisnius subuliformis,70916
9,Philonthus marginatus,124063
10,Quedius semiobscurus,89611
11,Xantholinus gallicus,60881
12,Philonthus fumarius,94831
13,Heterothops stiglundbergi,40384
14,Philonthus albipes,55439
15,Emus hirtus,652774
16,Philonthus punctus,115367
17,Quedius picipes,135228
18,Ocypus nitens,320454
19,Bisnius cephalotes,91779
20,Ocypus fuscatus,204285
21,Philonthus nitidus,192036
22,Sunius melanocephalus,34543
23,Lathrobium rufipenne,53372
24,Philonthus parvicornis,64964
25,Philonthus intermedius,153261
26,Quedius fulgidus,142544
27,Cafius xantholoma,80535
28,Xantholinus laevigatus,64134
29,Paederus fuscipes,73492
30,Quedius fuliginosus,138441
31,Quedius fumatus,90082
32,Philonthus succicola,174992
33,Philonthus carbonarius,80804
34,Quedius boops,45727
35,Rugilus erichsoni,49075
36,Sunius bicolor,39779
37,Scopaeus minutus,12375
38,Ocypus picipennis,297124
39,Remus sericeus,33907
40,Philonthus politus,174416
41,Platydracus latebricola,200127
42,Tetartopeus terminatus,56185
43,Tetartopeus quadratus,70712
44,Quedius cinctus,93387
45,Bisnius parcus,95497
46,Lithocharis ochracea,40562
47,Philonthus corruscus,112042
48,Paederus riparius,98420
49,Philonthus binotatus,102463
50,Quedius microps,41108
51,Philonthus ebeninus,107738
52,Gabrius splendidulus,31004
53,Leptacinus intermedius,32953
54,Gabronthus thermarum,18152
55,Gabrius osseticus,50993
56,Philonthus cruentatus,87019
57,Ontholestes tessellatus,465145
58,Quedius longicornis,122237
59,Lathrobium elongatum,81442
60,Quedius boopoides,60912
61,Gyrohypnus punctulatus,62062
62,Leptacinus batychrus,38358
63,Philonthus sanguinolentus,93296
64,Heterothops niger,33248
65,Quedius puncticollis,105024
66,Neobisnius villosulus,25102
67,Quedius molochinus,143469
68,Philonthus splendens,208632
69,Quedius nigrocaeruleus,127408
70,Leptacinus formicetorum,19084
71,Philonthus laminatus,151042
72,Lathrobium fovulum,55997
73,Gabrius exiguus,31077
74,Medon apicalis,46832
75,Philonthus alpinus,54164
76,Tasgius morsitans,306524
77,Quedius infuscatus,49359
78,Gabrius keysianus,31032
79,Gabrius nigritulus,27649
80,Othius punctulatus,114124
81,Astenus immacullatus,20411
82,Quedius nigriceps,84779
83,Quedius fulvicollis,63223
84,Quedius curtipennis,141815
85,Nudobius lentus,62135
86,Xantholinus tricolor,90681
87,Bisnius nitidulus,38354
88,Philonthus jurgans,81601
89,Quedius simplicifrons,149891
90,Quedius scitus,87159
91,Ocypus brunnipes,253886
92,Philonthus corvinus,87290
93,Philonthus tenuicornis,156077
94,Gyrohypnus angustatus,48977
95,Acylophorus wagenschieberi,93683
96,Philonthus mannerheimi,114636
97,Medon castaneus,88440
98,Creophilus maxillosus,375473
99,Scopaeus sulcicollis,14122
100,Philonthus debilis,50446
101,Atrecus longiceps,59026
102,Bisnius pseudoparcus,72863
103,Gauropterus fulgidus,94916
104,Philonthus lepidus,70050
105,Paederidus ruficollis,85192
106,Philonthus cognatus,143526
107,Tasgius melanarius,274440
108,Platydracus stercorarius,246956
109,Achenium humile,66567
110,Heterothops quadripunctulus,29536
111,Lobrathium multipunctum,59962
112,Philonthus quisquiliarius,73746
113,Quedius levicollis,173632
114,Philonthus varians,78260
115,Ocypus olens,836954
116,Gyrohypnus fracticornis,53514
117,Megalinus glabratus,147536
118,Gabrius austriacus,29477
119,Lathrobium brunnipes,86434
120,Astenus procerus,25695
121,Tasgius globulifer,218087
122,Quedius lateralis,200636
123,Philonthus addendus,175448
124,Othius angustus,42085
125,Philonthus micans,55238
126,Rugilus orbiculatus,47246
127,Neobisnius lathrobioides,27052
