,Filename,Prediction1,Prediction3
0,images_genus/Creophilus/Creophilus maxillosus_10.jpg,Creophilus,"[('Ontholestes', 5.503716e-10), ('Emus', 4.4492123e-07), ('Creophilus', 0.9999995)]"
1,images_genus/Creophilus/Creophilus maxillosus_11.jpg,Creophilus,"[('Ontholestes', 9.6066814e-11), ('Emus', 6.915261e-08), ('Creophilus', 0.9999999)]"
2,images_genus/Creophilus/Creophilus maxillosus_12.jpg,Creophilus,"[('Ontholestes', 5.4452237e-10), ('Emus', 1.3447004e-07), ('Creophilus', 0.9999999)]"
3,images_genus/Creophilus/Creophilus maxillosus_4.jpg,Creophilus,"[('Ontholestes', 1.0268204e-09), ('Emus', 5.215604e-07), ('Creophilus', 0.9999995)]"
4,images_genus/Creophilus/Creophilus maxillosus_5.jpg,Creophilus,"[('Emus', 0.0017275763), ('Velleius', 0.033676483), ('Creophilus', 0.96253335)]"
5,images_genus/Creophilus/Creophilus maxillosus_6.jpg,Creophilus,"[('Ontholestes', 6.1636885e-12), ('Emus', 2.3640908e-07), ('Creophilus', 0.99999976)]"
6,images_genus/Creophilus/Creophilus maxillosus_7.jpg,Creophilus,"[('Ontholestes', 8.279994e-09), ('Emus', 9.62709e-07), ('Creophilus', 0.99999905)]"
7,images_genus/Creophilus/Creophilus maxillosus_8.jpg,Creophilus,"[('Ontholestes', 2.8207001e-09), ('Emus', 8.969363e-06), ('Creophilus', 0.99999106)]"
8,images_genus/Creophilus/Creophilus maxillosus_9.jpg,Creophilus,"[('Ontholestes', 3.0891665e-09), ('Emus', 9.079834e-07), ('Creophilus', 0.99999905)]"
9,images_genus/Velleius/Velleius dilatatus_2.jpg,Velleius,"[('Creophilus', 6.784564e-05), ('Euryporus', 0.00013695018), ('Velleius', 0.99979)]"
10,images_genus/Velleius/Velleius dilatatus_3.jpg,Velleius,"[('Euryporus', 6.626146e-05), ('Creophilus', 0.00481512), ('Velleius', 0.9950877)]"
11,images_genus/Velleius/Velleius dilatatus_4.jpg,Velleius,"[('Euryporus', 0.00017526875), ('Creophilus', 0.00075058517), ('Velleius', 0.9989619)]"
12,images_genus/Velleius/Velleius dilatatus_5.jpg,Velleius,"[('Euryporus', 0.004929912), ('Creophilus', 0.12995557), ('Velleius', 0.8645683)]"
13,images_genus/Velleius/Velleius dilatatus_6.jpg,Velleius,"[('Euryporus', 9.849835e-05), ('Creophilus', 0.00039852248), ('Velleius', 0.99949634)]"
14,images_genus/Megalinus/Megalinus glabratus_3.jpg,Megalinus,"[('Gauropterus', 0.009215643), ('Nudobius', 0.01444541), ('Megalinus', 0.9751694)]"
15,images_genus/Megalinus/Megalinus glabratus_4.jpg,Megalinus,"[('Nudobius', 3.4933866e-05), ('Gauropterus', 0.082520984), ('Megalinus', 0.9174011)]"
16,images_genus/Megalinus/Megalinus glabratus_5.jpg,Gauropterus,"[('Nudobius', 2.4774085e-06), ('Megalinus', 0.00029373166), ('Gauropterus', 0.99970347)]"
17,images_genus/Megalinus/Megalinus glabratus_6.jpg,Gauropterus,"[('Nudobius', 3.8989292e-05), ('Megalinus', 0.28403702), ('Gauropterus', 0.7158739)]"
18,images_genus/Megalinus/Megalinus glabratus_7.jpg,Megalinus,"[('Platydracus', 0.00035029923), ('Gauropterus', 0.002189955), ('Megalinus', 0.99715483)]"
19,images_genus/Megalinus/Megalinus glabratus_8.jpg,Megalinus,"[('Nudobius', 0.0063274917), ('Gauropterus', 0.032306436), ('Megalinus', 0.960201)]"
20,images_genus/Megalinus/Megalinus glabratus_9.jpg,Gauropterus,"[('Paederidus', 1.6691243e-05), ('Megalinus', 0.008768101), ('Gauropterus', 0.99121)]"
21,images_genus/Dinothenarus/Dinothenarus pubescens_10.jpg,Dinothenarus,"[('Cafius', 1.2955451e-09), ('Ontholestes', 0.0009566493), ('Dinothenarus', 0.9990433)]"
22,images_genus/Dinothenarus/Dinothenarus pubescens_11.jpg,Dinothenarus,"[('Ontholestes', 1.0473044e-07), ('Cafius', 2.6108817e-05), ('Dinothenarus', 0.9999738)]"
23,images_genus/Dinothenarus/Dinothenarus pubescens_4.jpg,Dinothenarus,"[('Cafius', 6.6103845e-10), ('Ontholestes', 0.00019650091), ('Dinothenarus', 0.9998035)]"
24,images_genus/Dinothenarus/Dinothenarus pubescens_5.jpg,Dinothenarus,"[('Cafius', 1.269843e-08), ('Ontholestes', 7.059011e-05), ('Dinothenarus', 0.9999294)]"
25,images_genus/Dinothenarus/Dinothenarus pubescens_6.jpg,Dinothenarus,"[('Cafius', 6.963091e-08), ('Ontholestes', 3.712156e-07), ('Dinothenarus', 0.9999995)]"
26,images_genus/Dinothenarus/Dinothenarus pubescens_7.jpg,Dinothenarus,"[('Cafius', 8.7912595e-06), ('Ontholestes', 1.2541387e-05), ('Dinothenarus', 0.99997497)]"
27,images_genus/Dinothenarus/Dinothenarus pubescens_8.jpg,Dinothenarus,"[('Ontholestes', 1.9629631e-07), ('Cafius', 0.000103416394), ('Dinothenarus', 0.9998963)]"
28,images_genus/Dinothenarus/Dinothenarus pubescens_9.jpg,Dinothenarus,"[('Creophilus', 1.00741175e-07), ('Ontholestes', 0.00015352167), ('Dinothenarus', 0.99984634)]"
29,images_genus/Sunius/Sunius bicolor_10.jpg,Sunius,"[('Othius', 1.02854565e-05), ('Medon', 0.0003143077), ('Sunius', 0.99967074)]"
30,images_genus/Sunius/Sunius bicolor_11.jpg,Sunius,"[('Othius', 4.6407313e-06), ('Medon', 5.613288e-06), ('Sunius', 0.9999896)]"
31,images_genus/Sunius/Sunius bicolor_12.jpg,Sunius,"[('Paederidus', 2.5737026e-07), ('Medon', 1.4262328e-05), ('Sunius', 0.9999852)]"
32,images_genus/Sunius/Sunius bicolor_13.jpg,Sunius,"[('Othius', 3.177213e-06), ('Medon', 3.774542e-06), ('Sunius', 0.99999213)]"
33,images_genus/Sunius/Sunius bicolor_14.jpg,Sunius,"[('Othius', 1.0353509e-06), ('Medon', 0.00010790472), ('Sunius', 0.99989057)]"
34,images_genus/Sunius/Sunius bicolor_15.jpg,Sunius,"[('Medon', 0.00040008585), ('Othius', 0.00083845085), ('Sunius', 0.99872977)]"
35,images_genus/Sunius/Sunius bicolor_16.jpg,Sunius,"[('Othius', 9.419265e-06), ('Medon', 2.8939676e-05), ('Sunius', 0.9999603)]"
36,images_genus/Sunius/Sunius bicolor_17.jpg,Sunius,"[('Othius', 9.933958e-05), ('Medon', 0.00037512716), ('Sunius', 0.9995177)]"
37,images_genus/Sunius/Sunius bicolor_18.jpg,Sunius,"[('Paederidus', 2.6070072e-07), ('Medon', 1.485719e-06), ('Sunius', 0.99999833)]"
38,images_genus/Sunius/Sunius bicolor_19.jpg,Sunius,"[('Othius', 8.1206035e-06), ('Medon', 0.0007232596), ('Sunius', 0.9992636)]"
39,images_genus/Sunius/Sunius bicolor_20.jpg,Sunius,"[('Medon', 7.5994603e-06), ('Othius', 5.8884107e-05), ('Sunius', 0.99993265)]"
40,images_genus/Sunius/Sunius bicolor_21.jpg,Sunius,"[('Othius', 4.4596942e-07), ('Medon', 2.2882539e-06), ('Sunius', 0.99999714)]"
41,images_genus/Sunius/Sunius bicolor_22.jpg,Sunius,"[('Medon', 0.0005321024), ('Othius', 0.0067417827), ('Sunius', 0.9927013)]"
42,images_genus/Sunius/Sunius bicolor_23.jpg,Sunius,"[('Paederidus', 8.443338e-07), ('Medon', 0.00020387635), ('Sunius', 0.9997944)]"
43,images_genus/Sunius/Sunius bicolor_24.jpg,Sunius,"[('Othius', 6.004635e-06), ('Medon', 1.7637887e-05), ('Sunius', 0.99997604)]"
44,images_genus/Sunius/Sunius bicolor_25.jpg,Sunius,"[('Medon', 0.0008700673), ('Othius', 0.0020595172), ('Sunius', 0.997045)]"
45,images_genus/Sunius/Sunius bicolor_26.jpg,Sunius,"[('Othius', 1.161315e-05), ('Medon', 0.0013974921), ('Sunius', 0.99858415)]"
46,images_genus/Sunius/Sunius bicolor_9.jpg,Sunius,"[('Othius', 3.9858332e-07), ('Medon', 1.06346215e-05), ('Sunius', 0.9999889)]"
47,images_genus/Sunius/Sunius melanocephalus_11.jpg,Sunius,"[('Pseudomedon', 1.6886295e-09), ('Medon', 9.592853e-08), ('Sunius', 0.9999999)]"
48,images_genus/Sunius/Sunius melanocephalus_12.jpg,Sunius,"[('Pseudomedon', 1.7466517e-06), ('Medon', 5.9780423e-06), ('Sunius', 0.99999213)]"
49,images_genus/Sunius/Sunius melanocephalus_13.jpg,Sunius,"[('Othius', 1.4143399e-06), ('Medon', 2.484976e-05), ('Sunius', 0.99997294)]"
50,images_genus/Sunius/Sunius melanocephalus_14.jpg,Sunius,"[('Pseudomedon', 9.724842e-09), ('Medon', 2.4122462e-06), ('Sunius', 0.9999976)]"
51,images_genus/Sunius/Sunius melanocephalus_15.jpg,Sunius,"[('Othius', 1.9063247e-08), ('Medon', 4.3251788e-07), ('Sunius', 0.9999995)]"
52,images_genus/Sunius/Sunius melanocephalus_16.jpg,Sunius,"[('Paederidus', 4.6044195e-09), ('Medon', 1.8955865e-07), ('Sunius', 0.99999976)]"
53,images_genus/Sunius/Sunius melanocephalus_17.jpg,Sunius,"[('Othius', 5.70562e-07), ('Medon', 4.6819096e-06), ('Sunius', 0.9999945)]"
54,images_genus/Sunius/Sunius melanocephalus_18.jpg,Sunius,"[('Othius', 2.7153114e-06), ('Medon', 0.000117718904), ('Sunius', 0.99987674)]"
55,images_genus/Sunius/Sunius melanocephalus_19.jpg,Sunius,"[('Othius', 6.255747e-05), ('Medon', 0.0015194016), ('Sunius', 0.99836415)]"
56,images_genus/Sunius/Sunius melanocephalus_20.jpg,Sunius,"[('Othius', 2.7211257e-05), ('Medon', 0.0004856261), ('Sunius', 0.9994824)]"
57,images_genus/Sunius/Sunius melanocephalus_21.jpg,Sunius,"[('Pseudomedon', 4.566373e-09), ('Medon', 5.7086254e-07), ('Sunius', 0.9999994)]"
58,images_genus/Sunius/Sunius melanocephalus_22.jpg,Sunius,"[('Othius', 1.9253704e-07), ('Medon', 2.5110498e-06), ('Sunius', 0.99999726)]"
59,images_genus/Sunius/Sunius melanocephalus_23.jpg,Sunius,"[('Pseudomedon', 3.0384797e-07), ('Medon', 3.167768e-05), ('Sunius', 0.9999678)]"
60,images_genus/Sunius/Sunius melanocephalus_24.jpg,Sunius,"[('Pseudomedon', 1.4217622e-08), ('Medon', 1.6130994e-05), ('Sunius', 0.9999839)]"
61,images_genus/Sunius/Sunius melanocephalus_25.jpg,Sunius,"[('Pseudomedon', 2.9659284e-06), ('Medon', 0.00010570665), ('Sunius', 0.99988997)]"
62,images_genus/Sunius/Sunius melanocephalus_26.jpg,Sunius,"[('Othius', 1.2332566e-07), ('Medon', 2.0968093e-06), ('Sunius', 0.99999774)]"
63,images_genus/Sunius/Sunius melanocephalus_27.jpg,Sunius,"[('Othius', 1.9369987e-08), ('Medon', 4.7180436e-07), ('Sunius', 0.9999995)]"
64,images_genus/Sunius/Sunius melanocephalus_28.jpg,Sunius,"[('Othius', 2.3161947e-05), ('Medon', 6.0809176e-05), ('Sunius', 0.99991083)]"
65,images_genus/Sunius/Sunius melanocephalus_29.jpg,Sunius,"[('Paederidus', 2.609457e-07), ('Medon', 5.320952e-07), ('Sunius', 0.9999993)]"
