Filename,Prediction1,Prediction3
images_genus/Creophilus/Creophilus maxillosus_10.jpg,Rugilus,"[('Bisnius', 0.066631466), ('Lithocharis', 0.13384661), ('Rugilus', 0.3084453)]"
images_genus/Creophilus/Creophilus maxillosus_11.jpg,Rugilus,"[('Bisnius', 0.06914004), ('Lithocharis', 0.13091747), ('Rugilus', 0.3214593)]"
images_genus/Creophilus/Creophilus maxillosus_12.jpg,Rugilus,"[('Bisnius', 0.06829065), ('Lithocharis', 0.13343206), ('Rugilus', 0.31007835)]"
images_genus/Creophilus/Creophilus maxillosus_4.jpg,Rugilus,"[('Bisnius', 0.066366084), ('Lithocharis', 0.1399313), ('Rugilus', 0.29193908)]"
images_genus/Creophilus/Creophilus maxillosus_5.jpg,Rugilus,"[('Bisnius', 0.06589199), ('Lithocharis', 0.13392039), ('Rugilus', 0.31179953)]"
images_genus/Creophilus/Creophilus maxillosus_6.jpg,Rugilus,"[('Bisnius', 0.067317635), ('Lithocharis', 0.13304071), ('Rugilus', 0.31791693)]"
images_genus/Creophilus/Creophilus maxillosus_7.jpg,Rugilus,"[('Bisnius', 0.06829106), ('Lithocharis', 0.13690832), ('Rugilus', 0.30652475)]"
images_genus/Creophilus/Creophilus maxillosus_8.jpg,Rugilus,"[('Bisnius', 0.067172), ('Lithocharis', 0.13361166), ('Rugilus', 0.31622133)]"
images_genus/Creophilus/Creophilus maxillosus_9.jpg,Rugilus,"[('Bisnius', 0.066763945), ('Lithocharis', 0.14045623), ('Rugilus', 0.29578155)]"
images_genus/Velleius/Velleius dilatatus_2.jpg,Rugilus,"[('Bisnius', 0.0660873), ('Lithocharis', 0.13957216), ('Rugilus', 0.30849862)]"
images_genus/Velleius/Velleius dilatatus_3.jpg,Rugilus,"[('Bisnius', 0.0705761), ('Lithocharis', 0.12828061), ('Rugilus', 0.33582723)]"
images_genus/Velleius/Velleius dilatatus_4.jpg,Rugilus,"[('Bisnius', 0.07067712), ('Lithocharis', 0.12918273), ('Rugilus', 0.33495256)]"
images_genus/Velleius/Velleius dilatatus_5.jpg,Rugilus,"[('Bisnius', 0.06987873), ('Lithocharis', 0.13168675), ('Rugilus', 0.32444206)]"
images_genus/Velleius/Velleius dilatatus_6.jpg,Rugilus,"[('Bisnius', 0.07007779), ('Lithocharis', 0.13061473), ('Rugilus', 0.32609797)]"
images_genus/Megalinus/Megalinus glabratus_3.jpg,Rugilus,"[('Bisnius', 0.070412196), ('Lithocharis', 0.13267724), ('Rugilus', 0.32056382)]"
images_genus/Megalinus/Megalinus glabratus_4.jpg,Rugilus,"[('Bisnius', 0.0684691), ('Lithocharis', 0.13098362), ('Rugilus', 0.33011153)]"
images_genus/Megalinus/Megalinus glabratus_5.jpg,Rugilus,"[('Bisnius', 0.068299286), ('Lithocharis', 0.12843926), ('Rugilus', 0.3378683)]"
images_genus/Megalinus/Megalinus glabratus_6.jpg,Rugilus,"[('Bisnius', 0.069478), ('Lithocharis', 0.12997967), ('Rugilus', 0.33126533)]"
images_genus/Megalinus/Megalinus glabratus_7.jpg,Rugilus,"[('Bisnius', 0.06818029), ('Lithocharis', 0.13210995), ('Rugilus', 0.32616454)]"
images_genus/Megalinus/Megalinus glabratus_8.jpg,Rugilus,"[('Bisnius', 0.0707879), ('Lithocharis', 0.12659216), ('Rugilus', 0.3379455)]"
images_genus/Megalinus/Megalinus glabratus_9.jpg,Rugilus,"[('Bisnius', 0.06995298), ('Lithocharis', 0.12673447), ('Rugilus', 0.33869374)]"
images_genus/Dinothenarus/Dinothenarus pubescens_10.jpg,Rugilus,"[('Bisnius', 0.06740867), ('Lithocharis', 0.1329254), ('Rugilus', 0.32236773)]"
images_genus/Dinothenarus/Dinothenarus pubescens_11.jpg,Rugilus,"[('Bisnius', 0.06748058), ('Lithocharis', 0.13227606), ('Rugilus', 0.32597098)]"
images_genus/Dinothenarus/Dinothenarus pubescens_4.jpg,Rugilus,"[('Bisnius', 0.06767203), ('Lithocharis', 0.13199186), ('Rugilus', 0.32477403)]"
images_genus/Dinothenarus/Dinothenarus pubescens_5.jpg,Rugilus,"[('Bisnius', 0.06693799), ('Lithocharis', 0.1349201), ('Rugilus', 0.32202747)]"
images_genus/Dinothenarus/Dinothenarus pubescens_6.jpg,Rugilus,"[('Bisnius', 0.06779773), ('Lithocharis', 0.1332605), ('Rugilus', 0.32778275)]"
images_genus/Dinothenarus/Dinothenarus pubescens_7.jpg,Rugilus,"[('Bisnius', 0.068144575), ('Lithocharis', 0.13240758), ('Rugilus', 0.32170147)]"
images_genus/Dinothenarus/Dinothenarus pubescens_8.jpg,Rugilus,"[('Bisnius', 0.06759586), ('Lithocharis', 0.13224322), ('Rugilus', 0.33172962)]"
images_genus/Dinothenarus/Dinothenarus pubescens_9.jpg,Rugilus,"[('Bisnius', 0.06779316), ('Lithocharis', 0.13379572), ('Rugilus', 0.3204086)]"
images_genus/Sunius/Sunius bicolor_10.jpg,Rugilus,"[('Bisnius', 0.06876067), ('Lithocharis', 0.13274266), ('Rugilus', 0.33384025)]"
images_genus/Sunius/Sunius bicolor_11.jpg,Rugilus,"[('Bisnius', 0.068944536), ('Lithocharis', 0.13175099), ('Rugilus', 0.33499965)]"
images_genus/Sunius/Sunius bicolor_12.jpg,Rugilus,"[('Bisnius', 0.0686303), ('Lithocharis', 0.13143054), ('Rugilus', 0.33260694)]"
images_genus/Sunius/Sunius bicolor_13.jpg,Rugilus,"[('Bisnius', 0.068702936), ('Lithocharis', 0.13057862), ('Rugilus', 0.3354877)]"
images_genus/Sunius/Sunius bicolor_14.jpg,Rugilus,"[('Bisnius', 0.069166176), ('Lithocharis', 0.13133872), ('Rugilus', 0.33307788)]"
images_genus/Sunius/Sunius bicolor_15.jpg,Rugilus,"[('Bisnius', 0.06872982), ('Lithocharis', 0.13155492), ('Rugilus', 0.33262858)]"
images_genus/Sunius/Sunius bicolor_16.jpg,Rugilus,"[('Bisnius', 0.06828184), ('Lithocharis', 0.13179775), ('Rugilus', 0.33237636)]"
