,Filename,Prediction1,Prediction3
0,images_genus/Creophilus/Creophilus maxillosus_10.jpg,Creophilus,"[('Ontholestes', 0.00035627696), ('Emus', 0.001306159), ('Creophilus', 0.9977585)]"
1,images_genus/Creophilus/Creophilus maxillosus_11.jpg,Creophilus,"[('Emus', 0.0015228672), ('Dinothenarus', 0.0017920213), ('Creophilus', 0.9955205)]"
2,images_genus/Creophilus/Creophilus maxillosus_12.jpg,Creophilus,"[('Dinothenarus', 0.00021329425), ('Emus', 0.0014136077), ('Creophilus', 0.99799466)]"
3,images_genus/Creophilus/Creophilus maxillosus_4.jpg,Creophilus,"[('Emus', 9.2517366e-05), ('Dinothenarus', 0.0001994569), ('Creophilus', 0.9996038)]"
4,images_genus/Creophilus/Creophilus maxillosus_5.jpg,Creophilus,"[('Platydracus', 0.0050932025), ('Ocypus', 0.059725944), ('Creophilus', 0.9215346)]"
5,images_genus/Creophilus/Creophilus maxillosus_6.jpg,Creophilus,"[('Dinothenarus', 0.0003517489), ('Emus', 0.003913269), ('Creophilus', 0.9952324)]"
6,images_genus/Creophilus/Creophilus maxillosus_7.jpg,Creophilus,"[('Staphylinus', 0.0007148568), ('Emus', 0.009164607), ('Creophilus', 0.9874959)]"
7,images_genus/Creophilus/Creophilus maxillosus_8.jpg,Creophilus,"[('Staphylinus', 0.00878818), ('Emus', 0.03366944), ('Creophilus', 0.94815)]"
8,images_genus/Creophilus/Creophilus maxillosus_9.jpg,Creophilus,"[('Ontholestes', 0.00025691674), ('Velleius', 0.00040368983), ('Creophilus', 0.99906915)]"
9,images_genus/Velleius/Velleius dilatatus_2.jpg,Quedius,"[('Euryporus', 0.0015061172), ('Velleius', 0.11281496), ('Quedius', 0.8835636)]"
10,images_genus/Velleius/Velleius dilatatus_3.jpg,Velleius,"[('Dinothenarus', 0.00015715515), ('Ocypus', 0.008476697), ('Velleius', 0.9909725)]"
11,images_genus/Velleius/Velleius dilatatus_4.jpg,Velleius,"[('Creophilus', 0.0031013072), ('Ocypus', 0.10935702), ('Velleius', 0.88441986)]"
12,images_genus/Velleius/Velleius dilatatus_5.jpg,Velleius,"[('Euryporus', 0.004437522), ('Ocypus', 0.01612799), ('Velleius', 0.97063655)]"
13,images_genus/Velleius/Velleius dilatatus_6.jpg,Velleius,"[('Euryporus', 0.0011780487), ('Ocypus', 0.0140650235), ('Velleius', 0.9804223)]"
14,images_genus/Megalinus/Megalinus glabratus_3.jpg,Megalinus,"[('Staphylinus', 0.009718432), ('Platydracus', 0.048772763), ('Megalinus', 0.9231859)]"
15,images_genus/Megalinus/Megalinus glabratus_4.jpg,Megalinus,"[('Staphylinus', 0.004096515), ('Gauropterus', 0.39818907), ('Megalinus', 0.58727545)]"
16,images_genus/Megalinus/Megalinus glabratus_5.jpg,Megalinus,"[('Staphylinus', 0.011378154), ('Gauropterus', 0.026703307), ('Megalinus', 0.95740235)]"
17,images_genus/Megalinus/Megalinus glabratus_6.jpg,Megalinus,"[('Nudobius', 0.003292254), ('Gauropterus', 0.06867764), ('Megalinus', 0.92377055)]"
18,images_genus/Megalinus/Megalinus glabratus_7.jpg,Megalinus,"[('Staphylinus', 0.0031064835), ('Gauropterus', 0.018154139), ('Megalinus', 0.9778715)]"
19,images_genus/Megalinus/Megalinus glabratus_8.jpg,Megalinus,"[('Nudobius', 0.009217604), ('Gauropterus', 0.019722583), ('Megalinus', 0.9620793)]"
20,images_genus/Megalinus/Megalinus glabratus_9.jpg,Gauropterus,"[('Nudobius', 0.018801771), ('Megalinus', 0.033657134), ('Gauropterus', 0.9447667)]"
21,images_genus/Dinothenarus/Dinothenarus pubescens_10.jpg,Dinothenarus,"[('Creophilus', 0.00057615596), ('Ontholestes', 0.045088254), ('Dinothenarus', 0.95403844)]"
22,images_genus/Dinothenarus/Dinothenarus pubescens_11.jpg,Dinothenarus,"[('Creophilus', 0.00018908114), ('Ontholestes', 0.0016900114), ('Dinothenarus', 0.9979207)]"
23,images_genus/Dinothenarus/Dinothenarus pubescens_4.jpg,Dinothenarus,"[('Creophilus', 0.0001292203), ('Ontholestes', 0.0015510288), ('Dinothenarus', 0.99808395)]"
24,images_genus/Dinothenarus/Dinothenarus pubescens_5.jpg,Dinothenarus,"[('Ocypus', 0.0015872021), ('Ontholestes', 0.0019675149), ('Dinothenarus', 0.99372286)]"
25,images_genus/Dinothenarus/Dinothenarus pubescens_6.jpg,Dinothenarus,"[('Creophilus', 0.00018635532), ('Ontholestes', 0.00077563385), ('Dinothenarus', 0.9987896)]"
26,images_genus/Dinothenarus/Dinothenarus pubescens_7.jpg,Dinothenarus,"[('Creophilus', 0.00018829636), ('Ontholestes', 0.0044425717), ('Dinothenarus', 0.99508)]"
27,images_genus/Dinothenarus/Dinothenarus pubescens_8.jpg,Dinothenarus,"[('Ocypus', 0.0014097216), ('Ontholestes', 0.0014870059), ('Dinothenarus', 0.996212)]"
28,images_genus/Dinothenarus/Dinothenarus pubescens_9.jpg,Dinothenarus,"[('Creophilus', 0.0010931673), ('Ontholestes', 0.00711385), ('Dinothenarus', 0.9906508)]"
29,images_genus/Sunius/Sunius bicolor_10.jpg,Sunius,"[('Othius', 0.008357955), ('Medon', 0.04294288), ('Sunius', 0.93156356)]"
30,images_genus/Sunius/Sunius bicolor_11.jpg,Sunius,"[('Othius', 0.008704035), ('Lithocharis', 0.041236036), ('Sunius', 0.94538826)]"
31,images_genus/Sunius/Sunius bicolor_12.jpg,Medon,"[('Lithocharis', 0.10651954), ('Sunius', 0.28555915), ('Medon', 0.57071346)]"
32,images_genus/Sunius/Sunius bicolor_13.jpg,Sunius,"[('Othius', 0.029162357), ('Lithocharis', 0.0409387), ('Sunius', 0.9122898)]"
33,images_genus/Sunius/Sunius bicolor_14.jpg,Sunius,"[('Medon', 0.015334691), ('Lithocharis', 0.117364876), ('Sunius', 0.86082643)]"
34,images_genus/Sunius/Sunius bicolor_15.jpg,Sunius,"[('Medon', 0.019413639), ('Othius', 0.044419937), ('Sunius', 0.9143035)]"
35,images_genus/Sunius/Sunius bicolor_16.jpg,Sunius,"[('Lithocharis', 0.22093746), ('Othius', 0.23697297), ('Sunius', 0.47010142)]"
36,images_genus/Sunius/Sunius bicolor_17.jpg,Medon,"[('Othius', 0.07581204), ('Sunius', 0.38889015), ('Medon', 0.41511437)]"
37,images_genus/Sunius/Sunius bicolor_18.jpg,Sunius,"[('Medon', 0.0011138231), ('Othius', 0.0032678256), ('Sunius', 0.9944682)]"
38,images_genus/Sunius/Sunius bicolor_19.jpg,Sunius,"[('Medon', 0.0033316254), ('Lithocharis', 0.006682909), ('Sunius', 0.9853359)]"
39,images_genus/Sunius/Sunius bicolor_20.jpg,Sunius,"[('Pseudomedon', 0.0460707), ('Medon', 0.226126), ('Sunius', 0.6440035)]"
40,images_genus/Sunius/Sunius bicolor_21.jpg,Sunius,"[('Pseudomedon', 0.021057047), ('Medon', 0.08911691), ('Sunius', 0.8571422)]"
41,images_genus/Sunius/Sunius bicolor_22.jpg,Medon,"[('Othius', 0.12950137), ('Sunius', 0.34870282), ('Medon', 0.36921617)]"
42,images_genus/Sunius/Sunius bicolor_23.jpg,Medon,"[('Sunius', 0.010902787), ('Lithocharis', 0.027126579), ('Medon', 0.9593368)]"
43,images_genus/Sunius/Sunius bicolor_24.jpg,Sunius,"[('Pseudomedon', 0.0071021873), ('Quedius', 0.008187214), ('Sunius', 0.96360695)]"
44,images_genus/Sunius/Sunius bicolor_25.jpg,Sunius,"[('Medon', 0.01217775), ('Lithocharis', 0.07606174), ('Sunius', 0.89695066)]"
45,images_genus/Sunius/Sunius bicolor_26.jpg,Medon,"[('Lithocharis', 0.013031879), ('Sunius', 0.035834853), ('Medon', 0.9371087)]"
46,images_genus/Sunius/Sunius bicolor_9.jpg,Sunius,"[('Lithocharis', 0.015617574), ('Medon', 0.033086136), ('Sunius', 0.93240166)]"
47,images_genus/Sunius/Sunius melanocephalus_11.jpg,Sunius,"[('Pseudomedon', 0.00021682098), ('Lithocharis', 0.0035180887), ('Sunius', 0.9958592)]"
48,images_genus/Sunius/Sunius melanocephalus_12.jpg,Lithocharis,"[('Bisnius', 0.0074572815), ('Sunius', 0.14135997), ('Lithocharis', 0.8315952)]"
49,images_genus/Sunius/Sunius melanocephalus_13.jpg,Lithocharis,"[('Medon', 0.03422866), ('Sunius', 0.10673302), ('Lithocharis', 0.8167295)]"
50,images_genus/Sunius/Sunius melanocephalus_14.jpg,Sunius,"[('Medon', 0.0002465909), ('Lithocharis', 0.004231846), ('Sunius', 0.9950641)]"
51,images_genus/Sunius/Sunius melanocephalus_15.jpg,Sunius,"[('Pseudomedon', 6.414496e-05), ('Lithocharis', 0.00043636624), ('Sunius', 0.99939597)]"
52,images_genus/Sunius/Sunius melanocephalus_16.jpg,Sunius,"[('Lithocharis', 0.0028598688), ('Pseudomedon', 0.073110454), ('Sunius', 0.9210383)]"
53,images_genus/Sunius/Sunius melanocephalus_17.jpg,Sunius,"[('Quedius', 0.0056752847), ('Lithocharis', 0.007273314), ('Sunius', 0.9711093)]"
54,images_genus/Sunius/Sunius melanocephalus_18.jpg,Sunius,"[('Medon', 0.0031206808), ('Lithocharis', 0.39161694), ('Sunius', 0.5954919)]"
55,images_genus/Sunius/Sunius melanocephalus_19.jpg,Sunius,"[('Lithocharis', 0.0058840895), ('Pseudomedon', 0.009480717), ('Sunius', 0.973755)]"
56,images_genus/Sunius/Sunius melanocephalus_20.jpg,Lithocharis,"[('Atrecus', 0.015170257), ('Sunius', 0.1150788), ('Lithocharis', 0.8559197)]"
57,images_genus/Sunius/Sunius melanocephalus_21.jpg,Sunius,"[('Pseudomedon', 0.09779418), ('Lithocharis', 0.36630678), ('Sunius', 0.5095308)]"
58,images_genus/Sunius/Sunius melanocephalus_22.jpg,Sunius,"[('Atrecus', 0.0025667215), ('Lithocharis', 0.019279296), ('Sunius', 0.9760014)]"
59,images_genus/Sunius/Sunius melanocephalus_23.jpg,Sunius,"[('Medon', 0.03254767), ('Pseudomedon', 0.28870407), ('Sunius', 0.65883523)]"
60,images_genus/Sunius/Sunius melanocephalus_24.jpg,Sunius,"[('Bisnius', 0.0040511256), ('Lithocharis', 0.18559587), ('Sunius', 0.79868)]"
61,images_genus/Sunius/Sunius melanocephalus_25.jpg,Sunius,"[('Lithocharis', 0.0060508507), ('Pseudomedon', 0.043506697), ('Sunius', 0.94496155)]"
62,images_genus/Sunius/Sunius melanocephalus_26.jpg,Sunius,"[('Lithocharis', 0.00036447906), ('Othius', 0.0005582369), ('Sunius', 0.99868995)]"
63,images_genus/Sunius/Sunius melanocephalus_27.jpg,Sunius,"[('Lithocharis', 0.00047289082), ('Othius', 0.001492116), ('Sunius', 0.9972446)]"
