,Filename,Label,Prediction1,Prediction3
217,images_genus/Bisnius/Bisnius fimetarius_33.jpg,Bisnius,Philonthus,"[('Cafius', 2.0097892e-05), ('Bisnius', 0.005722661), ('Philonthus', 0.99425173)]"
233,images_genus/Bisnius/Bisnius fimetarius_49.jpg,Bisnius,Remus,"[('Cafius', 0.011106797), ('Bisnius', 0.086332075), ('Remus', 0.9008655)]"
243,images_genus/Bisnius/Bisnius fimetarius_59.jpg,Bisnius,Rugilus,"[('Bisnius', 0.005710341), ('Remus', 0.011699932), ('Rugilus', 0.98243892)]"
253,images_genus/Bisnius/Bisnius fimetarius_69.jpg,Bisnius,Philonthus,"[('Cafius', 5.5217919e-05), ('Bisnius', 0.16907831), ('Philonthus', 0.8307426)]"
265,images_genus/Bisnius/Bisnius fimetarius_81.jpg,Bisnius,Rugilus,"[('Bisnius', 0.020449385), ('Philonthus', 0.099934258), ('Rugilus', 0.86039478)]"
269,images_genus/Bisnius/Bisnius fimetarius_85.jpg,Bisnius,Philonthus,"[('Gabrius', 8.3980133e-08), ('Bisnius', 1.4370699e-05), ('Philonthus', 0.99998558)]"
273,images_genus/Bisnius/Bisnius fimetarius_89.jpg,Bisnius,Cafius,"[('Philonthus', 0.018893834), ('Bisnius', 0.19153877), ('Cafius', 0.78856301)]"
281,images_genus/Bisnius/Bisnius nitidulus_21.jpg,Bisnius,Gabrius,"[('Bisnius', 2.0380157e-05), ('Ochthephilum', 3.8820035e-05), ('Gabrius', 0.99993348)]"
284,images_genus/Bisnius/Bisnius nitidulus_24.jpg,Bisnius,Gabrius,"[('Ochthephilum', 0.00027694125), ('Bisnius', 0.023108985), ('Gabrius', 0.97572577)]"
317,images_genus/Bisnius/Bisnius puella_6.jpg,Bisnius,Philonthus,"[('Cafius', 2.0077996e-06), ('Bisnius', 0.00024822756), ('Philonthus', 0.99974447)]"
446,images_genus/Creophilus/Creophilus maxillosus_5.jpg,Creophilus,Philonthus,"[('Ocypus', 0.0051564649), ('Creophilus', 0.14235888), ('Philonthus', 0.85235822)]"
630,images_genus/Gauropterus/Gauropterus fulgidus_14.jpg,Gauropterus,Megalinus,"[('Nudobius', 1.1385079e-05), ('Gauropterus', 0.00062982104), ('Megalinus', 0.99935693)]"
669,images_genus/Gyrohypnus/Gyrohypnus fracticornis_20.jpg,Gyrohypnus,Cafius,"[('Tasgius', 0.00054101978), ('Gyrohypnus', 0.32844821), ('Cafius', 0.67079449)]"
758,images_genus/Lathrobium/Lathrobium brunnipes_33.jpg,Lathrobium,Tetartopeus,"[('Tasgius', 3.0968647e-05), ('Lathrobium', 0.052062258), ('Tetartopeus', 0.94785929)]"
767,images_genus/Lathrobium/Lathrobium brunnipes_42.jpg,Lathrobium,Tetartopeus,"[('Ocypus', 0.0001939589), ('Lathrobium', 0.43914402), ('Tetartopeus', 0.56056607)]"
769,images_genus/Lathrobium/Lathrobium brunnipes_44.jpg,Lathrobium,Tetartopeus,"[('Ocypus', 0.005335832), ('Lathrobium', 0.082768276), ('Tetartopeus', 0.9117645)]"
776,images_genus/Lathrobium/Lathrobium brunnipes_51.jpg,Lathrobium,Lobrathium,"[('Tetartopeus', 0.0024926302), ('Lathrobium', 0.045759849), ('Lobrathium', 0.94912553)]"
789,images_genus/Lathrobium/Lathrobium brunnipes_64.jpg,Lathrobium,Tetartopeus,"[('Tasgius', 0.038016438), ('Lathrobium', 0.42230415), ('Tetartopeus', 0.52879828)]"
794,images_genus/Lathrobium/Lathrobium brunnipes_69.jpg,Lathrobium,Tetartopeus,"[('Tasgius', 0.00020783261), ('Lathrobium', 0.0028391979), ('Tetartopeus', 0.996822)]"
802,images_genus/Lathrobium/Lathrobium brunnipes_77.jpg,Lathrobium,Tetartopeus,"[('Achenium', 0.00021200319), ('Lathrobium', 0.30876732), ('Tetartopeus', 0.69097281)]"
821,images_genus/Lathrobium/Lathrobium elongatum_31.jpg,Lathrobium,Lobrathium,"[('Othius', 0.03361091), ('Lathrobium', 0.34962866), ('Lobrathium', 0.58581221)]"
854,images_genus/Lathrobium/Lathrobium elongatum_64.jpg,Lathrobium,Tetartopeus,"[('Lobrathium', 0.00030865395), ('Lathrobium', 0.16081533), ('Tetartopeus', 0.83855814)]"
869,images_genus/Lathrobium/Lathrobium fovulum_21.jpg,Lathrobium,Tetartopeus,"[('Tasgius', 6.8889858e-05), ('Lathrobium', 0.42265508), ('Tetartopeus', 0.57723123)]"
877,images_genus/Lathrobium/Lathrobium fovulum_29.jpg,Lathrobium,Tetartopeus,"[('Tasgius', 3.1038974e-10), ('Lathrobium', 1.2645756e-09), ('Tetartopeus', 1.0)]"
898,images_genus/Lathrobium/Lathrobium fulvipenne_31.jpg,Lathrobium,Tetartopeus,"[('Cafius', 0.011892717), ('Lathrobium', 0.35244271), ('Tetartopeus', 0.61108869)]"
906,images_genus/Lathrobium/Lathrobium fulvipenne_39.jpg,Lathrobium,Lobrathium,"[('Lathrobium', 0.0037426522), ('Tetartopeus', 0.061301921), ('Lobrathium', 0.93392688)]"
909,images_genus/Lathrobium/Lathrobium fulvipenne_42.jpg,Lathrobium,Tetartopeus,"[('Achenium', 0.011906008), ('Lathrobium', 0.16176212), ('Tetartopeus', 0.80370241)]"
914,images_genus/Lathrobium/Lathrobium fulvipenne_47.jpg,Lathrobium,Lobrathium,"[('Lathrobium', 1.0958212e-05), ('Tetartopeus', 2.1640761e-05), ('Lobrathium', 0.99996424)]"
917,images_genus/Lathrobium/Lathrobium fulvipenne_50.jpg,Lathrobium,Lobrathium,"[('Achenium', 0.01094714), ('Lathrobium', 0.45321074), ('Lobrathium', 0.52497208)]"
924,images_genus/Lathrobium/Lathrobium fulvipenne_57.jpg,Lathrobium,Lobrathium,"[('Achenium', 1.0523452e-06), ('Lathrobium', 8.7918605e-05), ('Lobrathium', 0.99991012)]"
928,images_genus/Lathrobium/Lathrobium fulvipenne_61.jpg,Lathrobium,Lobrathium,"[('Achenium', 0.0010600508), ('Lathrobium', 0.069483377), ('Lobrathium', 0.92925274)]"
946,images_genus/Lathrobium/Lathrobium geminum_16.jpg,Lathrobium,Lobrathium,"[('Atrecus', 9.0995156e-05), ('Lathrobium', 0.14914086), ('Lobrathium', 0.85072166)]"
972,images_genus/Lathrobium/Lathrobium impressum_41.jpg,Lathrobium,Remus,"[('Tasgius', 0.027348977), ('Tetartopeus', 0.1135372), ('Remus', 0.79840106)]"
974,images_genus/Lathrobium/Lathrobium impressum_43.jpg,Lathrobium,Achenium,"[('Cafius', 0.10046772), ('Lathrobium', 0.15163492), ('Achenium', 0.70820975)]"
988,images_genus/Lathrobium/Lathrobium impressum_57.jpg,Lathrobium,Tetartopeus,"[('Paederidus', 7.2858391e-05), ('Lathrobium', 0.27872121), ('Tetartopeus', 0.72109354)]"
1000,images_genus/Lathrobium/Lathrobium impressum_69.jpg,Lathrobium,Tetartopeus,"[('Remus', 0.0010463939), ('Lathrobium', 0.0090136211), ('Tetartopeus', 0.9897328)]"
1007,images_genus/Lathrobium/Lathrobium impressum_76.jpg,Lathrobium,Lobrathium,"[('Lathrobium', 0.0051402389), ('Medon', 0.44614297), ('Lobrathium', 0.53907681)]"
1136,images_genus/Lithocharis/Lithocharis ochracea_54.jpg,Lithocharis,Pseudomedon,"[('Lithocharis', 0.00031388036), ('Medon', 0.0071585532), ('Pseudomedon', 0.99240065)]"
1195,images_genus/Megalinus/Megalinus glabratus_5.jpg,Megalinus,Gauropterus,"[('Creophilus', 0.0011755531), ('Megalinus', 0.26360247), ('Gauropterus', 0.73488253)]"
1245,images_genus/Nudobius/Nudobius lentus_18.jpg,Nudobius,Othius,"[('Nudobius', 0.046787396), ('Xantholinus', 0.057830457), ('Othius', 0.87802172)]"
1277,images_genus/Ochthephilum/Ochthephilum fracticorne_42.jpg,Ochthephilum,Sunius,"[('Othius', 4.9640306e-07), ('Ochthephilum', 0.48580751), ('Sunius', 0.51419175)]"
1300,images_genus/Ocypus/Ocypus brunnipes_11.jpg,Ocypus,Tasgius,"[('Staphylinus', 3.1357499e-06), ('Ocypus', 0.33040008), ('Tasgius', 0.66958779)]"
