,Filename,Label,Prediction1,Prediction3
0,images_genus/Lobrathium/Lobrathium multipunctum_11.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 0.00026032855), ('Atrecus', 0.0020817993), ('Lobrathium', 0.99728739)]"
1,images_genus/Lobrathium/Lobrathium multipunctum_12.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 1.0801166e-06), ('Tetartopeus', 1.7968054e-05), ('Lobrathium', 0.99997902)]"
2,images_genus/Lobrathium/Lobrathium multipunctum_13.jpg,Lobrathium,Lobrathium,"[('Medon', 4.8941589e-09), ('Atrecus', 8.7104484e-09), ('Lobrathium', 1.0)]"
3,images_genus/Lobrathium/Lobrathium multipunctum_14.jpg,Lobrathium,Lobrathium,"[('Cafius', 6.6322481e-09), ('Atrecus', 1.9270854e-07), ('Lobrathium', 0.99999976)]"
4,images_genus/Lobrathium/Lobrathium multipunctum_15.jpg,Lobrathium,Lobrathium,"[('Atrecus', 3.7209386e-08), ('Lathrobium', 5.6062735e-08), ('Lobrathium', 1.0)]"
5,images_genus/Lobrathium/Lobrathium multipunctum_16.jpg,Lobrathium,Lobrathium,"[('Cafius', 2.1356694e-10), ('Atrecus', 4.2440811e-09), ('Lobrathium', 1.0)]"
6,images_genus/Lobrathium/Lobrathium multipunctum_17.jpg,Lobrathium,Lobrathium,"[('Medon', 7.0243601e-05), ('Atrecus', 0.0040742522), ('Lobrathium', 0.99583828)]"
7,images_genus/Lobrathium/Lobrathium multipunctum_18.jpg,Lobrathium,Lobrathium,"[('Medon', 2.4233607e-10), ('Atrecus', 8.2055857e-10), ('Lobrathium', 1.0)]"
8,images_genus/Lobrathium/Lobrathium multipunctum_19.jpg,Lobrathium,Lobrathium,"[('Atrecus', 0.014932977), ('Tetartopeus', 0.049966693), ('Lobrathium', 0.9270187)]"
9,images_genus/Lobrathium/Lobrathium multipunctum_20.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 2.2622075e-08), ('Tetartopeus', 2.9116933e-08), ('Lobrathium', 1.0)]"
10,images_genus/Lobrathium/Lobrathium multipunctum_21.jpg,Lobrathium,Lobrathium,"[('Lathrobium', 6.1536498e-11), ('Atrecus', 6.7346978e-10), ('Lobrathium', 1.0)]"
11,images_genus/Lobrathium/Lobrathium multipunctum_22.jpg,Lobrathium,Lobrathium,"[('Atrecus', 5.5053238e-07), ('Lathrobium', 6.3249968e-07), ('Lobrathium', 0.99999821)]"
12,images_genus/Lobrathium/Lobrathium multipunctum_23.jpg,Lobrathium,Lobrathium,"[('Atrecus', 3.232703e-08), ('Lathrobium', 3.7017621e-08), ('Lobrathium', 1.0)]"
