Filename,Predictions
images_genus/Creophilus/Creophilus maxillosus_10.jpg,Creophilus
images_genus/Creophilus/Creophilus maxillosus_11.jpg,Creophilus
images_genus/Creophilus/Creophilus maxillosus_12.jpg,Creophilus
images_genus/Creophilus/Creophilus maxillosus_4.jpg,Creophilus
images_genus/Creophilus/Creophilus maxillosus_5.jpg,Ocypus
images_genus/Creophilus/Creophilus maxillosus_6.jpg,Creophilus
images_genus/Creophilus/Creophilus maxillosus_7.jpg,Philonthus
images_genus/Creophilus/Creophilus maxillosus_8.jpg,Ontholestes
images_genus/Creophilus/Creophilus maxillosus_9.jpg,Creophilus
images_genus/Velleius/Velleius dilatatus_2.jpg,Philonthus
images_genus/Velleius/Velleius dilatatus_3.jpg,Ocypus
images_genus/Velleius/Velleius dilatatus_4.jpg,Quedius
images_genus/Velleius/Velleius dilatatus_5.jpg,Philonthus
images_genus/Velleius/Velleius dilatatus_6.jpg,Tasgius
images_genus/Megalinus/Megalinus glabratus_3.jpg,Nudobius
images_genus/Megalinus/Megalinus glabratus_4.jpg,Gauropterus
images_genus/Megalinus/Megalinus glabratus_5.jpg,Philonthus
images_genus/Megalinus/Megalinus glabratus_6.jpg,Gauropterus
images_genus/Megalinus/Megalinus glabratus_7.jpg,Platydracus
images_genus/Megalinus/Megalinus glabratus_8.jpg,Gauropterus
images_genus/Megalinus/Megalinus glabratus_9.jpg,Quedius
images_genus/Dinothenarus/Dinothenarus pubescens_10.jpg,Philonthus
images_genus/Dinothenarus/Dinothenarus pubescens_11.jpg,Quedius
images_genus/Dinothenarus/Dinothenarus pubescens_4.jpg,Philonthus
images_genus/Dinothenarus/Dinothenarus pubescens_5.jpg,Philonthus
images_genus/Dinothenarus/Dinothenarus pubescens_6.jpg,Philonthus
images_genus/Dinothenarus/Dinothenarus pubescens_7.jpg,Philonthus
images_genus/Dinothenarus/Dinothenarus pubescens_8.jpg,Philonthus
images_genus/Dinothenarus/Dinothenarus pubescens_9.jpg,Philonthus
images_genus/Sunius/Sunius bicolor_10.jpg,Medon
images_genus/Sunius/Sunius bicolor_11.jpg,Medon
images_genus/Sunius/Sunius bicolor_12.jpg,Medon
images_genus/Sunius/Sunius bicolor_13.jpg,Medon
images_genus/Sunius/Sunius bicolor_14.jpg,Medon
images_genus/Sunius/Sunius bicolor_15.jpg,Medon
images_genus/Sunius/Sunius bicolor_16.jpg,Medon
images_genus/Sunius/Sunius bicolor_17.jpg,Medon
images_genus/Sunius/Sunius bicolor_18.jpg,Medon
images_genus/Sunius/Sunius bicolor_19.jpg,Medon
images_genus/Sunius/Sunius bicolor_20.jpg,Heterothops
images_genus/Sunius/Sunius bicolor_21.jpg,Medon
images_genus/Sunius/Sunius bicolor_22.jpg,Medon
images_genus/Sunius/Sunius bicolor_23.jpg,Medon
images_genus/Sunius/Sunius bicolor_24.jpg,Medon
images_genus/Sunius/Sunius bicolor_25.jpg,Medon
images_genus/Sunius/Sunius bicolor_26.jpg,Medon
images_genus/Sunius/Sunius bicolor_9.jpg,Heterothops
images_genus/Sunius/Sunius melanocephalus_11.jpg,Pseudomedon
images_genus/Sunius/Sunius melanocephalus_12.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_13.jpg,Medon
images_genus/Sunius/Sunius melanocephalus_14.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_15.jpg,Pseudomedon
images_genus/Sunius/Sunius melanocephalus_16.jpg,Pseudomedon
images_genus/Sunius/Sunius melanocephalus_17.jpg,Pseudomedon
images_genus/Sunius/Sunius melanocephalus_18.jpg,Pseudomedon
images_genus/Sunius/Sunius melanocephalus_19.jpg,Pseudomedon
images_genus/Sunius/Sunius melanocephalus_20.jpg,Lithocharis
images_genus/Sunius/Sunius melanocephalus_21.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_22.jpg,Pseudomedon
images_genus/Sunius/Sunius melanocephalus_23.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_24.jpg,Medon
images_genus/Sunius/Sunius melanocephalus_25.jpg,Pseudomedon
images_genus/Sunius/Sunius melanocephalus_26.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_27.jpg,Medon
images_genus/Sunius/Sunius melanocephalus_28.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_29.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_30.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_31.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_32.jpg,Sunius
images_genus/Sunius/Sunius melanocephalus_33.jpg,Sunius
images_genus/Platydracus/Platydracus fulvipes_3.jpg,Quedius
images_genus/Platydracus/Platydracus fulvipes_4.jpg,Philonthus
images_genus/Platydracus/Platydracus fulvipes_5.jpg,Ontholestes
images_genus/Platydracus/Platydracus fulvipes_6.jpg,Quedius
images_genus/Platydracus/Platydracus fulvipes_7.jpg,Paederidus
images_genus/Platydracus/Platydracus fulvipes_8.jpg,Acylophorus
images_genus/Platydracus/Platydracus fulvipes_9.jpg,Tasgius
images_genus/Platydracus/Platydracus latebricola_2.jpg,Philonthus
images_genus/Platydracus/Platydracus latebricola_3.jpg,Platydracus
images_genus/Platydracus/Platydracus latebricola_4.jpg,Philonthus
images_genus/Platydracus/Platydracus latebricola_5.jpg,Platydracus
images_genus/Platydracus/Platydracus latebricola_6.jpg,Xantholinus
images_genus/Platydracus/Platydracus stercorarius_10.jpg,Staphylinus
images_genus/Platydracus/Platydracus stercorarius_11.jpg,Nudobius
images_genus/Platydracus/Platydracus stercorarius_12.jpg,Staphylinus
images_genus/Platydracus/Platydracus stercorarius_13.jpg,Platydracus
images_genus/Platydracus/Platydracus stercorarius_14.jpg,Platydracus
images_genus/Platydracus/Platydracus stercorarius_5.jpg,Platydracus
images_genus/Platydracus/Platydracus stercorarius_6.jpg,Platydracus
images_genus/Platydracus/Platydracus stercorarius_7.jpg,Platydracus
images_genus/Platydracus/Platydracus stercorarius_8.jpg,Staphylinus
images_genus/Platydracus/Platydracus stercorarius_9.jpg,Staphylinus
images_genus/Atrecus/Atrecus affinis_10.jpg,Quedius
images_genus/Atrecus/Atrecus affinis_11.jpg,Quedius
images_genus/Atrecus/Atrecus affinis_12.jpg,Atrecus
images_genus/Atrecus/Atrecus affinis_4.jpg,Quedius
images_genus/Atrecus/Atrecus affinis_5.jpg,Quedius
images_genus/Atrecus/Atrecus affinis_6.jpg,Quedius
images_genus/Atrecus/Atrecus affinis_7.jpg,Paederus
images_genus/Atrecus/Atrecus affinis_8.jpg,Atrecus
images_genus/Atrecus/Atrecus affinis_9.jpg,Leptacinus
images_genus/Atrecus/Atrecus longiceps_2.jpg,Quedius
images_genus/Atrecus/Atrecus longiceps_3.jpg,Quedius
images_genus/Atrecus/Atrecus longiceps_4.jpg,Quedius
images_genus/Atrecus/Atrecus longiceps_5.jpg,Quedius
images_genus/Atrecus/Atrecus longiceps_6.jpg,Quedius
images_genus/Paederidus/Paederidus ruficollis_24.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_25.jpg,Philonthus
images_genus/Paederidus/Paederidus ruficollis_26.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_27.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_28.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_29.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_30.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_31.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_32.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_33.jpg,Philonthus
images_genus/Paederidus/Paederidus ruficollis_34.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_35.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_36.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_37.jpg,Tetartopeus
images_genus/Paederidus/Paederidus ruficollis_38.jpg,Philonthus
images_genus/Paederidus/Paederidus ruficollis_39.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_40.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_41.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_42.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_43.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_44.jpg,Lathrobium
images_genus/Paederidus/Paederidus ruficollis_45.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_46.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_47.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_48.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_49.jpg,Philonthus
images_genus/Paederidus/Paederidus ruficollis_50.jpg,Paederus
images_genus/Paederidus/Paederidus ruficollis_51.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_52.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_53.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_54.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_55.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_56.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_57.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_58.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_59.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_60.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_61.jpg,Philonthus
images_genus/Paederidus/Paederidus ruficollis_62.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_63.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_64.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_65.jpg,Paederus
images_genus/Paederidus/Paederidus ruficollis_66.jpg,Paederus
images_genus/Paederidus/Paederidus ruficollis_67.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_68.jpg,Ocypus
images_genus/Paederidus/Paederidus ruficollis_69.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_70.jpg,Paederus
images_genus/Paederidus/Paederidus ruficollis_71.jpg,Paederidus
images_genus/Paederidus/Paederidus ruficollis_72.jpg,Paederidus
images_genus/Achenium/Achenium humile_10.jpg,Lathrobium
images_genus/Achenium/Achenium humile_11.jpg,Lathrobium
images_genus/Achenium/Achenium humile_4.jpg,Achenium
images_genus/Achenium/Achenium humile_5.jpg,Lathrobium
images_genus/Achenium/Achenium humile_6.jpg,Lathrobium
images_genus/Achenium/Achenium humile_7.jpg,Lathrobium
images_genus/Achenium/Achenium humile_8.jpg,Lathrobium
images_genus/Achenium/Achenium humile_9.jpg,Lathrobium
images_genus/Othius/Othius angustus_10.jpg,Astenus
images_genus/Othius/Othius angustus_11.jpg,Pseudomedon
images_genus/Othius/Othius angustus_12.jpg,Gabrius
images_genus/Othius/Othius angustus_13.jpg,Othius
images_genus/Othius/Othius angustus_14.jpg,Heterothops
images_genus/Othius/Othius angustus_15.jpg,Othius
images_genus/Othius/Othius angustus_16.jpg,Lithocharis
