,Filename,Predictions
0,images_genus/Creophilus/Creophilus maxillosus_10.jpg,Creophilus
1,images_genus/Creophilus/Creophilus maxillosus_11.jpg,Creophilus
2,images_genus/Creophilus/Creophilus maxillosus_12.jpg,Creophilus
3,images_genus/Creophilus/Creophilus maxillosus_4.jpg,Creophilus
4,images_genus/Creophilus/Creophilus maxillosus_5.jpg,Creophilus
5,images_genus/Creophilus/Creophilus maxillosus_6.jpg,Creophilus
6,images_genus/Creophilus/Creophilus maxillosus_7.jpg,Philonthus
7,images_genus/Creophilus/Creophilus maxillosus_8.jpg,Creophilus
8,images_genus/Creophilus/Creophilus maxillosus_9.jpg,Creophilus
9,images_genus/Velleius/Velleius dilatatus_2.jpg,Velleius
10,images_genus/Velleius/Velleius dilatatus_3.jpg,Velleius
11,images_genus/Velleius/Velleius dilatatus_4.jpg,Velleius
12,images_genus/Velleius/Velleius dilatatus_5.jpg,Cafius
13,images_genus/Velleius/Velleius dilatatus_6.jpg,Velleius
14,images_genus/Megalinus/Megalinus glabratus_3.jpg,Gauropterus
15,images_genus/Megalinus/Megalinus glabratus_4.jpg,Gauropterus
16,images_genus/Megalinus/Megalinus glabratus_5.jpg,Philonthus
17,images_genus/Megalinus/Megalinus glabratus_6.jpg,Gauropterus
18,images_genus/Megalinus/Megalinus glabratus_7.jpg,Gauropterus
19,images_genus/Megalinus/Megalinus glabratus_8.jpg,Nudobius
20,images_genus/Megalinus/Megalinus glabratus_9.jpg,Nudobius
21,images_genus/Dinothenarus/Dinothenarus pubescens_10.jpg,Quedius
22,images_genus/Dinothenarus/Dinothenarus pubescens_11.jpg,Acylophorus
23,images_genus/Dinothenarus/Dinothenarus pubescens_4.jpg,Philonthus
24,images_genus/Dinothenarus/Dinothenarus pubescens_5.jpg,Acylophorus
25,images_genus/Dinothenarus/Dinothenarus pubescens_6.jpg,Dinothenarus
26,images_genus/Dinothenarus/Dinothenarus pubescens_7.jpg,Dinothenarus
27,images_genus/Dinothenarus/Dinothenarus pubescens_8.jpg,Quedius
28,images_genus/Dinothenarus/Dinothenarus pubescens_9.jpg,Quedius
29,images_genus/Sunius/Sunius bicolor_10.jpg,Othius
30,images_genus/Sunius/Sunius bicolor_11.jpg,Medon
31,images_genus/Sunius/Sunius bicolor_12.jpg,Sunius
32,images_genus/Sunius/Sunius bicolor_13.jpg,Medon
33,images_genus/Sunius/Sunius bicolor_14.jpg,Medon
34,images_genus/Sunius/Sunius bicolor_15.jpg,Medon
35,images_genus/Sunius/Sunius bicolor_16.jpg,Medon
36,images_genus/Sunius/Sunius bicolor_17.jpg,Medon
37,images_genus/Sunius/Sunius bicolor_18.jpg,Sunius
38,images_genus/Sunius/Sunius bicolor_19.jpg,Sunius
39,images_genus/Sunius/Sunius bicolor_20.jpg,Othius
40,images_genus/Sunius/Sunius bicolor_21.jpg,Medon
41,images_genus/Sunius/Sunius bicolor_22.jpg,Medon
42,images_genus/Sunius/Sunius bicolor_23.jpg,Sunius
43,images_genus/Sunius/Sunius bicolor_24.jpg,Medon
44,images_genus/Sunius/Sunius bicolor_25.jpg,Othius
45,images_genus/Sunius/Sunius bicolor_26.jpg,Sunius
46,images_genus/Sunius/Sunius bicolor_9.jpg,Medon
47,images_genus/Sunius/Sunius melanocephalus_11.jpg,Sunius
48,images_genus/Sunius/Sunius melanocephalus_12.jpg,Pseudomedon
49,images_genus/Sunius/Sunius melanocephalus_13.jpg,Sunius
50,images_genus/Sunius/Sunius melanocephalus_14.jpg,Sunius
51,images_genus/Sunius/Sunius melanocephalus_15.jpg,Sunius
52,images_genus/Sunius/Sunius melanocephalus_16.jpg,Sunius
53,images_genus/Sunius/Sunius melanocephalus_17.jpg,Sunius
54,images_genus/Sunius/Sunius melanocephalus_18.jpg,Sunius
55,images_genus/Sunius/Sunius melanocephalus_19.jpg,Sunius
56,images_genus/Sunius/Sunius melanocephalus_20.jpg,Medon
57,images_genus/Sunius/Sunius melanocephalus_21.jpg,Sunius
58,images_genus/Sunius/Sunius melanocephalus_22.jpg,Sunius
59,images_genus/Sunius/Sunius melanocephalus_23.jpg,Sunius
60,images_genus/Sunius/Sunius melanocephalus_24.jpg,Pseudomedon
61,images_genus/Sunius/Sunius melanocephalus_25.jpg,Sunius
62,images_genus/Sunius/Sunius melanocephalus_26.jpg,Sunius
63,images_genus/Sunius/Sunius melanocephalus_27.jpg,Lathrobium
64,images_genus/Sunius/Sunius melanocephalus_28.jpg,Sunius
65,images_genus/Sunius/Sunius melanocephalus_29.jpg,Sunius
66,images_genus/Sunius/Sunius melanocephalus_30.jpg,Sunius
67,images_genus/Sunius/Sunius melanocephalus_31.jpg,Sunius
68,images_genus/Sunius/Sunius melanocephalus_32.jpg,Sunius
69,images_genus/Sunius/Sunius melanocephalus_33.jpg,Sunius
70,images_genus/Platydracus/Platydracus fulvipes_3.jpg,Platydracus
71,images_genus/Platydracus/Platydracus fulvipes_4.jpg,Platydracus
72,images_genus/Platydracus/Platydracus fulvipes_5.jpg,Ontholestes
73,images_genus/Platydracus/Platydracus fulvipes_6.jpg,Tasgius
74,images_genus/Platydracus/Platydracus fulvipes_7.jpg,Platydracus
75,images_genus/Platydracus/Platydracus fulvipes_8.jpg,Platydracus
76,images_genus/Platydracus/Platydracus fulvipes_9.jpg,Tasgius
77,images_genus/Platydracus/Platydracus latebricola_2.jpg,Philonthus
78,images_genus/Platydracus/Platydracus latebricola_3.jpg,Platydracus
79,images_genus/Platydracus/Platydracus latebricola_4.jpg,Philonthus
80,images_genus/Platydracus/Platydracus latebricola_5.jpg,Platydracus
81,images_genus/Platydracus/Platydracus latebricola_6.jpg,Platydracus
82,images_genus/Platydracus/Platydracus stercorarius_10.jpg,Platydracus
83,images_genus/Platydracus/Platydracus stercorarius_11.jpg,Staphylinus
84,images_genus/Platydracus/Platydracus stercorarius_12.jpg,Platydracus
85,images_genus/Platydracus/Platydracus stercorarius_13.jpg,Platydracus
86,images_genus/Platydracus/Platydracus stercorarius_14.jpg,Platydracus
87,images_genus/Platydracus/Platydracus stercorarius_5.jpg,Platydracus
88,images_genus/Platydracus/Platydracus stercorarius_6.jpg,Platydracus
89,images_genus/Platydracus/Platydracus stercorarius_7.jpg,Platydracus
90,images_genus/Platydracus/Platydracus stercorarius_8.jpg,Platydracus
91,images_genus/Platydracus/Platydracus stercorarius_9.jpg,Platydracus
92,images_genus/Atrecus/Atrecus affinis_10.jpg,Atrecus
93,images_genus/Atrecus/Atrecus affinis_11.jpg,Atrecus
94,images_genus/Atrecus/Atrecus affinis_12.jpg,Atrecus
95,images_genus/Atrecus/Atrecus affinis_4.jpg,Atrecus
96,images_genus/Atrecus/Atrecus affinis_5.jpg,Atrecus
97,images_genus/Atrecus/Atrecus affinis_6.jpg,Atrecus
98,images_genus/Atrecus/Atrecus affinis_7.jpg,Atrecus
99,images_genus/Atrecus/Atrecus affinis_8.jpg,Atrecus
100,images_genus/Atrecus/Atrecus affinis_9.jpg,Atrecus
101,images_genus/Atrecus/Atrecus longiceps_2.jpg,Atrecus
102,images_genus/Atrecus/Atrecus longiceps_3.jpg,Atrecus
103,images_genus/Atrecus/Atrecus longiceps_4.jpg,Atrecus
104,images_genus/Atrecus/Atrecus longiceps_5.jpg,Gabrius
105,images_genus/Atrecus/Atrecus longiceps_6.jpg,Atrecus
106,images_genus/Paederidus/Paederidus ruficollis_24.jpg,Paederidus
107,images_genus/Paederidus/Paederidus ruficollis_25.jpg,Paederidus
108,images_genus/Paederidus/Paederidus ruficollis_26.jpg,Philonthus
109,images_genus/Paederidus/Paederidus ruficollis_27.jpg,Paederidus
110,images_genus/Paederidus/Paederidus ruficollis_28.jpg,Paederidus
111,images_genus/Paederidus/Paederidus ruficollis_29.jpg,Paederus
112,images_genus/Paederidus/Paederidus ruficollis_30.jpg,Paederidus
113,images_genus/Paederidus/Paederidus ruficollis_31.jpg,Paederidus
114,images_genus/Paederidus/Paederidus ruficollis_32.jpg,Paederidus
115,images_genus/Paederidus/Paederidus ruficollis_33.jpg,Philonthus
116,images_genus/Paederidus/Paederidus ruficollis_34.jpg,Paederidus
117,images_genus/Paederidus/Paederidus ruficollis_35.jpg,Paederidus
118,images_genus/Paederidus/Paederidus ruficollis_36.jpg,Paederidus
119,images_genus/Paederidus/Paederidus ruficollis_37.jpg,Paederidus
120,images_genus/Paederidus/Paederidus ruficollis_38.jpg,Tasgius
121,images_genus/Paederidus/Paederidus ruficollis_39.jpg,Paederidus
122,images_genus/Paederidus/Paederidus ruficollis_40.jpg,Paederidus
123,images_genus/Paederidus/Paederidus ruficollis_41.jpg,Paederidus
124,images_genus/Paederidus/Paederidus ruficollis_42.jpg,Paederidus
125,images_genus/Paederidus/Paederidus ruficollis_43.jpg,Paederidus
126,images_genus/Paederidus/Paederidus ruficollis_44.jpg,Tetartopeus
127,images_genus/Paederidus/Paederidus ruficollis_45.jpg,Paederidus
